seed,split,true,predicted
11,train,18.985447577959874,18.98542425339334
11,train,30.60447221412297,30.604312129305665
11,train,18.667459251971085,18.66731637530549
11,train,32.7635674091497,32.763681914568394
11,train,30.414202756930013,30.414108665039667
11,train,16.437347834480832,16.437345165251745
11,train,18.635859060939993,18.635859550433867
11,train,24.76295010085612,24.76300970661323
11,train,16.557974550249103,16.55799715361556
11,train,26.290516162866847,26.290504735979855
11,train,20.91435072240916,20.914650785530988
11,train,21.510434762180427,21.51028246327299
11,train,23.205656891196437,23.20555005935118
11,train,32.532180122710564,32.53204242376133
11,train,25.040152624931775,25.04024084466384
11,train,21.592172424236093,21.592061648140223
11,train,15.715804921555502,15.7157633688772
11,train,18.49835384847858,18.49866378902085
11,train,34.73062087795335,34.73027569672859
11,train,32.5677816342566,32.56773304604283
11,train,25.40303727806495,25.402842797496707
11,train,13.191374643441653,13.191442623914558
11,train,34.06337636232361,34.063175346064
11,train,21.529795809945295,21.529926864806505
11,train,32.42361062578327,32.42369009186658
11,train,37.33394712117626,37.33391286985838
11,train,37.25819889446075,37.25810376913025
11,train,21.64964308205814,21.649744169367324
11,train,15.115597455604753,15.116055170319278
11,train,31.028274215921282,31.028184497577456
11,train,16.555380469996933,16.55549039146635
11,train,18.773409097027827,18.77342479608666
11,train,20.799948031356887,20.800241138273197
11,train,24.617566249542467,24.617690931069635
11,train,24.750293529424297,24.75029620541371
11,train,26.282646418882813,26.282609546720806
11,train,15.531659423340686,15.531720612737605
11,train,8.197498705837603,8.197891204690213
11,train,18.720026501247656,18.720012108600464
11,train,35.341300496774956,35.34111681444122
11,train,20.973200034342398,20.973341138253364
11,train,25.066394280471606,25.066413271026217
11,train,18.550055827140607,18.550185783713562
11,train,32.38608045161459,32.38601946836854
11,train,32.58759840168229,32.58733380344659
11,train,17.137550667535162,17.137661523644844
11,train,31.113374080900925,31.11365194268031
11,train,15.88527460650958,15.885121378549263
11,train,21.352497890403022,21.352134152391496
11,train,32.1617780058442,32.16181166310762
11,train,32.663922786213874,32.66356077290969
11,train,15.734754262433576,15.734846282373665
11,train,32.89853698890124,32.89850236082393
11,train,21.531583958601857,21.531513138155972
11,val,17.959885337537106,26.165726918518896
11,val,18.88718615653353,21.192581295271083
11,val,21.26831377490491,16.659790990326204
11,val,25.258341861659552,32.27235581827991
11,val,16.303892302627734,14.108235377939955
11,val,31.10259080186943,32.7549554495332
11,val,25.628310544484812,28.932209591825938
11,val,33.36791933213975,34.61704490264894
11,val,31.10208101063038,40.21508733836642
11,val,21.64265111217605,22.072318859428606
11,val,37.405673860428124,31.513711072576903
11,val,30.658703069940646,27.696924431461895
11,val,18.714498695516095,17.18959844570444
11,val,16.440079135411104,13.117269413764642
11,val,24.68806068765521,25.931057558776097
11,val,24.752865022867617,24.63950745751507
11,val,21.347489224678718,17.08764666145067
11,val,30.957799355513743,34.54269523273889
