seed,ridge,train_rmse,val_rmse,train_r2,val_r2,n_train,n_val,shared_qubo_training_evaluations,qubo_training_true_evaluations,equal_total_budget
11,0.0001,0.0001726689436073734,4.318910028993989,0.9999999994154368,0.5062843807013133,54,18,72,72,True
23,0.0001,0.00023373756220924674,4.006027918328075,0.9999999988774626,0.7189578323209904,54,18,72,72,True
37,0.0001,0.00023502950223134775,5.929648599800924,0.9999999990679566,0.03518238673167706,54,18,72,72,True
