method,runs,objective_median,objective_iqr,nominal_error_median,nominal_error_iqr,worst_error_median,worst_error_iqr,robust_degradation_median,robust_degradation_iqr,active_fraction_median,active_fraction_iqr,solver_true_evaluations_median,solver_true_evaluations_iqr,shared_qubo_training_evaluations_median,shared_qubo_training_evaluations_iqr,total_true_evaluations_including_training_median,total_true_evaluations_including_training_iqr,true_evaluations_median,true_evaluations_iqr,runtime_seconds_median,runtime_seconds_iqr,refined_nominal_error_median,refined_nominal_error_iqr,refined_worst_error_median,refined_worst_error_iqr,refined_selected_worst_error_median,refined_selected_worst_error_iqr,refined_all_mask_worst_error_median,refined_all_mask_worst_error_iqr,refinement_nfev_median,refinement_nfev_iqr,refined_nominal_fuel_median,refined_nominal_fuel_iqr,refined_recovery_fuel_mean_median,refined_recovery_fuel_mean_iqr,refined_recovery_fuel_max_median,refined_recovery_fuel_max_iqr,refinement_success_rate
random,3,8.243532911635269,2.2895634232542488,4.312456844776722,0.6659118359812961,4.449048086340845,1.851181559787137,0.07608670028502473,2.4868411251288847,0.35714285714285715,0.1428571428571429,120.0,0.0,0.0,0.0,120.0,0.0,120.0,0.0,2.206504899979336,0.22032199999375734,1.8308698109921224,0.850920819803406,2.5332776340050103,3.733610661951685,2.5332776340050103,3.733610661951685,34.04418395212797,19.106313350265275,13.0,1.0,0.0625690346236897,0.027431707526438823,0.06071751577299348,0.02740605231661919,0.06071752855123627,0.02740605231661919,0.0
cross_entropy,3,8.15988301325931,0.04028902676896351,4.321831247496809,0.032593623905635916,4.395371778819489,0.021284085848039425,0.07354053132267957,0.01130953805759738,0.5,0.0714285714285714,120.0,0.0,0.0,0.0,120.0,0.0,120.0,0.0,2.1746083999751136,0.1794543499854626,0.9022558384761439,0.8898248839539987,0.9030781952300652,0.922480134421875,0.9030781952300652,0.922480134421875,9.941543449450243,13.573144499973829,11.0,3.5,0.09020336882448364,0.016193206491401657,0.07961333479424076,0.010639029571055336,0.079682413224182,0.010639029538226069,0.0
genetic,3,8.094682509879503,0.046580906104379594,4.289838979057676,0.036782748018376665,4.365676626425612,0.02537369642186782,0.07583764736793608,0.01140905159650929,0.5,0.1071428571428572,132.0,0.0,0.0,0.0,132.0,0.0,132.0,0.0,2.415597799990792,0.22027359998901375,2.5371294287289694,0.32065929279456906,2.6132244221136722,0.28967659434243664,2.6132244221136722,0.28967659434243664,34.88125005341299,0.24281034849764183,12.0,5.5,0.09748871439106425,0.020897149632514905,0.08820300021082146,0.01393286389270465,0.09748871447289867,0.013932863880677729,0.0
true_sa,3,8.069940496800768,0.0,4.270204497818223,0.0,4.346151577890217,0.0,0.07594708007199458,0.0,0.6428571428571429,0.0,120.0,0.0,0.0,0.0,120.0,0.0,120.0,0.0,2.2389517000119668,0.21972394999465905,2.3540157440419165,0.0,2.4854962099527143,0.0,2.4854962099527143,0.0,34.20251992707172,0.0,11.0,0.0,0.12535261870771303,0.0,0.10213833310309701,0.0,0.11142404733368678,0.0,0.0
surrogate_qubo_sa,3,8.1722110512969,1.1002054211321894,4.291594126856127,0.024554861218073043,4.400982857280794,0.7792447161223883,0.07605026508433621,0.7713590875744809,0.5714285714285714,0.1071428571428571,48.0,2.5,72.0,0.0,120.0,2.5,120.0,2.5,0.8641642000002321,0.12309525000455324,2.6497101951346926,1.4777132375981479,2.777018929496402,2.9357752007904994,2.777018929496402,2.9357752007904994,33.84720219712938,8.269928838452948,11.0,3.0,0.11142403839032075,0.0214608667119843,0.09285260990052378,0.019304182629578406,0.0974954670483499,0.021627321035243424,0.0
qaoa_statevector,3,8.118000913391011,0.08021816060721498,4.292747768865202,0.052327690565139306,4.368838791079686,0.04754343553072271,0.07604179219586094,0.004808870043727431,0.6428571428571429,0.1428571428571429,48.0,0.0,72.0,0.0,120.0,0.0,120.0,0.0,0.9613118999986909,0.05410074999963399,2.426247591767837,0.9149517320277454,2.557332254480264,0.7968045723544086,2.557332254480264,0.7968045723544086,33.87849790721367,14.24624785583714,3.0,0.5,0.12535261126490313,0.03133474084392335,0.1067811827762493,0.022062406430285175,0.11142403989174807,0.024383834973384005,0.0
all_windows_continuous,3,30.957799355513743,0.0,13.080260349527446,0.0,17.85120157016171,0.0,4.770941220634263,0.0,1.0,0.0,31.0,0.0,0.0,0.0,31.0,0.0,31.0,0.0,156.47418059999472,4.014627300013672,1.6382647336955458,0.0,2.2746438889668896,0.0,2.2746438889668896,0.0,23.78622484628824,0.0,31.0,0.0,0.19127826041355336,0.0,0.17068119999414577,0.0,0.18022378746445322,0.0,0.0
