transfer_time,amax,segments,max_nfev,substeps_per_segment,selected_outages,multistart_enabled,random_starts,schedule,base_nominal_error,base_worst_error,nominal_error,selected_recovery_worst_error,selected_worst_error,all_outage_worst_error,all_mask_worst_error,nominal_threshold,selected_recovery_threshold,selected_worst_threshold,meets_nominal_threshold,meets_selected_recovery_threshold,meets_selected_worst_threshold,meets_thresholds,optimizer_success,refinement_success,best_initial_guess,cost,nfev,best_attempt_nfev,runtime_seconds,control_max_norm,selected_outage_indices,selected_outage_errors,all_outage_errors,message
3.0,0.065,14,120,7,3,True,1,11111111111111,13.080260349527446,17.85120157016171,1.020237002457513,2.5173695149168305,2.5173695149168305,7.187368127665391,7.187368127665391,0.09,0.17,0.17,False,False,False,False,True,False,zero,2.7409759414822954,61,17,326.96375620001345,0.0160740283190839,"[19, 17, 3]","[2.5173695149168305, 0.8734944570961658, 0.890635827566461]","[4.344456477410288, 2.827348973492651, 1.9098305434531504, 0.890635827566461, 5.636235208557995, 2.629705931456263, 1.1598825144477993, 1.0232315164324604, 1.024583055193475, 1.0256623097122974, 1.0263560789276691, 1.0251271407295306, 1.0241659994402117, 1.0238193625136645, 5.1059693780355095, 2.9889387371602143, 6.700542931791947, 0.8734944570961658, 7.1873681276653905, 2.5173695149168305, 1.153066353213709, 1.0283179873762842, 1.030618739809927, 1.0321788351021544, 1.0314265119377128, 1.0291257945614714, 1.027786042999366]",`xtol` termination condition is satisfied.
4.0,0.15,14,120,7,3,True,1,11111111111111,3.192367154263821,21.78668540438102,0.7388584083601641,1.693113743300475,1.693113743300475,37.80866590763339,37.80866590763339,0.09,0.17,0.17,False,False,False,False,True,False,zero,1.347786139646258,32,7,122.3204410999897,0.15,"[2, 21, 15]","[0.6237807502457533, 0.7390927773604754, 1.693113743300475]","[4.057639910711157, 9.625460326053686, 0.6237807502457533, 37.80866590763339, 2.91391759586805, 2.105516423254057, 3.169810787731173, 0.7511386678788619, 0.7412998943125209, 0.7315312535404516, 0.7350814296493571, 0.761182432542097, 0.7630521569340822, 0.7689777026338042, 4.50076219918718, 1.693113743300475, 12.649085009367651, 3.2400990956587714, 3.6919355521953574, 5.169372086802933, 3.1794738198127916, 0.7390927773604754, 0.735791559813118, 0.727748331089544, 0.7546697546632842, 0.797890094162032, 0.802488201873053]",`xtol` termination condition is satisfied.
4.0,0.2,14,120,7,3,True,1,11111111111111,22.27449049867309,23.84278654212506,0.2007562595922875,0.2309829024673083,0.2309829024673083,2.897476774721821,2.897476774721821,0.09,0.17,0.17,False,False,False,False,False,False,feedback,0.0677362203131549,251,120,1635.427942899987,0.2,"[15, 2, 22]","[0.2309829024673083, 0.1646870143015817, 0.20823667732315654]","[2.4900010174350133, 2.545441663317402, 0.1646870143015817, 1.888321570373808, 1.805896818231979, 0.8219364082638176, 1.6157741551322216, 2.4985741800923904, 2.826074535510019, 2.195970766290144, 2.897476774721821, 1.364974310239004, 1.6859889043836642, 0.23090185307492744, 2.3361514122840195, 0.2309829024673083, 2.1899152093689485, 2.0572550351848773, 1.2188317802065776, 1.757199269869227, 2.725410477556636, 1.3846290246431947, 0.20823667732315654, 0.754674984418624, 1.6513021332172704, 0.6299543261401979, 1.3524235529039978]",The maximum number of function evaluations is exceeded.
5.0,0.15,14,120,7,3,True,1,11111111111111,5.743999689995291,44.90775022406952,0.6248148383901388,0.6785083489578225,0.6785083489578225,53.67642450423879,53.67642450423879,0.09,0.17,0.17,False,False,False,False,False,False,zero,0.4895897988715739,138,120,997.272311000008,0.15,"[15, 3, 4]","[0.34399169920571276, 0.6760365526363634, 0.6785083489578225]","[10.726816555119905, 6.059816290396512, 53.67642450423879, 0.6760365526363634, 0.6785083489578225, 0.6282343289998512, 0.6794854479451471, 0.6530562053772084, 0.6506539429983568, 0.6723065630301966, 0.7420917696682904, 0.6783371137822619, 0.672134419493611, 0.6687684750836289, 12.90073364019235, 0.34399169920571276, 43.837258154506394, 0.8270980079411737, 0.6292160281249346, 0.6949734294035139, 0.7567692656631166, 0.7067110587348585, 0.730967303088476, 0.8615783111189615, 0.8425990474650259, 0.7479721097438622, 0.7296995896115933]",The maximum number of function evaluations is exceeded.
4.0,0.25,14,150,7,3,True,1,11111111111111,25.0556818032214,25.717333836345944,1.155844513824218,1.2770285598083393,1.2770285598083393,60.91391549772322,60.91391549772322,0.09,0.17,0.17,False,False,False,False,True,False,feedback,1.5428378602638018,81,50,324.72288350001327,0.25,"[18, 3, 9]","[1.0594329032034142, 0.5600327307258671, 1.2770285598083393]","[1.4120993475614878, 1.2109474305039516, 2.7239232973293377, 0.5600327307258671, 5.657964821672706, 1.3191495978081877, 3.6290923729654203, 1.11575435812557, 7.741715549852139, 1.2770285598083393, 1.011143240946146, 1.238091178999509, 1.158467682148714, 1.184291612643545, 60.913915497723224, 1.4597767449426666, 1.6964736110470429, 1.7673212743537532, 1.0594329032034142, 1.4797264188377843, 1.452785777742136, 1.2568949900160657, 1.3183689464167925, 1.5312054860776187, 1.7741317029633688, 1.282424964004868, 1.217165240802192]",`xtol` termination condition is satisfied.
4.0,0.3,14,150,7,3,True,1,11111111111111,2.4632810305576154,44.76519952709839,0.1228651318249757,0.2782629878711763,0.2782629878711763,7.59618526445649,7.59618526445649,0.09,0.17,0.17,False,False,False,False,False,False,feedback,0.0445450349463867,177,150,1102.4642669000025,0.3,"[0, 1, 2]","[0.07789995933690666, 0.06692180785078436, 0.2782629878711763]","[0.07789995933690666, 0.06692180785078436, 0.2782629878711763, 1.152665891730401, 1.6887023735872286, 0.6891102987717587, 1.0748813045072119, 0.7664665380289546, 1.4540440044683483, 1.3298721263313054, 0.8951898536607645, 0.4335151840987924, 0.21674563329983432, 0.2502950910583129, 7.59618526445649, 1.1082025553973547, 0.8748934426463755, 2.6541092600780365, 2.4120549319241147, 0.7375301065649064, 1.3814742194812701, 1.4464965917562822, 1.82490672589533, 0.804437378286615, 1.443453985236925, 0.3792750820785996, 0.37051949007460777]",The maximum number of function evaluations is exceeded.
5.0,0.3,14,150,7,3,True,0,11111111111111,1.8909068548017909,254.48329818241035,0.5810197594101502,0.6326590263880056,0.6326590263880056,57.62163211319793,57.62163211319793,0.09,0.17,0.17,False,False,False,False,True,False,zero,0.4213595701320409,30,18,88.50797979999334,0.3,"[19, 2, 3]","[0.6271409406483658, 0.3073063068615082, 0.6326590263880056]","[7.6684578201358296, 5.290792400512353, 0.3073063068615082, 0.6326590263880056, 0.601124272715298, 0.5877911456505817, 0.7554543928534942, 0.5911917238663991, 0.6065012995397908, 0.6090936974919393, 0.7578008638034753, 0.6706734958250823, 0.6550944476116869, 0.6588986043176411, 11.559747715899588, 57.62163211319793, 18.609556908744313, 0.6319318708788977, 0.6059821278849367, 0.6271409406483658, 0.8049799910905281, 0.632366172242186, 0.6417451966536386, 0.8056459170260348, 0.9039549283159267, 0.7608430990916253, 0.745693028621739]",`xtol` termination condition is satisfied.
4.0,0.3,18,150,7,3,True,0,111111111111111111,2.501475853720422,41.43954500607708,0.2422999522235248,0.2823125068231351,0.2823125068231351,5.037909758170354,5.037909758170354,0.09,0.17,0.17,False,False,False,False,True,False,feedback,0.0747393039707652,39,26,351.08863230000134,0.3,"[0, 21, 19]","[0.10194716208937218, 0.28231250682313513, 0.12798804248459852]","[0.10194716208937218, 1.4999056584627641, 2.150976873822113, 1.5136724728573894, 1.2526541620426366, 0.8945763278071995, 1.6469613829744274, 1.223214391103272, 1.5809466591628283, 1.0920107903741914, 0.890292388309463, 0.8516470918235776, 0.7054919625117008, 0.6092334347992667, 0.4337049267366054, 0.2582755864227523, 0.3073080495315751, 0.29741261689879145, 5.037909758170354, 0.12798804248459852, 1.914877655294661, 0.28231250682313513, 2.194488173269883, 1.331135124652361, 1.0045091990151889, 2.201454697092941, 1.5669329250222148, 1.45249669364971, 1.5048622647074472, 1.7343470515978363, 1.5538123186094088, 0.9890895013160084, 0.4344750172527279, 0.36403520535372913, 0.393034145962258]",`xtol` termination condition is satisfied.
