seed,ridge,train_rmse,val_rmse,train_r2,val_r2,val_spearman,val_pairwise_order_accuracy,val_top_k,val_top_k_recall,n_train,n_val,shared_qubo_training_evaluations,qubo_training_true_evaluations,equal_total_budget
11,0.0001,4.819875560051184e-06,0.027164139472738186,0.9999999974118239,0.954933144253542,0.9761904761904762,0.9642857142857143,2,0.5,24,8,32,32,True
23,0.0001,5.944697181075484e-06,0.08157020246317326,0.9999999965025479,0.3214559025679822,0.30952380952380953,0.6071428571428571,2,0.5,24,8,32,32,True
37,0.0001,5.0454353531696885e-06,0.07957778009805794,0.9999999981730693,0.653020838825983,0.9285714285714286,0.8928571428571429,2,1.0,24,8,32,32,True
41,0.0001,4.848092229314307e-06,0.033329219686578655,0.9999999973825444,0.8959545613508544,1.0,1.0,2,1.0,24,8,32,32,True
53,0.0001,5.238026903745405e-06,0.045805042692918144,0.999999996273603,0.8637732459316034,0.9523809523809523,0.9285714285714286,2,0.5,24,8,32,32,True
