suite_case_id,record_type,branch_order,mask_index,outage_mask,controls_path,controls_sha256,recorded_terminal_error,replay_terminal_error,terminal_error_delta,tolerance,passes_tolerance,recovery_start,recovery_segments,optimizer_ran,optimizer_success,accepted_candidate,accepted_weight_variant,accepted_initialization,replay_semantics
tail_coast_all_one_two_segment_t5_portfolio,branch,9,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_009_mask_009_controls.json,bd698e9a952d2aa99661f45650d1b6a41546c4619b5eebcdbe859d9f1a75d89d,1.3421492615961595e-05,1.3421492615961595e-05,0.0,1e-10,True,10,4,True,True,optimizer,regularized_001,nominal_post_outage,normalized CR3BP accepted-control replay only; no optimization rerun; no high-fidelity validation
tail_coast_all_one_two_segment_t5_portfolio,branch,10,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_010_mask_010_controls.json,9df5d8c8bad90c3e594a8980ad3e0750c6f4dd43ba9897db38fa972fb5f02460,3.193010421609697e-05,3.193010421609697e-05,0.0,1e-10,True,11,3,True,True,optimizer,regularized_001,nominal_post_outage,normalized CR3BP accepted-control replay only; no optimization rerun; no high-fidelity validation
tail_coast_all_one_two_segment_t5_portfolio,branch,11,11,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_011_mask_011_controls.json,cc3e8780d7ecbb4eaf0e5618cb1cc18a410da08d2ad94ad4d4eaf3598596217d,4.899535593841126e-05,4.899535593841126e-05,0.0,1e-10,True,12,2,True,True,optimizer,terminal_only,nominal_post_outage,normalized CR3BP accepted-control replay only; no optimization rerun; no high-fidelity validation
tail_coast_all_one_two_segment_t5_portfolio,branch,12,12,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_012_mask_012_controls.json,1c169ce2b326a03d694aecd3f4cdb35f08f90f86bd2eed774a9293978ef25465,0.02270944920423301,0.02270944920423301,0.0,1e-10,True,13,1,True,True,optimizer,terminal_only,nominal_post_outage,normalized CR3BP accepted-control replay only; no optimization rerun; no high-fidelity validation
tail_coast_all_one_two_segment_t5_portfolio,branch,13,13,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_013_mask_013_controls.json,34a31b285f43f8ab0684e43993b7e0b82e12a50fd22344b89367e07041f2210b,0.02299233817855882,0.02299233817855882,0.0,1e-10,True,14,0,False,False,no_recovery_variables,regularized_001,no_recovery_variables,normalized CR3BP accepted-control replay only; no optimization rerun; no high-fidelity validation
tail_coast_all_one_two_segment_t5_portfolio,branch,14,14,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_014_mask_014_controls.json,84bbd88511df35140ceddb6227e193a0d405fe6bcb6616ce0d4150469d13722b,1.1480203677362552e-06,1.1480203677362552e-06,0.0,1e-10,True,2,12,True,True,optimizer,terminal_only,constant_y_minus_0p5,normalized CR3BP accepted-control replay only; no optimization rerun; no high-fidelity validation
tail_coast_all_one_two_segment_t5_portfolio,branch,15,15,"[1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_015_mask_015_controls.json,7a6e1db834b8ac8536692444cf394d78c3d41f9686ab82d1da077c58d68c45c5,1.1759801387075436e-06,1.1759801387075436e-06,0.0,1e-10,True,3,11,True,True,optimizer,terminal_only,nominal_post_outage,normalized CR3BP accepted-control replay only; no optimization rerun; no high-fidelity validation
tail_coast_all_one_two_segment_t5_portfolio,branch,16,16,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_016_mask_016_controls.json,b0da49e520befc4d0a31270b759be89b086ac6b44e45c0833f3db3d102b84140,5.856875579566853e-06,5.856875579566853e-06,0.0,1e-10,True,4,10,True,True,optimizer,terminal_only,nominal_post_outage,normalized CR3BP accepted-control replay only; no optimization rerun; no high-fidelity validation
tail_coast_all_one_two_segment_t5_portfolio,branch,17,17,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_017_mask_017_controls.json,225084c4e3c223c76a71f058d0f6093d7d70768255f0eb2559641e9432b979ab,3.4659021044849007e-06,3.4659021044849007e-06,0.0,1e-10,True,5,9,True,True,optimizer,terminal_only,nominal_post_outage,normalized CR3BP accepted-control replay only; no optimization rerun; no high-fidelity validation
tail_coast_all_one_two_segment_t5_portfolio,branch,18,18,"[1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_018_mask_018_controls.json,2ecf498e3ba4aebf4c3fe7283b2055cca7af7fd65732b180b4fe46d1e878c3d3,4.814731319332396e-07,4.814731319332396e-07,0.0,1e-10,True,6,8,True,True,optimizer,terminal_only,nominal_post_outage,normalized CR3BP accepted-control replay only; no optimization rerun; no high-fidelity validation
tail_coast_all_one_two_segment_t5_portfolio,branch,19,19,"[1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_019_mask_019_controls.json,120dec13316c394a7e11e9f409c2ce8467f76ce467f0347e83699a35b3c8936d,6.951230378837426e-06,6.951230378837426e-06,0.0,1e-10,True,7,7,True,True,optimizer,terminal_only,nominal_post_outage,normalized CR3BP accepted-control replay only; no optimization rerun; no high-fidelity validation
tail_coast_all_one_two_segment_t5_portfolio,branch,20,20,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_020_mask_020_controls.json,e5fb1bcd25c8d6d1a67614c4933b5e9e6acd9b75327e00e0ffad6ec23038eea1,7.197793524271744e-07,7.197793524271744e-07,0.0,1e-10,True,8,6,True,True,optimizer,terminal_only,constant_x_minus_0p5,normalized CR3BP accepted-control replay only; no optimization rerun; no high-fidelity validation
tail_coast_all_one_two_segment_t5_portfolio,branch,21,21,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_021_mask_021_controls.json,1ba787bc23e4193dbbb4b8fb1102998dcfc62707f5ea8ccc8d799aaeb784b6b4,2.541356404936555e-06,2.541356404936555e-06,0.0,1e-10,True,9,5,True,True,optimizer,terminal_only,constant_x_plus_0p5,normalized CR3BP accepted-control replay only; no optimization rerun; no high-fidelity validation
tail_coast_all_one_two_segment_t5_portfolio,branch,22,22,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_022_mask_022_controls.json,85cd6ef61d77c183752b6de4f698049c8c7b61f6fe5a27c52c4bfff9df18162d,0.0936063931709301,0.0936063931709301,0.0,1e-10,True,10,4,True,True,optimizer,terminal_only,nominal_post_outage,normalized CR3BP accepted-control replay only; no optimization rerun; no high-fidelity validation
tail_coast_all_one_two_segment_t5_portfolio,branch,23,23,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_023_mask_023_controls.json,e159301be65c1d3241a21720d1de76a6c76b7554693988ed648a6c4c1f7367eb,3.193010421609697e-05,3.193010421609697e-05,0.0,1e-10,True,11,3,True,True,optimizer,regularized_001,nominal_post_outage,normalized CR3BP accepted-control replay only; no optimization rerun; no high-fidelity validation
tail_coast_all_one_two_segment_t5_portfolio,branch,24,24,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_024_mask_024_controls.json,90c2ab0d2d407a83d92adaa97da3a17f879b9e785fb03b43cd3cfa41b6ee3905,4.899535593841126e-05,4.899535593841126e-05,0.0,1e-10,True,12,2,True,True,optimizer,terminal_only,nominal_post_outage,normalized CR3BP accepted-control replay only; no optimization rerun; no high-fidelity validation
tail_coast_all_one_two_segment_t5_portfolio,branch,25,25,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_025_mask_025_controls.json,d0173105a8cab9b54da962123b8bca27c81c5e76ebcd3f2e4eb25468d252a561,0.02270944920423301,0.02270944920423301,0.0,1e-10,True,13,1,True,True,optimizer,terminal_only,nominal_post_outage,normalized CR3BP accepted-control replay only; no optimization rerun; no high-fidelity validation
tail_coast_all_one_two_segment_t5_portfolio,branch,26,26,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_026_mask_026_controls.json,e167db8bf69a67a62a57bd4986d96e0568909aedcc35474f023c4dffe4b8bee9,0.02299233817855882,0.02299233817855882,0.0,1e-10,True,14,0,False,False,no_recovery_variables,regularized_001,no_recovery_variables,normalized CR3BP accepted-control replay only; no optimization rerun; no high-fidelity validation
