suite_case_id,case_type,target_mode,target_generation,phase_time,transfer_time,amax,segments,selected_outages,min_recovery_segments,max_nfev,settings_fingerprint,config_hash,source_states_id,nominal_error,selected_worst_error,all_mask_worst_error,nominal_threshold,selected_worst_threshold,thresholds,meets_nominal_threshold,meets_selected_worst_threshold,meets_thresholds,control_max_norm,control_bound_violation,nfev,runtime_seconds,selected_outage_indices,selected_outage_errors,all_outage_errors,selected_branch_semantics,all_mask_diagnostic_semantics,optimizer_success,multiple_shooting_success,accepted_candidate,node_initialization,solver_mode,message
135e9dc89d9afcbb,selected_branch,catalog_halo_phase_shift,JPL initial_nrho_like_l2_southern_halo propagated ballistically in CR3BP for phase_time,0.2,0.5,0.2,12,1,1,40,591725969f00af5c6f0ac8102edf49f2cbea2491675a60f66d9052a04f6ead8a,e0ca1fb4cf6cd073071bf92e3aa9018ef8af438be8d1f470114b5eaf8464d191,//nas/Projects/Papers/quantum-low-thrust/data/source_states.json|sha256=24f3e8900a33e87ed60f28cb61da10346e71f481288202350db5617c6e3d15cf,0.19392163985017,0.21682696670672696,0.22876367588392696,0.09,0.17,"{""nominal_success"": 0.09, ""selected_recovery_success"": 0.17}",False,False,False,0.2,2.7755575615628914e-17,22,12.684834100000444,[4],[0.21682696670672696],"[0.22876367588392696, 0.22662052683515618, 0.22467177725954127, 0.2228845430535427, 0.21682696670672696, 0.21950859854071833, 0.21835959634172739, 0.2174502282751858, 0.21674842923708904, 0.2162372367856367, 0.2159057333943465, 0.2157387029664658]",selected outage masks are optimized with branch-recovery controls,"all masks are evaluated diagnostically; unselected masks use masked nominal controls, not optimized recovery branches",True,False,optimizer,linear,bounded_projected_multiple_shooting,`ftol` termination condition is satisfied.
23a4dd6543056533,selected_branch,catalog_halo_phase_shift,JPL initial_nrho_like_l2_southern_halo propagated ballistically in CR3BP for phase_time,0.3,0.5,0.2,12,1,1,40,168e5857e87473c480fcd5f309d591f7fc52ea68fc1756064b44724e4f87f283,c98139d7a425ddb6e5ec0f29aa7a97384bb762ff73d9953e2fa3d8593c800c0c,//nas/Projects/Papers/quantum-low-thrust/data/source_states.json|sha256=24f3e8900a33e87ed60f28cb61da10346e71f481288202350db5617c6e3d15cf,0.0479437235199105,0.06191814372587465,0.07521775559421287,0.09,0.17,"{""nominal_success"": 0.09, ""selected_recovery_success"": 0.17}",True,True,True,0.20000000000000007,5.551115123125783e-17,24,17.526141700000153,[6],[0.06191814372587465],"[0.07521775559421287, 0.07324042599181926, 0.07149967620338525, 0.06997627802066306, 0.0686423692270739, 0.06743764426775122, 0.06191814372587465, 0.06525495164494242, 0.06455526636193724, 0.06404728043887153, 0.06367591182279396, 0.0633862963626242]",selected outage masks are optimized with branch-recovery controls,"all masks are evaluated diagnostically; unselected masks use masked nominal controls, not optimized recovery branches",True,True,optimizer,linear,bounded_projected_multiple_shooting,`gtol` termination condition is satisfied.
6becc16ff75300c5,selected_branch,catalog_halo_phase_shift,JPL initial_nrho_like_l2_southern_halo propagated ballistically in CR3BP for phase_time,0.4,0.5,0.2,12,1,1,40,4d7d1d310f3ea1e6fe146c430da4235be83913406e36d70d816357524b06a565,2dd07a590cd9c9b7fcd083125eb9d2a46160dee6880024278d19910e0ebd7b1a,//nas/Projects/Papers/quantum-low-thrust/data/source_states.json|sha256=24f3e8900a33e87ed60f28cb61da10346e71f481288202350db5617c6e3d15cf,0.025967269021482414,0.008260576101374987,0.027405827699237755,0.09,0.17,"{""nominal_success"": 0.09, ""selected_recovery_success"": 0.17}",True,True,True,0.20000000000000004,2.7755575615628914e-17,40,40.3374502000006,[8],[0.008260576101374987],"[0.027405827699237755, 0.027360239075942202, 0.026342287241286524, 0.02410053710632431, 0.020719489484551983, 0.016074607013149337, 0.011623020032157271, 0.010475512433467109, 0.008260576101374987, 0.018214296822043743, 0.022501702052586815, 0.024857650660415537]",selected outage masks are optimized with branch-recovery controls,"all masks are evaluated diagnostically; unselected masks use masked nominal controls, not optimized recovery branches",False,True,optimizer,linear,bounded_projected_multiple_shooting,The maximum number of function evaluations is exceeded.
76cffd8e07ddd92f,all_outage_selected_diagnostic,catalog_halo_phase_shift,JPL initial_nrho_like_l2_southern_halo propagated ballistically in CR3BP for phase_time,0.3,0.5,0.2,12,12,1,40,303c72a773fb51eb57cc3c17565766f074d0a7cba4a34685f7ff72bb83490049,c98139d7a425ddb6e5ec0f29aa7a97384bb762ff73d9953e2fa3d8593c800c0c,//nas/Projects/Papers/quantum-low-thrust/data/source_states.json|sha256=24f3e8900a33e87ed60f28cb61da10346e71f481288202350db5617c6e3d15cf,0.03957290904473256,0.35807698662901444,0.35807698662901444,0.09,0.17,"{""nominal_success"": 0.09, ""selected_recovery_success"": 0.17}",True,False,False,0.2,2.7755575615628914e-17,40,366.69972179999604,"[0, 1, 2, 3, 4, 5, 11, 10, 9, 8, 7, 6]","[0.35807698662901444, 0.2871660177522866, 0.21872105856522234, 0.15543996636430038, 0.10242387081149001, 0.06486791260113112, 0.062290940417467314, 0.060353705806710886, 0.058983394440097335, 0.0580738950005044, 0.05759316480505405, 0.0573894238884007]","[0.35807698662901444, 0.2871660177522866, 0.21872105856522234, 0.15543996636430038, 0.10242387081149001, 0.06486791260113112, 0.062290940417467314, 0.060353705806710886, 0.058983394440097335, 0.0580738950005044, 0.05759316480505405, 0.0573894238884007]",selected outage masks are optimized with branch-recovery controls,"all masks are evaluated diagnostically; unselected masks use masked nominal controls, not optimized recovery branches",False,False,optimizer,linear,bounded_projected_multiple_shooting,The maximum number of function evaluations is exceeded.
