transfer_time,amax,segments,max_nfev,substeps_per_segment,selected_outages,node_initialization,node_initialization_blend,nominal_first_homotopy,nominal_first_max_nfev,min_recovery_segments,initial_weight,defect_weight,terminal_weight,branch_terminal_weight,branch_start_weight,control_weight,smooth_weight,solver_mode,bounded_controls_in_residual,residual_control_max_norm,evaluation_control_max_norm,control_bound_violation,warm_start_refinement,warm_start_max_nfev,config_hash,source_states_id,settings_fingerprint,schedule,base_nominal_error,base_worst_error,nominal_error,selected_recovery_worst_error,selected_worst_error,all_outage_worst_error,all_mask_worst_error,nominal_threshold,selected_recovery_threshold,selected_worst_threshold,meets_nominal_threshold,meets_selected_recovery_threshold,meets_selected_worst_threshold,meets_thresholds,optimizer_success,multiple_shooting_success,cost,optimality,nfev,runtime_seconds,control_max_norm,accepted_candidate,warm_start_refinement_nfev,warm_start_nominal_error,warm_start_selected_worst_error,nominal_first_nfev,nominal_first_nominal_error,nominal_first_selected_worst_error,nominal_first_all_mask_worst_error,nominal_fuel,recovery_fuel_mean,recovery_fuel_max,selected_outage_indices,selected_outage_errors,all_outage_errors,message
4.0,0.3,14,250,7,3,linear,0.5,False,0,4,10.0,1.0,4.0,4.0,5.0,0.01,0.01,bounded_projected_multiple_shooting,True,0.3,0.3,0.0,False,90,legacy_unknown,legacy_unknown,1edef50a9bfb9dd23b695baf0fcb59d6d1b440d0ab71da57cbf3758ac58e4716,11111111111111,1.0331142972159248,97.42000056771096,1.598105624234338,1.9548470924670016,1.9548470924670016,20.130404861861475,20.130404861861475,0.09,0.17,0.17,False,False,False,False,True,False,1.978503665757405,513.8917314760124,14,22.960145700002613,0.3,optimizer,0,,,0,,,,1.1999999999999995,1.0857142857142854,1.114285714285714,"[5, 14, 9]","[1.9548470924670016, 1.1119156782998914, 1.4534037621350486]","[2.9868700006761166, 2.3476385076812867, 1.0656966636088911, 1.1831569473248507, 1.1596724561095186, 1.9548470924670016, 2.2331426945973396, 0.5811910246316431, 1.9518228711282761, 1.1119156782998914, 2.9947318002857726, 2.424508044976584, 1.6899804454261906, 2.0500641010435983, 1.4534037621350486, 4.284290035984841, 1.2158697041586024, 1.1987181923034784, 6.31578415777573, 1.051064250850803, 1.688671791669085, 3.0723884323517954, 20.130404861861475, 1.39093932368191, 1.6346437244859129, 1.5276248351044468, 1.8312828157010699]",`xtol` termination condition is satisfied.
5.0,0.5,14,100,7,0,linear,0.5,False,0,4,10.0,1.0,4.0,4.0,5.0,0.01,0.01,bounded_projected_multiple_shooting,True,0.5,0.5,0.0,False,90,legacy_unknown,legacy_unknown,ab2344e796ad41ac13588ad77bba7dfe3540b5630bd13d00e2ea4bbc48b8319a,11111111111111,28.40313001828383,59.24412889966438,0.5154144698787813,0.5154144698787813,0.5154144698787813,55.28448823347304,55.28448823347304,0.09,0.17,0.17,False,False,False,False,False,False,0.0007425006711312,0.0033727989205304,100,43.43527609999728,0.5,optimizer,0,,,0,,,,2.5,2.5,2.5,[],[],"[35.74404293183267, 55.28448823347304, 18.806653888153217, 20.40341880789714, 22.03737309867332, 14.681150635973406, 6.7224390081755665, 4.172015017807815, 0.6573952266004418, 0.8909252252139347, 0.9525821947013319, 0.6294154727269811, 0.45334526887130633, 0.6893019491813385, 14.380883428846154, 5.100218534625401, 1.739207968352765, 9.923919411572458, 3.169324043790674, 4.038020797867523, 26.716788890502205, 3.4579325497583286, 2.325013832237071, 1.503949960088769, 1.4250867650028016, 0.8351444055374564, 0.8559405536126243]",The maximum number of function evaluations is exceeded.
6.0,0.5,14,100,7,0,linear,0.5,False,0,4,10.0,1.0,4.0,4.0,5.0,0.01,0.01,bounded_projected_multiple_shooting,True,0.5,0.5,0.0,False,90,legacy_unknown,legacy_unknown,0494cd3b39005f1c1fa04193f2c4897264044c5fae1577ed01a0ab4835a61621,11111111111111,17.842153759227998,25.713685482518112,7.483045757518101,7.483045757518101,7.483045757518101,119.24123969082724,119.24123969082724,0.09,0.17,0.17,False,False,False,False,False,False,0.6631227224498659,0.024409836759983,100,49.90718700000434,0.5,optimizer,0,,,0,,,,3.0,3.0,3.0,[],[],"[6.07099245886478, 10.325368907481614, 8.246601426872104, 119.24123969082724, 11.18567677544903, 8.63534537928835, 14.86694250647024, 13.723006340808446, 14.301244444016339, 16.558532737589886, 58.12822233272774, 8.769925011971496, 13.588771507024749, 6.8465061931533135, 7.332100357015212, 9.482478356130308, 6.650512487003545, 9.742768795753008, 11.046120038539655, 10.615401737958603, 8.817593528476877, 9.332361671773935, 7.776536688913764, 6.434389878795941, 47.780777988566, 9.963590079645112, 12.698725644751226]",The maximum number of function evaluations is exceeded.
5.0,0.5,14,30,7,3,linear,0.5,False,0,4,10.0,1.0,4.0,4.0,5.0,0.01,0.01,bounded_projected_multiple_shooting,True,0.5,0.5,0.0,False,90,legacy_unknown,legacy_unknown,023eafb2b16b488b527c43bf681e7774fa4c9073ea863e3eb00ab6aa1c948606,11111111111111,28.40313001828383,59.24412889966438,6.175279759445224,5.764292323537192,5.764292323537192,9.064980836701997,9.064980836701997,0.09,0.17,0.17,False,False,False,False,False,False,79.12264929700211,3951.202689625217,30,68.26835030000075,0.5,optimizer,0,,,0,,,,2.5,2.2619047619047623,2.321428571428572,"[4, 17, 7]","[2.8392051339658586, 3.7519783157431745, 5.764292323537192]","[2.4928043904270045, 3.4882136782850197, 3.051565431073964, 3.0145361104461488, 2.8392051339658586, 5.068368810389999, 4.223677211587079, 3.7519783157431745, 3.665876871088952, 4.656303488162092, 3.652579965933643, 6.07133426486163, 9.064980836701995, 6.282908120745444, 8.851014403579907, 1.8778200108812915, 2.2560365824217006, 5.764292323537192, 3.6482724079743085, 2.4936084034714576, 2.029110931193327, 2.443869266948952, 2.946751391616427, 2.7895950292674954, 8.580699950001494, 5.440354429740834, 8.125360040107713]",The maximum number of function evaluations is exceeded.
4.0,0.3,14,100,7,3,linear,0.5,True,69,4,10.0,1.0,4.0,4.0,5.0,0.01,0.01,bounded_projected_multiple_shooting,True,0.3,0.3,0.0,False,90,legacy_unknown,legacy_unknown,9f5a685418ef11a35e745bc0daea2e884e65a987aa5b768c73e33914531d6f68,11111111111111,1.0331142972159248,97.42000056771096,1.6272751750909635,4.396439135909519,4.396439135909519,5.550326651071626,5.550326651071626,0.09,0.17,0.17,False,False,False,False,True,False,0.0066675278340472,0.1571476912631214,74,172.03163529999438,0.3,initial,0,,,69,1.6272751750909635,1.6272751750909635,5.550326651071626,1.1999999999999995,1.0857142857142854,1.114285714285714,"[5, 14, 9]","[0.7853123655634004, 2.1987263736056977, 4.396439135909519]","[5.550326651071626, 2.9853573587594493, 5.356850248100848, 1.135778257119392, 0.9887651950465505, 0.7853123655634004, 0.8230582965501204, 1.9852096585762757, 1.3268741768390686, 2.1987263736056977, 0.5174848040167902, 1.7752489566306526, 1.7238264625448423, 1.7836683020148896, 4.396439135909519, 2.223700589443286, 5.223334951144632, 0.9591310286416713, 4.652866301458965, 0.5390968883080408, 2.3171171227875424, 5.149065900175352, 1.2921009984515617, 1.0605100930495317, 1.6515177808671362, 1.6778187685249557, 1.8642049212745342]",`xtol` termination condition is satisfied.
4.0,0.5,14,100,7,3,linear,0.5,False,0,4,10.0,1.0,4.0,4.0,5.0,0.01,0.01,bounded_projected_multiple_shooting,True,0.5,0.5,0.0,False,90,legacy_unknown,legacy_unknown,035ee15864d990ef5581997e0cf5e30cfce26fcb52810ffefb649d76a03909ae,11111111111111,3.033783174402065,9.125905634598102,1.535537037935866,1.2267520306802633,1.2267520306802633,25.142635038461123,25.142635038461123,0.09,0.17,0.17,False,False,False,False,False,False,0.0029751847064902,0.003283270522501,100,118.96049260000292,0.5,optimizer,0,,,0,,,,2.0,1.761904761904762,1.857142857142857,"[3, 15, 14]","[0.4207279066507202, 1.2267520306802633, 0.2990571453844911]","[10.215713975447205, 16.34521364196456, 14.028672118489746, 0.4207279066507202, 25.142635038461123, 3.278768848352296, 8.118316744827403, 7.219020409841702, 1.7377931714746173, 1.334129711861192, 1.36292855863609, 1.200008161577091, 1.1112985321597066, 1.7696602894532243, 1.2267520306802633, 0.2990571453844911, 8.264297869781378, 2.21411803628026, 3.480869791415602, 13.384797328147444, 8.959302038181228, 11.76634009190842, 2.082715600520581, 1.361089374200514, 1.1852859205255333, 0.786881193631011, 1.3717530374370173]",The maximum number of function evaluations is exceeded.
4.0,1.0,14,220,7,1,blend,0.35,True,120,4,10.0,1.0,12.0,4.0,6.0,0.003,0.003,bounded_projected_multiple_shooting,True,1.0,1.0,0.0,False,90,1c174c4d7b7ce83e35c47c9161d2049c7b25627f4b921a99b9e3fc26887a6b26,//nas/Projects/Papers/quantum-low-thrust/data/source_states.json|sha256=24f3e8900a33e87ed60f28cb61da10346e71f481288202350db5617c6e3d15cf,af0f92ddf58716bcd653371f634433905fdbf4decca4449d4316e224a1dd9c23,11111111111111,0.8870569138166521,1.0145654276072478,0.17139365630671452,0.0003928198955727778,0.0003928198955727778,8.117972755501434,8.117972755501434,0.09,0.17,0.17,False,True,True,False,False,False,0.0001120437496751384,0.00020535107911145794,220,507.1262791999907,1.0,optimizer,0,,,120,0.016048994761627845,0.016048994761627845,7.460630546317322,4.0,3.4285714285714284,3.4285714285714284,[22],[0.0003928198955727778],"[5.17485485580334, 3.2197027993758094, 3.2962368171198997, 3.8002513961451987, 3.91599379848724, 3.2891662211365476, 2.2470432286768216, 2.157495355270138, 1.4105619945333097, 1.8978928372702424, 1.629271118160366, 1.3041373997684826, 1.1236906723610829, 0.9276942891707501, 4.732710716733225, 5.728695744257521, 5.748812071248663, 7.131160228220406, 8.117972755501434, 5.696966040532894, 4.456363155213076, 5.062986296377635, 0.0003928198955727778, 3.2861118204074153, 2.7554039516840017, 2.1909834635537413, 1.478088699837762]",The maximum number of function evaluations is exceeded.
