threshold_id,suite_case_id,target_mode,nominal_threshold,selected_or_all_worst_threshold,nominal_error,selected_worst_error,all_mask_worst_error,nominal_pass,selected_worst_pass,all_mask_worst_pass,passes_threshold_pair,audit_semantics,source_artifact
configured_0p09_0p17,tail_coast_all_one_two_segment_t5_portfolio,catalog_dro_phase,0.09,0.17,0.02299233817855882,0.0936063931709301,0.0936063931709301,True,True,True,True,Recorded-error threshold audit only; no optimization rerun and no new trajectory solve.,data/results/hard_catalog_tail_coast_recovery/tail_coast_recovery.csv
screen_0p05_0p12,tail_coast_all_one_two_segment_t5_portfolio,catalog_dro_phase,0.05,0.12,0.02299233817855882,0.0936063931709301,0.0936063931709301,True,True,True,True,Recorded-error threshold audit only; no optimization rerun and no new trajectory solve.,data/results/hard_catalog_tail_coast_recovery/tail_coast_recovery.csv
near_margin_0p025_0p095,tail_coast_all_one_two_segment_t5_portfolio,catalog_dro_phase,0.025,0.095,0.02299233817855882,0.0936063931709301,0.0936063931709301,True,True,True,True,Recorded-error threshold audit only; no optimization rerun and no new trajectory solve.,data/results/hard_catalog_tail_coast_recovery/tail_coast_recovery.csv
robust_tight_0p025_0p09,tail_coast_all_one_two_segment_t5_portfolio,catalog_dro_phase,0.025,0.09,0.02299233817855882,0.0936063931709301,0.0936063931709301,True,False,False,False,Recorded-error threshold audit only; no optimization rerun and no new trajectory solve.,data/results/hard_catalog_tail_coast_recovery/tail_coast_recovery.csv
very_tight_0p02_0p09,tail_coast_all_one_two_segment_t5_portfolio,catalog_dro_phase,0.02,0.09,0.02299233817855882,0.0936063931709301,0.0936063931709301,False,False,False,False,Recorded-error threshold audit only; no optimization rerun and no new trajectory solve.,data/results/hard_catalog_tail_coast_recovery/tail_coast_recovery.csv
