method,runs,successes,success_rate,success_rate_wilson95_lower,success_rate_wilson95_upper
surrogate_qubo_sa,30,28,0.9333333333333333,0.7867654163738308,0.9815229762087295
exact_qubo_top24,30,28,0.9333333333333333,0.7867654163738308,0.9815229762087295
qaoa_random_p1,30,15,0.5,0.33154125640533766,0.6684587435946623
qaoa_optimized_p1,30,21,0.7,0.5212421254128504,0.8333525173175619
qaoa_optimized_p2,30,29,0.9666666666666667,0.8332960900859082,0.9940914096183874
