seed,split,true,predicted
131,train,2.1624841187144423,2.1625139147157135
131,train,3.784088608926853,3.7840947277919468
131,train,3.038780561580158,3.0387963862469283
131,train,4.884550659626489,4.88460936492007
131,train,0.8281461898715251,0.8280418922092034
131,train,1.1674809417068002,1.1674403991444724
131,train,4.781015858768616,4.780895539292273
131,train,1.4906361476619931,1.4906919990535685
131,train,3.8152629076706086,3.815230534956622
131,train,1.6419702099362712,1.6420357355694
131,train,2.966734157434148,2.966796379772799
131,train,2.1578953093979476,2.1579224138901862
131,train,6.192203944872563,6.192145572733227
131,train,3.9027837035915725,3.9028010191681153
131,train,6.1882213742068855,6.188173623860408
131,train,0.836628474916579,0.8366272280355134
131,train,6.193515346988836,6.193500929731158
131,train,1.6133399748017143,1.6133445984286752
131,train,2.164359220281702,2.1644610575245005
131,train,1.262289083892467,1.2622650826677442
131,train,1.1486889297269052,1.1487232474761866
131,train,4.880627260073761,4.880572151759936
131,train,2.265773063165973,2.265692431510291
131,train,1.2576698992537816,1.257672124131231
131,train,1.5264885808686635,1.526357494498977
131,train,2.257201924174151,2.257249441188528
131,train,1.1782968742282853,1.1782040838665033
131,train,2.2643996385049587,2.2643123518936603
131,train,7.430462525429743,7.430545070936701
131,train,1.6327985670863339,1.6329236205774604
131,train,2.8571059295564614,2.8570930062035034
131,train,1.5523076837817336,1.552339921527188
131,train,0.913504599196841,0.913719465304131
131,train,1.5019768336136843,1.5020613102698468
131,train,4.906525598552298,4.906570047942404
131,train,1.166134524878598,1.166210269858034
131,train,2.927518782773192,2.9275560093855084
131,train,2.9428007399820326,2.942857091323418
131,train,4.866682031295705,4.866635261988286
131,train,6.194025465240724,6.194015208560053
131,train,3.038519478932171,3.038435546213056
131,train,2.1345356882376683,2.1345347456047374
131,train,2.269013321083847,2.2691227500739037
131,train,3.0140947927129975,3.014092044359403
131,train,3.051528140902987,3.051491382840039
131,train,2.8235108064963526,2.823496327678945
131,train,2.9190480842211306,2.919023635546206
131,train,2.9171618014836014,2.917074499960628
131,train,1.7182032628348352,1.718338178131253
131,train,2.9526285659139355,2.9526089344808595
131,train,1.1673350600517964,1.1673578750979434
131,train,10.778568303316494,10.778071532190857
131,train,6.241388954106849,6.241482106006568
131,train,0.883395807543342,0.8835311254514704
131,train,2.2484419988632633,2.2484681348758846
131,train,2.964368243040746,2.9644552613576822
131,train,2.1511831562713626,2.1512406183240227
131,train,2.8271349811075956,2.8272429719871592
131,train,3.787864648370356,3.787864557432214
131,train,2.8332323701233495,2.833255641908927
131,train,2.1726979999471037,2.1726540301955763
131,train,2.8818242274534733,2.8817972266914578
131,train,1.6477496969876797,1.6476311380215798
131,train,2.930791435075411,2.930791351156886
131,train,2.9444907634458444,2.9444855392633995
131,train,3.8808507262232728,3.880852382185248
131,train,4.903720363879172,4.903784875573788
131,train,1.5534482356664925,1.553471804526837
131,train,6.1398051227647015,6.139899602328109
131,train,0.9518086862862225,0.9514175559261002
131,train,2.9430761806641352,2.943142127884448
131,train,3.780086769046248,3.780070406096936
131,val,1.751217717109679,2.092914302698089
131,val,3.891129046642152,4.046153152940577
131,val,2.941541187692859,3.0773974647708604
131,val,0.9196915718203144,0.8082115224778426
131,val,2.958763365250213,3.318078435792014
131,val,6.160797718144533,6.228770691737447
131,val,3.81905712109986,3.941117348373507
131,val,6.155146637530886,6.079978970029472
131,val,1.7540336136282597,1.7847368872529499
131,val,2.938400439220933,2.827693542982903
131,val,1.5534482356664925,1.553471804526837
131,val,1.2397875619277983,1.1710639639093776
131,val,6.074213763909305,6.165193586733236
131,val,2.129529859731208,2.1402689982911074
131,val,3.8901137984386827,3.991512221078975
131,val,4.998762270815313,5.153913701140376
131,val,1.554792097449929,1.2994567663452834
131,val,1.6391159989667077,1.5954884095410071
131,val,2.0839927169282237,2.188881299874128
131,val,2.173508496462339,2.3837530752583387
131,val,1.985238238878469,2.3200088661698413
131,val,6.154847696315697,6.350312618036912
131,val,1.64050432774886,1.6899082990248189
131,val,0.915007521581994,0.8473590974137589
