baseline_method,method,paired_seeds,baseline_successes,method_successes,paired_success_delta_mean,paired_success_delta_sum,selected_worst_error_diff_mean,selected_worst_error_diff_mean_bootstrap95_lower,selected_worst_error_diff_mean_bootstrap95_upper,selected_worst_error_diff_median,selected_worst_error_diff_median_bootstrap95_lower,selected_worst_error_diff_median_bootstrap95_upper,selected_worst_error_diff_negative_favors_method,selected_worst_error_method_wins,selected_worst_error_method_losses,selected_worst_error_ties,selected_worst_error_sign_test_p_two_sided
surrogate_qubo_sa,exact_qubo_top24,30,28,28,0.0,0,0.0005946280976020225,-0.0026007426004183466,0.0038886142265625733,0.0,0.0,0.001509898392491285,True,6,11,13,0.332305908203125
surrogate_qubo_sa,qaoa_random_p1,30,28,15,-0.43333333333333335,-13,0.011936460355976432,0.005301215697590843,0.01844219584287456,0.0010131765457034592,-0.001509898392491285,0.025785277694557844,True,12,16,2,0.5715881884098053
surrogate_qubo_sa,qaoa_optimized_p1,30,28,21,-0.23333333333333334,-7,0.004769623971857368,-0.001240811171938551,0.010904264583837786,0.0,-0.0033793678282395406,0.0032221315619886323,True,13,13,4,1.0
surrogate_qubo_sa,qaoa_optimized_p2,30,28,29,0.03333333333333333,1,-0.0005588316219162758,-0.0039319333145621735,0.002363977999505343,0.0,0.0,0.00017866998583412202,True,6,10,14,0.454498291015625
qaoa_random_p1,qaoa_optimized_p1,30,15,21,0.2,6,-0.007166836384119065,-0.014129623485236165,-5.8456848631992956e-05,-0.003979229362896276,-0.010813105181177257,0.0012742202984110454,True,18,12,0,0.361594608053565
qaoa_random_p1,qaoa_optimized_p2,30,15,29,0.4666666666666667,14,-0.012495291977892705,-0.018813808228953042,-0.006025124013867747,-0.012138399660955201,-0.024698345237994856,0.0007549491962456426,True,17,10,3,0.24778856337070465
