baseline_method,method,seed,baseline_success,method_success,success_delta,baseline_selected_worst_error,method_selected_worst_error,selected_worst_error_diff
surrogate_qubo_sa,exact_qubo_top24,11,True,True,0,0.08918526287155164,0.09407452909228246,0.004889266220730826
surrogate_qubo_sa,exact_qubo_top24,23,True,True,0,0.09407452909228246,0.08814672066722083,-0.005927808425061631
surrogate_qubo_sa,exact_qubo_top24,37,True,True,0,0.09407452909228246,0.09407452909228246,0.0
surrogate_qubo_sa,exact_qubo_top24,41,True,True,0,0.09407452909228246,0.09407452909228246,0.0
surrogate_qubo_sa,exact_qubo_top24,53,True,True,0,0.09256463069979118,0.09407452909228246,0.001509898392491285
surrogate_qubo_sa,exact_qubo_top24,67,True,False,-1,0.09407452909228246,0.12792099166140974,0.03384646256912728
surrogate_qubo_sa,exact_qubo_top24,79,True,True,0,0.0876302659683052,0.09407452909228246,0.006444263123977265
surrogate_qubo_sa,exact_qubo_top24,83,True,True,0,0.09407452909228246,0.09407452909228246,0.0
surrogate_qubo_sa,exact_qubo_top24,97,True,True,0,0.09220729072812293,0.09407452909228246,0.0018672383641595292
surrogate_qubo_sa,exact_qubo_top24,101,True,True,0,0.08918526287155164,0.09407452909228246,0.004889266220730826
surrogate_qubo_sa,exact_qubo_top24,107,True,True,0,0.09407452909228246,0.09407452909228246,0.0
surrogate_qubo_sa,exact_qubo_top24,109,False,False,0,0.12203281476453463,0.12118797291086487,-0.0008448418536697588
surrogate_qubo_sa,exact_qubo_top24,113,True,True,0,0.09407452909228246,0.09407452909228246,0.0
surrogate_qubo_sa,exact_qubo_top24,127,True,True,0,0.09256463069979118,0.09256463069979118,0.0
surrogate_qubo_sa,exact_qubo_top24,131,True,True,0,0.09407452909228246,0.09407452909228246,0.0
surrogate_qubo_sa,exact_qubo_top24,137,True,True,0,0.09407452909228246,0.09407452909228246,0.0
surrogate_qubo_sa,exact_qubo_top24,139,True,True,0,0.09256463069979118,0.08814672066722083,-0.004417910032570346
surrogate_qubo_sa,exact_qubo_top24,149,True,True,0,0.08918526287155164,0.09407452909228246,0.004889266220730826
surrogate_qubo_sa,exact_qubo_top24,151,True,True,0,0.0876302659683052,0.0876302659683052,0.0
surrogate_qubo_sa,exact_qubo_top24,157,True,True,0,0.09407452909228246,0.09256463069979118,-0.001509898392491285
surrogate_qubo_sa,exact_qubo_top24,163,True,True,0,0.09407452909228246,0.09407452909228246,0.0
surrogate_qubo_sa,exact_qubo_top24,167,True,True,0,0.09407452909228246,0.09220729072812293,-0.0018672383641595292
surrogate_qubo_sa,exact_qubo_top24,173,False,True,1,0.12047277532478883,0.08814672066722083,-0.03232605465756799
surrogate_qubo_sa,exact_qubo_top24,179,True,True,0,0.09407452909228246,0.09407452909228246,0.0
surrogate_qubo_sa,exact_qubo_top24,181,True,True,0,0.09256463069979118,0.09407452909228246,0.001509898392491285
surrogate_qubo_sa,exact_qubo_top24,191,True,True,0,0.09407452909228246,0.09407452909228246,0.0
surrogate_qubo_sa,exact_qubo_top24,193,True,True,0,0.09256463069979118,0.09256463069979118,0.0
surrogate_qubo_sa,exact_qubo_top24,197,True,True,0,0.09256463069979118,0.09407452909228246,0.001509898392491285
surrogate_qubo_sa,exact_qubo_top24,199,True,True,0,0.09256463069979118,0.09407452909228246,0.001509898392491285
surrogate_qubo_sa,exact_qubo_top24,211,True,True,0,0.09220729072812293,0.09407452909228246,0.0018672383641595292
surrogate_qubo_sa,qaoa_random_p1,11,True,False,-1,0.08918526287155164,0.12593070342942508,0.036745440557873446
surrogate_qubo_sa,qaoa_random_p1,23,True,False,-1,0.09407452909228246,0.12792099166140974,0.03384646256912728
surrogate_qubo_sa,qaoa_random_p1,37,True,False,-1,0.09407452909228246,0.1169007674328321,0.022826238340549643
surrogate_qubo_sa,qaoa_random_p1,41,True,True,0,0.09407452909228246,0.08918526287155164,-0.004889266220730826
surrogate_qubo_sa,qaoa_random_p1,53,True,False,-1,0.09256463069979118,0.12792099166140974,0.035356360961618566
surrogate_qubo_sa,qaoa_random_p1,67,True,True,0,0.09407452909228246,0.08814672066722083,-0.005927808425061631
surrogate_qubo_sa,qaoa_random_p1,79,True,False,-1,0.0876302659683052,0.12377380024429846,0.03614353427599326
surrogate_qubo_sa,qaoa_random_p1,83,True,True,0,0.09407452909228246,0.09256463069979118,-0.001509898392491285
surrogate_qubo_sa,qaoa_random_p1,97,True,False,-1,0.09220729072812293,0.12593070342942508,0.03372341270130215
surrogate_qubo_sa,qaoa_random_p1,101,True,False,-1,0.08918526287155164,0.11684143002170158,0.027656167150149943
surrogate_qubo_sa,qaoa_random_p1,107,True,True,0,0.09407452909228246,0.08918526287155164,-0.004889266220730826
surrogate_qubo_sa,qaoa_random_p1,109,False,True,1,0.12203281476453463,0.09407452909228246,-0.02795828567225217
