seed,split,true,predicted
41,train,1.624032142423315,1.6238828601050603
41,train,6.175166143069121,6.1752579504427745
41,train,6.077741505246204,6.0773827166815835
41,train,2.2342350345172433,2.2341162914207087
41,train,4.949479362904805,4.949508798931192
41,train,4.896312261308964,4.8964899087658145
41,train,2.2603539309863994,2.260305996612324
41,train,1.6405845567197312,1.640489572603297
41,train,4.794378279704764,4.794402573418874
41,train,0.8786358496627015,0.8788926765532855
41,train,2.952844654059998,2.9527912198158104
41,train,3.758859647453791,3.758918338217004
41,train,1.340347454657411,1.3403091114343297
41,train,2.169134914504838,2.16936560365397
41,train,3.894533821900318,3.8942571685032394
41,train,1.1605160479159813,1.160624990382526
41,train,9.099797747732834,9.099605442591562
41,train,4.996371071001118,4.99618286308882
41,train,4.8928860287591585,4.892784424607432
41,train,1.7263364033608848,1.726404394722374
41,train,1.6245655351484718,1.6247099749339946
41,train,0.9709388284350028,0.9710204772157308
41,train,2.8890215284365857,2.888762118649531
41,train,2.878476132702401,2.878503659063627
41,train,0.9204258394382586,0.9207423602347299
41,train,6.181254536703601,6.18153535048372
41,train,1.642579135537341,1.6426190269947365
41,train,5.975262147397971,5.975251268899256
41,train,4.7815011685763436,4.781529206934637
41,train,2.946587551507444,2.946758919327232
41,train,3.042202511141422,3.0419681743403135
41,train,3.9839838809766412,3.9841447064470525
41,train,0.9518086862862225,0.9509705384360966
41,train,4.8633326526049885,4.863249157311861
41,train,3.0333487924528573,3.0332555836274153
41,train,2.1578953093979476,2.1577361138631717
41,train,1.5445332963411686,1.5444886739424386
41,train,1.524865051996345,1.5248882751050092
41,train,3.8922204493036685,3.8919964284082607
41,train,1.5124243643719737,1.51242385993132
41,train,2.9330015907795226,2.93311698809144
41,train,3.654382755813178,3.654363206427275
41,train,2.246606977561241,2.246526838329296
41,train,2.2498152355314245,2.250157153656027
41,train,1.174610752898985,1.1746415798542549
41,train,4.898963283577986,4.899058435214777
41,train,2.2532140352038135,2.2532858208899835
41,train,3.989932745228887,3.9899178959090666
41,train,1.5439844819481425,1.5440112238883015
41,train,7.56035023177547,7.560230717206727
41,train,2.326017238770653,2.3261415006845123
41,train,2.925149399528804,2.925161603162997
41,train,2.1517213186877284,2.1517980926271254
41,train,1.239881577342033,1.2399211202840672
41,train,2.882185102813323,2.882422760790838
41,train,6.061451465901295,6.0613100519036625
41,train,6.084354700075853,6.084246673413555
41,train,1.7081108161322556,1.708056129753634
41,train,1.5415719063698394,1.5417385839676598
41,train,3.773660664537815,3.77367570834308
41,train,1.1647580546559004,1.164825478317795
41,train,1.6292751667931804,1.629223405529964
41,train,4.911758823350124,4.911769745013356
41,train,3.811385953362278,3.811410844936132
41,train,1.0496811604453657,1.049855973430842
41,train,3.669001923807664,3.6692321970439736
41,train,5.016905793459738,5.016938798928805
41,train,3.745776089138801,3.7455774887532303
41,train,4.956296074990415,4.956387630952249
41,train,0.8767819418944889,0.8766675274477561
41,train,1.239881577342033,1.2399211202840672
41,train,2.2345335012415166,2.2346575258674912
41,val,3.772949288866193,3.8883335235060774
41,val,2.0654028402221956,2.0870077077091116
41,val,7.577781337511209,7.331741553928125
41,val,1.5358910304555047,2.2534181892471037
41,val,2.2665282272911496,2.555838152026466
41,val,2.9348567928079676,2.0405144353484346
41,val,4.003171234308119,4.284558246230101
41,val,2.166226415633354,1.334303352483299
41,val,3.030830332635534,3.8222333713285113
41,val,2.2651950859380383,2.437628949145525
41,val,3.883950598804536,3.8647375254939806
41,val,1.5343306343693728,0.7779252360536267
41,val,0.915007521581994,0.7726264139433684
41,val,10.778568303316494,9.91422481063178
41,val,3.778399858926268,3.841697883176226
41,val,4.998762270815313,4.546032084442119
41,val,1.0637192577195242,0.22454044475899704
41,val,3.88163668822357,3.2311036682975423
41,val,3.8376988463744945,4.233504193004997
41,val,2.252481707294347,1.896522959358373
41,val,1.1543938979541593,0.8107258791650273
41,val,2.8305034812526095,3.1764739631841232
41,val,1.0759655646383546,1.7859114714693813
41,val,3.0465275787925927,3.274870511841872
