baseline_method,method,seed,baseline_success,method_success,success_delta,baseline_selected_worst_error,method_selected_worst_error,selected_worst_error_diff
all_windows_continuous,cross_entropy,149,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,cross_entropy,151,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,cross_entropy,157,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,cross_entropy,163,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,cross_entropy,167,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,cross_entropy,173,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,cross_entropy,179,True,True,0,0.0600601953060511,0.0925646306997911,0.03250443539374
all_windows_continuous,cross_entropy,181,True,True,0,0.0600601953060511,0.0925646306997911,0.03250443539374
all_windows_continuous,cross_entropy,191,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,cross_entropy,193,True,True,0,0.0600601953060511,0.0925646306997911,0.03250443539374
all_windows_continuous,cross_entropy,197,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,cross_entropy,199,True,True,0,0.0600601953060511,0.0925646306997911,0.03250443539374
all_windows_continuous,cross_entropy,211,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,genetic,11,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,genetic,23,True,True,0,0.0600601953060511,0.0925646306997911,0.03250443539374
all_windows_continuous,genetic,37,True,True,0,0.0600601953060511,0.0925646306997911,0.03250443539374
all_windows_continuous,genetic,41,True,True,0,0.0600601953060511,0.0881467206672208,0.028086525361169706
all_windows_continuous,genetic,53,True,True,0,0.0600601953060511,0.0922072907281229,0.03214709542207181
all_windows_continuous,genetic,67,True,True,0,0.0600601953060511,0.0925646306997911,0.03250443539374
all_windows_continuous,genetic,79,True,True,0,0.0600601953060511,0.0922072907281229,0.03214709542207181
all_windows_continuous,genetic,83,True,True,0,0.0600601953060511,0.0922072907281229,0.03214709542207181
all_windows_continuous,genetic,97,True,True,0,0.0600601953060511,0.0925646306997911,0.03250443539374
all_windows_continuous,genetic,101,True,True,0,0.0600601953060511,0.0925646306997911,0.03250443539374
all_windows_continuous,genetic,107,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,genetic,109,True,True,0,0.0600601953060511,0.0922072907281229,0.03214709542207181
all_windows_continuous,genetic,113,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,genetic,127,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,genetic,131,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,genetic,137,True,True,0,0.0600601953060511,0.0925646306997911,0.03250443539374
all_windows_continuous,genetic,139,True,True,0,0.0600601953060511,0.0922072907281229,0.03214709542207181
all_windows_continuous,genetic,149,True,True,0,0.0600601953060511,0.0876302659683052,0.0275700706622541
all_windows_continuous,genetic,151,True,True,0,0.0600601953060511,0.0925646306997911,0.03250443539374
all_windows_continuous,genetic,157,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,genetic,163,True,True,0,0.0600601953060511,0.0922072907281229,0.03214709542207181
all_windows_continuous,genetic,167,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,genetic,173,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,genetic,179,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,genetic,181,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,genetic,191,True,True,0,0.0600601953060511,0.0891852628715516,0.029125067565500498
all_windows_continuous,genetic,193,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,genetic,197,True,True,0,0.0600601953060511,0.0925646306997911,0.03250443539374
all_windows_continuous,genetic,199,True,True,0,0.0600601953060511,0.0891852628715516,0.029125067565500498
all_windows_continuous,genetic,211,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,true_sa,11,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,true_sa,23,True,True,0,0.0600601953060511,0.0925646306997911,0.03250443539374
all_windows_continuous,true_sa,37,True,True,0,0.0600601953060511,0.0925646306997911,0.03250443539374
all_windows_continuous,true_sa,41,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,true_sa,53,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,true_sa,67,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,true_sa,79,True,True,0,0.0600601953060511,0.0925646306997911,0.03250443539374
all_windows_continuous,true_sa,83,True,True,0,0.0600601953060511,0.0925646306997911,0.03250443539374
all_windows_continuous,true_sa,97,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,true_sa,101,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,true_sa,107,True,True,0,0.0600601953060511,0.0881467206672208,0.028086525361169706
all_windows_continuous,true_sa,109,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,true_sa,113,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,true_sa,127,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,true_sa,131,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,true_sa,137,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,true_sa,139,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,true_sa,149,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,true_sa,151,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,true_sa,157,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,true_sa,163,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
