method,runs,successes,success_rate,success_rate_wilson95_lower,success_rate_wilson95_upper
random,30,11,0.36666666666666664,0.21873920806100708,0.5448643634520511
cross_entropy,30,30,1.0,0.8864866068260312,0.9999999999999999
genetic,30,30,1.0,0.8864866068260312,0.9999999999999999
true_sa,30,30,1.0,0.8864866068260312,0.9999999999999999
surrogate_qubo_sa,30,30,1.0,0.8864866068260312,0.9999999999999999
qaoa_statevector,30,13,0.43333333333333335,0.2737748557646652,0.6080269299918639
all_windows_continuous,30,30,1.0,0.8864866068260312,0.9999999999999999
