suite_case_id,case_type,target_mode,target_generation,phase_time,transfer_time,amax,segments,max_nfev,selected_outages,min_recovery_segments,settings_fingerprint,config_hash,source_states_id,method_type,collocation_method,nominal_error,selected_worst_error,all_mask_worst_error,nominal_threshold,selected_worst_threshold,thresholds,meets_nominal_threshold,meets_selected_worst_threshold,meets_thresholds,control_max_norm,control_bound_violation,nominal_fuel,recovery_fuel_mean,recovery_fuel_max,cost,optimality,nfev,runtime_seconds,selected_outage_indices,selected_outage_errors,all_outage_errors,optimizer_success,direct_collocation_success,selected_branch_semantics,all_mask_diagnostic_semantics,control_bound_semantics,message
8b7d949ab9117433,selected_branch,catalog_halo_phase_shift,JPL initial_nrho_like_l2_southern_halo propagated ballistically in CR3BP for phase_time,0.2,0.5,0.2,12,30,1,1,f6a2fb3179228fa1cdb6336726b7af7227db59cc7a9b0e42f28b8c1add761da1,238155601b933c87a7be1a9c89d96c2fa8ec11863b7108d7398644fa5fdcb406,//nas/Projects/Papers/quantum-low-thrust/data/source_states.json|sha256=24f3e8900a33e87ed60f28cb61da10346e71f481288202350db5617c6e3d15cf,bounded_projected_trapezoidal_direct_collocation,trapezoidal,0.451245084206717,0.4794268335966396,0.48054838669762306,0.09,0.17,"{""nominal_success"": 0.09, ""selected_recovery_success"": 0.17}",False,False,False,0.2,0.0,0.09582164350919023,0.08795382407659065,0.08795382407659065,0.025098058795951294,0.2798787956548082,30,43.47783319999871,[4],[0.4794268335966396],"[0.4156717466811187, 0.4179005145574133, 0.41996286762037055, 0.421966420232131, 0.4794268335966396, 0.48054838669762306, 0.47898039948485016, 0.47753849601639453, 0.4763973423379251, 0.4755236775467039, 0.4748875597537358, 0.4745860376315919]",False,False,"nominal trajectory and selected outage branches are optimized in one least-squares direct transcription; branch starts are fixed by RK4 propagation through the missed segment(s), then branch controls are re-optimized after the outage","all outage masks are evaluated after optimization; selected masks use optimized branch recovery controls, unselected masks use masked nominal controls only","all nominal and branch controls are Euclidean projected to ||u_i|| <= amax inside residual evaluation, RK4 reporting propagation, fuel computation, and output diagnostics; scalar optimizer bounds are finite guards, not the scientific bound",The maximum number of function evaluations is exceeded.
5aed2e337072e608,selected_branch,catalog_halo_phase_shift,JPL initial_nrho_like_l2_southern_halo propagated ballistically in CR3BP for phase_time,0.3,0.5,0.2,12,30,1,1,03838510ec5c9a2d4088201a2d03f4fd1b7a1cae45ac96ddfc0dab0be19be350,408c0e85ca6ed31bc648bcd20288653ed2a06dce7033984b521b217c0e13238b,//nas/Projects/Papers/quantum-low-thrust/data/source_states.json|sha256=24f3e8900a33e87ed60f28cb61da10346e71f481288202350db5617c6e3d15cf,bounded_projected_trapezoidal_direct_collocation,trapezoidal,0.3713850905744317,0.37736483185308767,0.396873765545504,0.09,0.17,"{""nominal_success"": 0.09, ""selected_recovery_success"": 0.17}",False,False,False,0.2,0.0,0.07502797840565156,0.0726662991076519,0.0726662991076519,0.010297516322050825,0.07538880180602686,30,48.81810269999551,[6],[0.37736483185308767],"[0.34708846201139487, 0.348825972456024, 0.3496807706501246, 0.35085878771841944, 0.3520408548535274, 0.3537980654181281, 0.37736483185308767, 0.396873765545504, 0.3956368740094418, 0.38774931020328024, 0.394575827199616, 0.3945763245672009]",False,False,"nominal trajectory and selected outage branches are optimized in one least-squares direct transcription; branch starts are fixed by RK4 propagation through the missed segment(s), then branch controls are re-optimized after the outage","all outage masks are evaluated after optimization; selected masks use optimized branch recovery controls, unselected masks use masked nominal controls only","all nominal and branch controls are Euclidean projected to ||u_i|| <= amax inside residual evaluation, RK4 reporting propagation, fuel computation, and output diagnostics; scalar optimizer bounds are finite guards, not the scientific bound",The maximum number of function evaluations is exceeded.
4fc66f275ace6cf7,selected_branch,catalog_halo_phase_shift,JPL initial_nrho_like_l2_southern_halo propagated ballistically in CR3BP for phase_time,0.4,0.5,0.2,12,30,1,1,2ac29b02a7a256c6e2b934934a30a917dfcdb0ce1739dd159cf5f18c8c103a46,d08cfd64700bbb3a6de96bcb4718bf75d00a091c2d618010d99f70d231e725de,//nas/Projects/Papers/quantum-low-thrust/data/source_states.json|sha256=24f3e8900a33e87ed60f28cb61da10346e71f481288202350db5617c6e3d15cf,bounded_projected_trapezoidal_direct_collocation,trapezoidal,0.03567443236113212,0.019117085167272115,0.06024618745953626,0.09,0.17,"{""nominal_success"": 0.09, ""selected_recovery_success"": 0.17}",True,True,True,0.14834582200998267,0.0,0.0462714268794754,0.05262774423863737,0.05262774423863737,0.00024613093290236056,1.1746772099274034e-06,11,18.99267569999938,[8],[0.019117085167272115],"[0.06024618745953626, 0.057848499099892446, 0.0554811387557856, 0.053339612965341655, 0.051429673541702164, 0.04963464993501248, 0.04768278570796834, 0.045006312270163, 0.019117085167272115, 0.03852960075513852, 0.03776910458298191, 0.03751468811409669]",True,True,"nominal trajectory and selected outage branches are optimized in one least-squares direct transcription; branch starts are fixed by RK4 propagation through the missed segment(s), then branch controls are re-optimized after the outage","all outage masks are evaluated after optimization; selected masks use optimized branch recovery controls, unselected masks use masked nominal controls only","all nominal and branch controls are Euclidean projected to ||u_i|| <= amax inside residual evaluation, RK4 reporting propagation, fuel computation, and output diagnostics; scalar optimizer bounds are finite guards, not the scientific bound",`gtol` termination condition is satisfied.
