structured_method,matched_uniform_method,mixer_topology,warm_start_mode,depth,restarts,restart_grid,structured_expected_selected_worst_error,matched_uniform_expected_selected_worst_error,structured_minus_matched_uniform_selected_worst_error,absolute_selected_worst_error_difference,structured_probability_best_one_coast,matched_uniform_probability_best_one_coast,structured_probability_pareto_frontier,matched_uniform_probability_pareto_frontier,structured_restart_grid_expected_selected_worst_error_min,structured_restart_grid_expected_selected_worst_error_max,structured_restart_grid_expected_selected_worst_error_spread,structured_restart_grid_probability_best_one_coast_min,structured_restart_grid_probability_best_one_coast_max,comparison_basis
structured_exponential_complete_p1_r1,uniform_match_complete_p1_r1,complete,exponential,1,1,[1],0.10886714551267306,0.10983427348626168,-0.0009671279735886246,0.0009671279735886246,0.05590662106371743,0.0399748536101789,0.05590662106371743,0.0399748536101789,0.10886714551267306,0.10886714551267306,0.0,0.05590662106371743,0.05590662106371743,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_complete_p1_r4,uniform_match_complete_p1_r4,complete,exponential,1,4,[4],0.10886714551266793,0.10983427348617793,-0.000967127973509993,0.000967127973509993,0.05590663076964593,0.039974862077469954,0.05590663076964593,0.039974862077469954,0.10886714551266793,0.10886714551266793,0.0,0.05590663076964593,0.05590663076964593,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_complete_p1_r8,uniform_match_complete_p1_r8,complete,exponential,1,8,[8],0.10886714551266803,0.10983427348617807,-0.0009671279735100347,0.0009671279735100347,0.05590663077274454,0.03997486227542351,0.05590663077274454,0.03997486227542351,0.10886714551266803,0.10886714551266803,0.0,0.05590663077274454,0.05590663077274454,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_complete_p2_r1,uniform_match_complete_p2_r1,complete,exponential,2,1,[1],0.11063592652683883,0.10983427348617808,0.0008016530406607519,0.0008016530406607519,0.03627279017356519,0.039974864037058036,0.03627279017356519,0.039974864037058036,0.11063592652683883,0.11063592652683883,0.0,0.03627279017356519,0.03627279017356519,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_complete_p2_r4,uniform_match_complete_p2_r4,complete,exponential,2,4,[4],0.10781518351695393,0.10821232721343126,-0.00039714369647732284,0.00039714369647732284,0.07808791495812234,0.06558934240024508,0.07808791495812234,0.06558934240024508,0.10781518351695393,0.10781518351695393,0.0,0.07808791495812234,0.07808791495812234,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_complete_p2_r8,uniform_match_complete_p2_r8,complete,exponential,2,8,[8],0.10781518351695318,0.1082123272132144,-0.0003971436962612179,0.0003971436962612179,0.07808790681817138,0.06558949804947177,0.07808790681817138,0.06558949804947177,0.10781518351695318,0.10781518351695318,0.0,0.07808790681817138,0.07808790681817138,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_complete_p3_r1,uniform_match_complete_p3_r1,complete,exponential,3,1,[1],0.10706028190459652,0.10730874794744791,-0.00024846604285139184,0.00024846604285139184,0.10620532179833124,0.09491072914038891,0.10620532179833124,0.09491072914038891,0.10706028190459652,0.10706028190459652,0.0,0.10620532179833124,0.10620532179833124,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_complete_p3_r4,uniform_match_complete_p3_r4,complete,exponential,3,4,[4],0.10706028190360384,0.10730874794472238,-0.00024846604111854187,0.00024846604111854187,0.10620557472990716,0.09491138595304394,0.10620557472990716,0.09491138595304394,0.10706028190360384,0.10706028190360384,0.0,0.10620557472990716,0.10620557472990716,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_complete_p3_r8,uniform_match_complete_p3_r8,complete,exponential,3,8,[8],0.10706028190385164,0.10730874794461154,-0.0002484660407598982,0.0002484660407598982,0.10620567419135003,0.09491134065928021,0.10620567419135003,0.09491134065928021,0.10706028190385164,0.10706028190385164,0.0,0.10620567419135003,0.10620567419135003,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_complete_p4_r1,uniform_match_complete_p4_r1,complete,exponential,4,1,[1],0.10651049897852166,0.10663481378478122,-0.00012431480625955948,0.00012431480625955948,0.13044501654815796,0.12315595813223332,0.13044501654815796,0.12315595813223332,0.10651049897852166,0.10651049897852166,0.0,0.13044501654815796,0.13044501654815796,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_complete_p4_r4,uniform_match_complete_p4_r4,complete,exponential,4,4,[4],0.10651049897852166,0.10663481378478122,-0.00012431480625955948,0.00012431480625955948,0.13044501654815796,0.12315595813223332,0.13044501654815796,0.12315595813223332,0.10651049897852166,0.10651049897852166,0.0,0.13044501654815796,0.13044501654815796,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_complete_p4_r8,uniform_match_complete_p4_r8,complete,exponential,4,8,[8],0.1065104717983923,0.1066348137757941,-0.00012434197740179842,0.00012434197740179842,0.1304128249469274,0.123156652010874,0.1304128249469274,0.123156652010874,0.1065104717983923,0.1065104717983923,0.0,0.1304128249469274,0.1304128249469274,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_inverse_complete_p1_r1,uniform_match_complete_p1_r1,complete,inverse,1,1,[1],0.10742058536220012,0.10983427348626168,-0.0024136881240615637,0.0024136881240615637,0.1382485446267957,0.0399748536101789,0.1382485446267957,0.0399748536101789,0.10742058536220012,0.10742058536220012,0.0,0.1382485446267957,0.1382485446267957,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_inverse_complete_p1_r4,uniform_match_complete_p1_r4,complete,inverse,1,4,[4],0.10742058536219921,0.10983427348617793,-0.0024136881239787134,0.0024136881239787134,0.13824854283996046,0.039974862077469954,0.13824854283996046,0.039974862077469954,0.10742058536219921,0.10742058536219921,0.0,0.13824854283996046,0.13824854283996046,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_inverse_complete_p1_r8,uniform_match_complete_p1_r8,complete,inverse,1,8,[8],0.1074205853621995,0.10983427348617807,-0.0024136881239785607,0.0024136881239785607,0.13824854186962343,0.03997486227542351,0.13824854186962343,0.03997486227542351,0.1074205853621995,0.1074205853621995,0.0,0.13824854186962343,0.13824854186962343,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_inverse_complete_p2_r1,uniform_match_complete_p2_r1,complete,inverse,2,1,[1],0.108671256502909,0.10983427348617808,-0.00116301698326908,0.00116301698326908,0.1201242112368671,0.039974864037058036,0.1201242112368671,0.039974864037058036,0.108671256502909,0.108671256502909,0.0,0.1201242112368671,0.1201242112368671,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_inverse_complete_p2_r4,uniform_match_complete_p2_r4,complete,inverse,2,4,[4],0.1068674513128717,0.10821232721343126,-0.0013448759005595529,0.0013448759005595529,0.1521049080792302,0.06558934240024508,0.1521049080792302,0.06558934240024508,0.1068674513128717,0.1068674513128717,0.0,0.1521049080792302,0.1521049080792302,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_inverse_complete_p2_r8,uniform_match_complete_p2_r8,complete,inverse,2,8,[8],0.10686745131156539,0.1082123272132144,-0.0013448759016490147,0.0013448759016490147,0.15210532307651134,0.06558949804947177,0.15210532307651134,0.06558949804947177,0.10686745131156539,0.10686745131156539,0.0,0.15210532307651134,0.15210532307651134,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_inverse_complete_p3_r1,uniform_match_complete_p3_r1,complete,inverse,3,1,[1],0.10649957223088354,0.10730874794744791,-0.0008091757165643726,0.0008091757165643726,0.1676911123773859,0.09491072914038891,0.1676911123773859,0.09491072914038891,0.10649957223088354,0.10649957223088354,0.0,0.1676911123773859,0.1676911123773859,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_inverse_complete_p3_r4,uniform_match_complete_p3_r4,complete,inverse,3,4,[4],0.10649957223088354,0.10730874794472238,-0.0008091757138388445,0.0008091757138388445,0.1676911123773859,0.09491138595304394,0.1676911123773859,0.09491138595304394,0.10649957223088354,0.10649957223088354,0.0,0.1676911123773859,0.1676911123773859,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_inverse_complete_p3_r8,uniform_match_complete_p3_r8,complete,inverse,3,8,[8],0.10649957223063729,0.10730874794461154,-0.00080917571397425,0.00080917571397425,0.16769135442540076,0.09491134065928021,0.16769135442540076,0.09491134065928021,0.10649957223063729,0.10649957223063729,0.0,0.16769135442540076,0.16769135442540076,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_inverse_complete_p4_r1,uniform_match_complete_p4_r1,complete,inverse,4,1,[1],0.106374015143687,0.10663481378478122,-0.0002607986410942259,0.0002607986410942259,0.17620512085051732,0.12315595813223332,0.17620512085051732,0.12315595813223332,0.106374015143687,0.106374015143687,0.0,0.17620512085051732,0.17620512085051732,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_inverse_complete_p4_r4,uniform_match_complete_p4_r4,complete,inverse,4,4,[4],0.106374015143687,0.10663481378478122,-0.0002607986410942259,0.0002607986410942259,0.17620512085051732,0.12315595813223332,0.17620512085051732,0.12315595813223332,0.106374015143687,0.106374015143687,0.0,0.17620512085051732,0.17620512085051732,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_inverse_complete_p4_r8,uniform_match_complete_p4_r8,complete,inverse,4,8,[8],0.10622367343274204,0.1066348137757941,-0.00041114034305206326,0.00041114034305206326,0.179971463256841,0.123156652010874,0.179971463256841,0.123156652010874,0.10622367343274204,0.10622367343274204,0.0,0.179971463256841,0.179971463256841,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_cycle_p1_r1,uniform_match_cycle_p1_r1,cycle,exponential,1,1,[1],0.11063592652683883,0.11375786488534918,-0.003121938358510351,0.003121938358510351,0.03627279017356519,0.015151515151515152,0.03627279017356519,0.015151515151515152,0.11063592652683883,0.11063592652683883,0.0,0.03627279017356519,0.03627279017356519,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_cycle_p1_r4,uniform_match_cycle_p1_r4,cycle,exponential,1,4,[4],0.11063592652683883,0.11340561226734076,-0.0027696857405019315,0.0027696857405019315,0.03627279017356519,0.012524059330161638,0.03627279017356519,0.012524059330161638,0.11063592652683883,0.11063592652683883,0.0,0.03627279017356519,0.03627279017356519,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_cycle_p1_r8,uniform_match_cycle_p1_r8,cycle,exponential,1,8,[8],0.11063592652683883,0.11340561226423616,-0.0027696857373973316,0.0027696857373973316,0.03627279017356519,0.012525148969701184,0.03627279017356519,0.012525148969701184,0.11063592652683883,0.11063592652683883,0.0,0.03627279017356519,0.03627279017356519,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_cycle_p2_r1,uniform_match_cycle_p2_r1,cycle,exponential,2,1,[1],0.11063592652683883,0.11375786488534918,-0.003121938358510351,0.003121938358510351,0.03627279017356519,0.015151515151515152,0.03627279017356519,0.015151515151515152,0.11063592652683883,0.11063592652683883,0.0,0.03627279017356519,0.03627279017356519,"same feasible subspace, same mixer topology, same depth, same restart count"
