seed,split,true,predicted
37,train,0.9596591446076241,0.9596538178244705
37,train,0.8333822599598212,0.8333846225632341
37,train,0.7534411443684789,0.7534402077381521
37,train,0.932985615111642,0.9329900916577826
37,train,0.9021344041111622,0.9021343094397413
37,train,0.9056695387084992,0.905670944524105
37,train,0.8874061693060792,0.887407275331914
37,train,1.0314557096962458,1.031456772469753
37,train,0.639125694971995,0.6391364118247832
37,train,0.7056495928920741,0.7056479891979117
37,train,0.7466568898829234,0.746654037732285
37,train,0.9230573741823741,0.9230603463942256
37,train,0.9473882960144617,0.9473909333887863
37,train,0.9093055025467087,0.9093053339734539
37,train,1.0416805634223985,1.0416742583985148
37,train,0.9215854342330922,0.92158300015443
37,train,0.8864336866136535,0.8864360350959495
37,train,1.0416258895726143,1.041621557596662
37,train,1.0998278860725672,1.0998394640733598
37,train,0.9215973125328962,0.9215966008121761
37,train,0.7853941424317532,0.7853976836044291
37,train,1.0948028973286814,1.0948031150146451
37,train,1.0362215817102807,1.0362117740668633
37,train,0.9826776586605979,0.9826678060609985
37,val,0.6845012180294602,0.6169548967240417
37,val,0.920041940625727,0.9801100951902489
37,val,1.0398965750333373,1.0711344140890182
37,val,0.8156463363294321,0.7849556855413737
37,val,0.9021344041111622,0.9021343094397413
37,val,0.6420459076629755,0.783928029911076
37,val,0.6952350040701769,0.8382106688273095
37,val,0.9473882960144617,0.9473909333887863
