method,state_index,state_label,coast_windows,schedule,probability,refined_selected_worst_error,refined_nominal_error,is_best_state,is_best_one_coast,is_pareto_frontier
uniform_match_complete_p4_r8,3,3,3,111011111111,0.006411427663536521,0.0891852628715516,0.0642622153311685,False,False,False
uniform_match_complete_p4_r8,4,4,4,111101111111,0.0016960538798293475,0.0881467206672208,0.0632678740837427,False,False,False
uniform_match_complete_p4_r8,5,5,5,111110111111,0.009659328366242228,0.0876302659683052,0.062754548122028,False,False,False
uniform_match_complete_p4_r8,6,6,6,111111011111,0.2865399615352814,0.0836849565091918,0.0600522997884915,False,False,False
uniform_match_complete_p4_r8,7,7,7,111111101111,0.0054504470929669395,0.0852143098547604,0.0605770719694452,False,False,False
uniform_match_complete_p4_r8,8,8,8,111111110111,0.046508351961283,0.0846623615241569,0.0600776590648171,False,False,False
uniform_match_complete_p4_r8,9,9,9,111111111011,0.027359641920051216,0.0848356908620562,0.0603003605462355,False,False,True
uniform_match_complete_p4_r8,10,10,10,111111111101,0.1658929358189096,0.0840670141736464,0.0595664825472062,False,False,True
uniform_match_complete_p4_r8,11,11,11,111111111110,0.4498482856960486,0.0832614239111052,0.0587801873504588,True,True,True
structured_inverse_path_p1_r1,0,0,0,011111111111,0.009361272411425082,0.0940745290922824,0.0690121126015381,False,False,False
structured_inverse_path_p1_r1,1,1,1,101111111111,0.01084607900363972,0.0925646306997911,0.0674629379621564,False,False,False
structured_inverse_path_p1_r1,2,2,2,110111111111,0.011269096142717535,0.0922072907281229,0.0669946905744458,False,False,False
structured_inverse_path_p1_r1,3,3,3,111011111111,0.016815506878683304,0.0891852628715516,0.0642622153311685,False,False,False
structured_inverse_path_p1_r1,4,4,4,111101111111,0.020238698507137897,0.0881467206672208,0.0632678740837427,False,False,False
structured_inverse_path_p1_r1,5,5,5,111110111111,0.022518335038245612,0.0876302659683052,0.062754548122028,False,False,False
structured_inverse_path_p1_r1,6,6,6,111111011111,0.16137819116460186,0.0836849565091918,0.0600522997884915,False,False,False
structured_inverse_path_p1_r1,7,7,7,111111101111,0.04759883116701396,0.0852143098547604,0.0605770719694452,False,False,False
structured_inverse_path_p1_r1,8,8,8,111111110111,0.06384425535947141,0.0846623615241569,0.0600776590648171,False,False,False
structured_inverse_path_p1_r1,9,9,9,111111111011,0.0576639130288854,0.0848356908620562,0.0603003605462355,False,False,True
structured_inverse_path_p1_r1,10,10,10,111111111101,0.10104092831550354,0.0840670141736464,0.0595664825472062,False,False,True
structured_inverse_path_p1_r1,11,11,11,111111111110,0.47742489298267465,0.0832614239111052,0.0587801873504588,True,True,True
structured_inverse_path_p1_r4,0,0,0,011111111111,0.009361272411424953,0.0940745290922824,0.0690121126015381,False,False,False
structured_inverse_path_p1_r4,1,1,1,101111111111,0.010846079003639713,0.0925646306997911,0.0674629379621564,False,False,False
structured_inverse_path_p1_r4,2,2,2,110111111111,0.011269096142717497,0.0922072907281229,0.0669946905744458,False,False,False
structured_inverse_path_p1_r4,3,3,3,111011111111,0.01681550687868334,0.0891852628715516,0.0642622153311685,False,False,False
structured_inverse_path_p1_r4,4,4,4,111101111111,0.020238698507137907,0.0881467206672208,0.0632678740837427,False,False,False
structured_inverse_path_p1_r4,5,5,5,111110111111,0.022518335038245667,0.0876302659683052,0.062754548122028,False,False,False
structured_inverse_path_p1_r4,6,6,6,111111011111,0.1613781911646019,0.0836849565091918,0.0600522997884915,False,False,False
structured_inverse_path_p1_r4,7,7,7,111111101111,0.04759883116701393,0.0852143098547604,0.0605770719694452,False,False,False
structured_inverse_path_p1_r4,8,8,8,111111110111,0.06384425535947132,0.0846623615241569,0.0600776590648171,False,False,False
structured_inverse_path_p1_r4,9,9,9,111111111011,0.05766391302888543,0.0848356908620562,0.0603003605462355,False,False,True
structured_inverse_path_p1_r4,10,10,10,111111111101,0.10104092831550361,0.0840670141736464,0.0595664825472062,False,False,True
structured_inverse_path_p1_r4,11,11,11,111111111110,0.4774248929826747,0.0832614239111052,0.0587801873504588,True,True,True
structured_inverse_path_p1_r8,0,0,0,011111111111,0.009361272411425,0.0940745290922824,0.0690121126015381,False,False,False
structured_inverse_path_p1_r8,1,1,1,101111111111,0.010846079003639719,0.0925646306997911,0.0674629379621564,False,False,False
structured_inverse_path_p1_r8,2,2,2,110111111111,0.011269096142717525,0.0922072907281229,0.0669946905744458,False,False,False
structured_inverse_path_p1_r8,3,3,3,111011111111,0.016815506878683315,0.0891852628715516,0.0642622153311685,False,False,False
structured_inverse_path_p1_r8,4,4,4,111101111111,0.020238698507137904,0.0881467206672208,0.0632678740837427,False,False,False
structured_inverse_path_p1_r8,5,5,5,111110111111,0.022518335038245654,0.0876302659683052,0.062754548122028,False,False,False
structured_inverse_path_p1_r8,6,6,6,111111011111,0.16137819116460184,0.0836849565091918,0.0600522997884915,False,False,False
structured_inverse_path_p1_r8,7,7,7,111111101111,0.04759883116701394,0.0852143098547604,0.0605770719694452,False,False,False
structured_inverse_path_p1_r8,8,8,8,111111110111,0.0638442553594714,0.0846623615241569,0.0600776590648171,False,False,False
structured_inverse_path_p1_r8,9,9,9,111111111011,0.057663913028885426,0.0848356908620562,0.0603003605462355,False,False,True
structured_inverse_path_p1_r8,10,10,10,111111111101,0.10104092831550358,0.0840670141736464,0.0595664825472062,False,False,True
structured_inverse_path_p1_r8,11,11,11,111111111110,0.47742489298267476,0.0832614239111052,0.0587801873504588,True,True,True
structured_inverse_path_p2_r1,0,0,0,011111111111,0.00936127241142512,0.0940745290922824,0.0690121126015381,False,False,False
structured_inverse_path_p2_r1,1,1,1,101111111111,0.010846079003639753,0.0925646306997911,0.0674629379621564,False,False,False
structured_inverse_path_p2_r1,2,2,2,110111111111,0.011269096142717573,0.0922072907281229,0.0669946905744458,False,False,False
structured_inverse_path_p2_r1,3,3,3,111011111111,0.016815506878683325,0.0891852628715516,0.0642622153311685,False,False,False
structured_inverse_path_p2_r1,4,4,4,111101111111,0.020238698507137904,0.0881467206672208,0.0632678740837427,False,False,False
structured_inverse_path_p2_r1,5,5,5,111110111111,0.022518335038245615,0.0876302659683052,0.062754548122028,False,False,False
structured_inverse_path_p2_r1,6,6,6,111111011111,0.16137819116460211,0.0836849565091918,0.0600522997884915,False,False,False
structured_inverse_path_p2_r1,7,7,7,111111101111,0.047598831167014063,0.0852143098547604,0.0605770719694452,False,False,False
structured_inverse_path_p2_r1,8,8,8,111111110111,0.06384425535947164,0.0846623615241569,0.0600776590648171,False,False,False
structured_inverse_path_p2_r1,9,9,9,111111111011,0.057663913028885246,0.0848356908620562,0.0603003605462355,False,False,True
structured_inverse_path_p2_r1,10,10,10,111111111101,0.10104092831550368,0.0840670141736464,0.0595664825472062,False,False,True
structured_inverse_path_p2_r1,11,11,11,111111111110,0.47742489298267404,0.0832614239111052,0.0587801873504588,True,True,True
structured_inverse_path_p2_r4,0,0,0,011111111111,0.009361272411424924,0.0940745290922824,0.0690121126015381,False,False,False
structured_inverse_path_p2_r4,1,1,1,101111111111,0.010846079003639729,0.0925646306997911,0.0674629379621564,False,False,False
structured_inverse_path_p2_r4,2,2,2,110111111111,0.011269096142717509,0.0922072907281229,0.0669946905744458,False,False,False
structured_inverse_path_p2_r4,3,3,3,111011111111,0.01681550687868337,0.0891852628715516,0.0642622153311685,False,False,False
structured_inverse_path_p2_r4,4,4,4,111101111111,0.020238698507137932,0.0881467206672208,0.0632678740837427,False,False,False
structured_inverse_path_p2_r4,5,5,5,111110111111,0.02251833503824564,0.0876302659683052,0.062754548122028,False,False,False
structured_inverse_path_p2_r4,6,6,6,111111011111,0.16137819116460211,0.0836849565091918,0.0600522997884915,False,False,False
structured_inverse_path_p2_r4,7,7,7,111111101111,0.04759883116701395,0.0852143098547604,0.0605770719694452,False,False,False
structured_inverse_path_p2_r4,8,8,8,111111110111,0.06384425535947152,0.0846623615241569,0.0600776590648171,False,False,False
structured_inverse_path_p2_r4,9,9,9,111111111011,0.057663913028885266,0.0848356908620562,0.0603003605462355,False,False,True
structured_inverse_path_p2_r4,10,10,10,111111111101,0.10104092831550379,0.0840670141736464,0.0595664825472062,False,False,True
structured_inverse_path_p2_r4,11,11,11,111111111110,0.47742489298267426,0.0832614239111052,0.0587801873504588,True,True,True
structured_inverse_path_p2_r8,0,0,0,011111111111,0.00936127241142503,0.0940745290922824,0.0690121126015381,False,False,False
structured_inverse_path_p2_r8,1,1,1,101111111111,0.010846079003639738,0.0925646306997911,0.0674629379621564,False,False,False
structured_inverse_path_p2_r8,2,2,2,110111111111,0.01126909614271748,0.0922072907281229,0.0669946905744458,False,False,False
structured_inverse_path_p2_r8,3,3,3,111011111111,0.016815506878683387,0.0891852628715516,0.0642622153311685,False,False,False
structured_inverse_path_p2_r8,4,4,4,111101111111,0.02023869850713793,0.0881467206672208,0.0632678740837427,False,False,False
structured_inverse_path_p2_r8,5,5,5,111110111111,0.02251833503824567,0.0876302659683052,0.062754548122028,False,False,False
structured_inverse_path_p2_r8,6,6,6,111111011111,0.16137819116460203,0.0836849565091918,0.0600522997884915,False,False,False
structured_inverse_path_p2_r8,7,7,7,111111101111,0.04759883116701396,0.0852143098547604,0.0605770719694452,False,False,False
structured_inverse_path_p2_r8,8,8,8,111111110111,0.0638442553594714,0.0846623615241569,0.0600776590648171,False,False,False
structured_inverse_path_p2_r8,9,9,9,111111111011,0.05766391302888529,0.0848356908620562,0.0603003605462355,False,False,True
structured_inverse_path_p2_r8,10,10,10,111111111101,0.10104092831550378,0.0840670141736464,0.0595664825472062,False,False,True
structured_inverse_path_p2_r8,11,11,11,111111111110,0.4774248929826744,0.0832614239111052,0.0587801873504588,True,True,True
structured_inverse_path_p3_r1,0,0,0,011111111111,0.009361272411425196,0.0940745290922824,0.0690121126015381,False,False,False
structured_inverse_path_p3_r1,1,1,1,101111111111,0.010846079003639772,0.0925646306997911,0.0674629379621564,False,False,False
structured_inverse_path_p3_r1,2,2,2,110111111111,0.011269096142717606,0.0922072907281229,0.0669946905744458,False,False,False
structured_inverse_path_p3_r1,3,3,3,111011111111,0.016815506878683353,0.0891852628715516,0.0642622153311685,False,False,False
structured_inverse_path_p3_r1,4,4,4,111101111111,0.02023869850713793,0.0881467206672208,0.0632678740837427,False,False,False
structured_inverse_path_p3_r1,5,5,5,111110111111,0.022518335038245598,0.0876302659683052,0.062754548122028,False,False,False
structured_inverse_path_p3_r1,6,6,6,111111011111,0.1613781911646023,0.0836849565091918,0.0600522997884915,False,False,False
structured_inverse_path_p3_r1,7,7,7,111111101111,0.04759883116701408,0.0852143098547604,0.0605770719694452,False,False,False
structured_inverse_path_p3_r1,8,8,8,111111110111,0.0638442553594719,0.0846623615241569,0.0600776590648171,False,False,False
structured_inverse_path_p3_r1,9,9,9,111111111011,0.057663913028885114,0.0848356908620562,0.0603003605462355,False,False,True
structured_inverse_path_p3_r1,10,10,10,111111111101,0.10104092831550388,0.0840670141736464,0.0595664825472062,False,False,True
structured_inverse_path_p3_r1,11,11,11,111111111110,0.47742489298267327,0.0832614239111052,0.0587801873504588,True,True,True
structured_inverse_path_p3_r4,0,0,0,011111111111,0.009361272411425016,0.0940745290922824,0.0690121126015381,False,False,False
structured_inverse_path_p3_r4,1,1,1,101111111111,0.010846079003639748,0.0925646306997911,0.0674629379621564,False,False,False
structured_inverse_path_p3_r4,2,2,2,110111111111,0.011269096142717542,0.0922072907281229,0.0669946905744458,False,False,False
structured_inverse_path_p3_r4,3,3,3,111011111111,0.016815506878683394,0.0891852628715516,0.0642622153311685,False,False,False
structured_inverse_path_p3_r4,4,4,4,111101111111,0.020238698507137942,0.0881467206672208,0.0632678740837427,False,False,False
structured_inverse_path_p3_r4,5,5,5,111110111111,0.022518335038245654,0.0876302659683052,0.062754548122028,False,False,False
structured_inverse_path_p3_r4,6,6,6,111111011111,0.1613781911646023,0.0836849565091918,0.0600522997884915,False,False,False
structured_inverse_path_p3_r4,7,7,7,111111101111,0.047598831167013994,0.0852143098547604,0.0605770719694452,False,False,False
structured_inverse_path_p3_r4,8,8,8,111111110111,0.06384425535947166,0.0846623615241569,0.0600776590648171,False,False,False
structured_inverse_path_p3_r4,9,9,9,111111111011,0.05766391302888513,0.0848356908620562,0.0603003605462355,False,False,True
structured_inverse_path_p3_r4,10,10,10,111111111101,0.10104092831550401,0.0840670141736464,0.0595664825472062,False,False,True
structured_inverse_path_p3_r4,11,11,11,111111111110,0.47742489298267354,0.0832614239111052,0.0587801873504588,True,True,True
structured_inverse_path_p3_r8,0,0,0,011111111111,0.009361272411425195,0.0940745290922824,0.0690121126015381,False,False,False
structured_inverse_path_p3_r8,1,1,1,101111111111,0.01084607900363974,0.0925646306997911,0.0674629379621564,False,False,False
structured_inverse_path_p3_r8,2,2,2,110111111111,0.011269096142717512,0.0922072907281229,0.0669946905744458,False,False,False
structured_inverse_path_p3_r8,3,3,3,111011111111,0.016815506878683335,0.0891852628715516,0.0642622153311685,False,False,False
structured_inverse_path_p3_r8,4,4,4,111101111111,0.02023869850713789,0.0881467206672208,0.0632678740837427,False,False,False
structured_inverse_path_p3_r8,5,5,5,111110111111,0.02251833503824564,0.0876302659683052,0.062754548122028,False,False,False
structured_inverse_path_p3_r8,6,6,6,111111011111,0.16137819116460234,0.0836849565091918,0.0600522997884915,False,False,False
structured_inverse_path_p3_r8,7,7,7,111111101111,0.047598831167013925,0.0852143098547604,0.0605770719694452,False,False,False
structured_inverse_path_p3_r8,8,8,8,111111110111,0.06384425535947151,0.0846623615241569,0.0600776590648171,False,False,False
structured_inverse_path_p3_r8,9,9,9,111111111011,0.05766391302888515,0.0848356908620562,0.0603003605462355,False,False,True
structured_inverse_path_p3_r8,10,10,10,111111111101,0.10104092831550393,0.0840670141736464,0.0595664825472062,False,False,True
structured_inverse_path_p3_r8,11,11,11,111111111110,0.47742489298267377,0.0832614239111052,0.0587801873504588,True,True,True
structured_inverse_path_p4_r1,0,0,0,011111111111,0.00936127241142524,0.0940745290922824,0.0690121126015381,False,False,False
structured_inverse_path_p4_r1,1,1,1,101111111111,0.010846079003639805,0.0925646306997911,0.0674629379621564,False,False,False
structured_inverse_path_p4_r1,2,2,2,110111111111,0.01126909614271764,0.0922072907281229,0.0669946905744458,False,False,False
structured_inverse_path_p4_r1,3,3,3,111011111111,0.01681550687868333,0.0891852628715516,0.0642622153311685,False,False,False
structured_inverse_path_p4_r1,4,4,4,111101111111,0.02023869850713794,0.0881467206672208,0.0632678740837427,False,False,False
structured_inverse_path_p4_r1,5,5,5,111110111111,0.022518335038245598,0.0876302659683052,0.062754548122028,False,False,False
structured_inverse_path_p4_r1,6,6,6,111111011111,0.16137819116460264,0.0836849565091918,0.0600522997884915,False,False,False
structured_inverse_path_p4_r1,7,7,7,111111101111,0.0475988311670141,0.0852143098547604,0.0605770719694452,False,False,False
structured_inverse_path_p4_r1,8,8,8,111111110111,0.06384425535947207,0.0846623615241569,0.0600776590648171,False,False,False
structured_inverse_path_p4_r1,9,9,9,111111111011,0.057663913028884954,0.0848356908620562,0.0603003605462355,False,False,True
structured_inverse_path_p4_r1,10,10,10,111111111101,0.10104092831550397,0.0840670141736464,0.0595664825472062,False,False,True
structured_inverse_path_p4_r1,11,11,11,111111111110,0.47742489298267266,0.0832614239111052,0.0587801873504588,True,True,True
structured_inverse_path_p4_r4,0,0,0,011111111111,0.009361272411424959,0.0940745290922824,0.0690121126015381,False,False,False
structured_inverse_path_p4_r4,1,1,1,101111111111,0.010846079003639734,0.0925646306997911,0.0674629379621564,False,False,False
structured_inverse_path_p4_r4,2,2,2,110111111111,0.011269096142717525,0.0922072907281229,0.0669946905744458,False,False,False
structured_inverse_path_p4_r4,3,3,3,111011111111,0.016815506878683377,0.0891852628715516,0.0642622153311685,False,False,False
structured_inverse_path_p4_r4,4,4,4,111101111111,0.020238698507137925,0.0881467206672208,0.0632678740837427,False,False,False
structured_inverse_path_p4_r4,5,5,5,111110111111,0.0225183350382456,0.0876302659683052,0.062754548122028,False,False,False
structured_inverse_path_p4_r4,6,6,6,111111011111,0.1613781911646026,0.0836849565091918,0.0600522997884915,False,False,False
structured_inverse_path_p4_r4,7,7,7,111111101111,0.04759883116701398,0.0852143098547604,0.0605770719694452,False,False,False
structured_inverse_path_p4_r4,8,8,8,111111110111,0.0638442553594716,0.0846623615241569,0.0600776590648171,False,False,False
structured_inverse_path_p4_r4,9,9,9,111111111011,0.05766391302888503,0.0848356908620562,0.0603003605462355,False,False,True
structured_inverse_path_p4_r4,10,10,10,111111111101,0.10104092831550428,0.0840670141736464,0.0595664825472062,False,False,True
structured_inverse_path_p4_r4,11,11,11,111111111110,0.4774248929826733,0.0832614239111052,0.0587801873504588,True,True,True
structured_inverse_path_p4_r8,0,0,0,011111111111,0.003164570761002397,0.0940745290922824,0.0690121126015381,False,False,False
structured_inverse_path_p4_r8,1,1,1,101111111111,0.03627292828983703,0.0925646306997911,0.0674629379621564,False,False,False
structured_inverse_path_p4_r8,2,2,2,110111111111,0.01792288518168056,0.0922072907281229,0.0669946905744458,False,False,False
structured_inverse_path_p4_r8,3,3,3,111011111111,0.008316133125749225,0.0891852628715516,0.0642622153311685,False,False,False
structured_inverse_path_p4_r8,4,4,4,111101111111,0.006447616631333941,0.0881467206672208,0.0632678740837427,False,False,False
structured_inverse_path_p4_r8,5,5,5,111110111111,0.0008733425992073543,0.0876302659683052,0.062754548122028,False,False,False
structured_inverse_path_p4_r8,6,6,6,111111011111,0.3418774135451156,0.0836849565091918,0.0600522997884915,False,False,False
