method,mixer_topology,warm_start_mode,depth,restarts,seed,expected_selected_worst_error,expected_normalized_cost,expected_nominal_error,probability_best_one_coast,probability_pareto_frontier,top_schedule,top_schedule_probability,top_schedule_selected_worst_error,best_one_coast_schedule,best_one_coast_selected_worst_error,angles
uniform_match_complete_p4_r8,complete,uniform,4,8,20269618,0.083729724000715,0.043308566943839576,0.05947358586099662,0.4498482856960486,0.6431008634350095,111111111110,0.4498482856960486,0.0832614239111052,111111111110,0.0832614239111052,"[2.066738081746345, 4.050998463931211, 4.765200247713123, 4.590354120769191, 1.4002240925970104, 1.4468264039980818, 2.0167531848422313, 3.079880798662065]"
structured_inverse_path_p1_r1,path,inverse,1,1,20260629,0.0842841487476258,0.09458197431584223,0.05987598307997799,0.47742489298267465,0.6361297343270635,111111111110,0.47742489298267465,0.0832614239111052,111111111110,0.0832614239111052,"[0.2223795945950683, 0.0]"
structured_inverse_path_p1_r4,path,inverse,1,4,20260632,0.0842841487476258,0.09458197431584207,0.05987598307997798,0.4774248929826747,0.6361297343270638,111111111110,0.4774248929826747,0.0832614239111052,111111111110,0.0832614239111052,"[3.612458976788338, 0.0]"
structured_inverse_path_p1_r8,path,inverse,1,8,20260636,0.08428414874762581,0.09458197431584216,0.05987598307997799,0.47742489298267476,0.6361297343270638,111111111110,0.47742489298267476,0.0832614239111052,111111111110,0.0832614239111052,"[1.7203150290325706, 0.0]"
structured_inverse_path_p2_r1,path,inverse,2,1,20260639,0.08428414874762583,0.09458197431584238,0.05987598307997799,0.47742489298267404,0.636129734327063,111111111110,0.47742489298267404,0.0832614239111052,111111111110,0.0832614239111052,"[0.2017261339322845, 0.23050123830473473, 0.0, 0.0]"
structured_inverse_path_p2_r4,path,inverse,2,4,20260642,0.08428414874762581,0.09458197431584213,0.05987598307997799,0.47742489298267426,0.6361297343270633,111111111110,0.47742489298267426,0.0832614239111052,111111111110,0.0832614239111052,"[2.472581454963876, 1.5115020140610025, 0.0, 0.0]"
structured_inverse_path_p2_r8,path,inverse,2,8,20260646,0.08428414874762581,0.09458197431584223,0.05987598307997799,0.4774248929826744,0.6361297343270634,111111111110,0.4774248929826744,0.0832614239111052,111111111110,0.0832614239111052,"[3.7500148263083974, 2.891267216913751, 0.0, 0.0]"
structured_inverse_path_p3_r1,path,inverse,3,1,20260649,0.08428414874762581,0.09458197431584256,0.05987598307997799,0.47742489298267327,0.6361297343270622,111111111110,0.47742489298267327,0.0832614239111052,111111111110,0.0832614239111052,"[0.21493129422909182, 0.22621792454277062, 0.23839447713050482, 0.0, 0.0, 0.0]"
structured_inverse_path_p3_r4,path,inverse,3,4,20260652,0.0842841487476258,0.09458197431584234,0.05987598307997798,0.47742489298267354,0.6361297343270627,111111111110,0.47742489298267354,0.0832614239111052,111111111110,0.0832614239111052,"[0.29488460606840017, 2.4659725417985485, 1.933337009295409, 0.0, 0.0, 0.0]"
structured_inverse_path_p3_r8,path,inverse,3,8,20260656,0.0842841487476258,0.09458197431584235,0.05987598307997798,0.47742489298267377,0.6361297343270629,111111111110,0.47742489298267377,0.0832614239111052,111111111110,0.0832614239111052,"[0.0, 6.283185307179586, 6.283185307179586, 0.0, 0.0, 0.0]"
structured_inverse_path_p4_r1,path,inverse,4,1,20260659,0.0842841487476258,0.09458197431584267,0.05987598307997799,0.47742489298267266,0.6361297343270615,111111111110,0.47742489298267266,0.0832614239111052,111111111110,0.0832614239111052,"[0.2149420689414879, 0.21791976576870714, 0.22535180647063358, 0.23705511842633792, 0.0, 0.0, 0.0, 0.0]"
structured_inverse_path_p4_r4,path,inverse,4,4,20260662,0.0842841487476258,0.0945819743158422,0.05987598307997798,0.4774248929826733,0.6361297343270627,111111111110,0.4774248929826733,0.0832614239111052,111111111110,0.0832614239111052,"[1.763623091594736, 2.8139549857445068, 4.919365208922734, 4.109152364141683, 0.0, 0.0, 0.0, 0.0]"
structured_inverse_path_p4_r8,path,inverse,4,8,20260666,0.08425276668916287,0.0916797498449689,0.06000715752276343,0.4159632417251668,0.535211806225557,111111111110,0.4159632417251668,0.0832614239111052,111111111110,0.0832614239111052,"[6.283185307179586, 6.283185307179586, 6.283185307179586, 6.283185307179586, 1.4267412235450359, 1.8959344762588848, 0.6639460255352307, 3.141592653589793]"
structured_exponential_path_p1_r1,path,exponential,1,1,20260729,0.08502980427472878,0.16354047556125387,0.06056673887097758,0.18010244279906965,0.44050070690769194,111111111110,0.18010244279906965,0.0832614239111052,111111111110,0.0832614239111052,"[0.1878447071547148, 0.0]"
structured_exponential_path_p1_r4,path,exponential,1,4,20260732,0.08502980427472878,0.16354047556125376,0.06056673887097757,0.18010244279906978,0.4405007069076922,111111111110,0.18010244279906978,0.0832614239111052,111111111110,0.0832614239111052,"[5.714741599132971, 0.0]"
structured_exponential_path_p1_r8,path,exponential,1,8,20260736,0.08502980427472878,0.16354047556125376,0.06056673887097758,0.18010244279906976,0.4405007069076923,111111111110,0.18010244279906976,0.0832614239111052,111111111110,0.0832614239111052,"[6.064992591664944, 0.0]"
