structured_method,matched_uniform_method,mixer_topology,warm_start_mode,depth,restarts,restart_grid,structured_expected_selected_worst_error,matched_uniform_expected_selected_worst_error,structured_minus_matched_uniform_selected_worst_error,absolute_selected_worst_error_difference,structured_probability_best_one_coast,matched_uniform_probability_best_one_coast,structured_probability_pareto_frontier,matched_uniform_probability_pareto_frontier,structured_restart_grid_expected_selected_worst_error_min,structured_restart_grid_expected_selected_worst_error_max,structured_restart_grid_expected_selected_worst_error_spread,structured_restart_grid_probability_best_one_coast_min,structured_restart_grid_probability_best_one_coast_max,comparison_basis
structured_exponential_complete_p1_r1,uniform_match_complete_p1_r1,complete,exponential,1,1,[1],0.08502980427472877,0.08476672503171202,0.000263079243016745,0.000263079243016745,0.18010244279906987,0.1750334885155397,0.4405007069076925,0.4540953798555095,0.08502980427472877,0.08502980427472877,0.0,0.18010244279906987,0.18010244279906987,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_complete_p1_r4,uniform_match_complete_p1_r4,complete,exponential,1,4,[4],0.08441177380883819,0.08476672503171202,-0.0003549512228738366,0.0003549512228738366,0.22050540306545824,0.1750334885155397,0.5075090951396841,0.4540953798555095,0.08441177380883819,0.08441177380883819,0.0,0.22050540306545824,0.22050540306545824,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_complete_p1_r8,uniform_match_complete_p1_r8,complete,exponential,1,8,[8],0.08441177380883735,0.08476672503171202,-0.0003549512228746693,0.0003549512228746693,0.2205054009065544,0.1750334885155397,0.5075090905287428,0.4540953798555095,0.08441177380883735,0.08441177380883735,0.0,0.2205054009065544,0.2205054009065544,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_complete_p2_r1,uniform_match_complete_p2_r1,complete,exponential,2,1,[1],0.08441177380883731,0.08476672503171202,-0.0003549512228747109,0.0003549512228747109,0.22050539663985758,0.17503348736005123,0.5075090863140963,0.4540953780761948,0.08441177380883731,0.08441177380883731,0.0,0.22050539663985758,0.22050539663985758,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_complete_p2_r4,uniform_match_complete_p2_r4,complete,exponential,2,4,[4],0.08404823684394802,0.0841488242633058,-0.00010058741935778381,0.00010058741935778381,0.2834431418574823,0.25261912535068104,0.5688925653716248,0.5496996305584687,0.08404823684394802,0.08404823684394802,0.0,0.2834431418574823,0.2834431418574823,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_complete_p2_r8,uniform_match_complete_p2_r8,complete,exponential,2,8,[8],0.08404823684389245,0.08414882426330866,-0.0001005874194162093,0.0001005874194162093,0.28344321223825303,0.2526190679114353,0.5688925847747248,0.5496995981672725,0.08404823684389245,0.08404823684389245,0.0,0.28344321223825303,0.28344321223825303,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_complete_p3_r1,uniform_match_complete_p3_r1,complete,exponential,3,1,[1],0.08502980427472878,0.08414882426331184,0.0008809800114169403,0.0008809800114169403,0.18010244279906992,0.2526190820248695,0.4405007069076927,0.5496996021993882,0.08502980427472878,0.08502980427472878,0.0,0.18010244279906992,0.18010244279906992,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_complete_p3_r4,uniform_match_complete_p3_r4,complete,exponential,3,4,[4],0.0839198591327556,0.08396949258844869,-4.963345569308775e-05,4.963345569308775e-05,0.33639693701881335,0.30769166614046467,0.5971759641619081,0.5835813863379219,0.0839198591327556,0.0839198591327556,0.0,0.33639693701881335,0.33639693701881335,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_complete_p3_r8,uniform_match_complete_p3_r8,complete,exponential,3,8,[8],0.0839198591327591,0.08396949258831607,-4.9633455556974404e-05,4.9633455556974404e-05,0.3363967483758428,0.30769147126680296,0.5971759119411357,0.5835813175976147,0.0839198591327591,0.0839198591327591,0.0,0.3363967483758428,0.3363967483758428,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_complete_p4_r1,uniform_match_complete_p4_r1,complete,exponential,4,1,[1],0.08368415135310844,0.08414882426331106,-0.0004646729102026209,0.0004646729102026209,0.4808942536736025,0.2526190036398743,0.6550283855590961,0.549699552502813,0.08368415135310844,0.08368415135310844,0.0,0.4808942536736025,0.4808942536736025,"same feasible subspace, same mixer topology, same depth, same restart count"
