method,analysis_stage,oracle,iterations,initial_state,states_in_support,feasible_support_probability,expected_selected_worst_error,initial_expected_selected_worst_error,expected_nominal_error,probability_best_state,initial_probability_best_state,probability_good_set,probability_pareto_frontier,top_schedule,top_schedule_probability,top_schedule_selected_worst_error,best_schedule,best_selected_worst_error,top3_schedules,predeclared_protocol_name,predeclared_good_rule,predeclared_iteration_rule,predeclared_iteration_cap,initial_good_probability_predeclared,predicted_good_probability_predeclared
grover_uniform_top_2_r5,exploratory_sweep,top_2,5,uniform,12,1.0,0.08350891748216846,0.0874612047385159,0.05944619052108899,0.4962672243955584,0.08333333333333333,0.9925344487911169,0.49776033463733504,111111011111,0.4962672243955584,0.0836849565091918,111111111110,0.0832614239111052,111111011111:0.496; 111111111110:0.496; 011111111111:0.001,,,,,,
grover_warm_thresholdle0p0836849565092_r7,exploratory_sweep,threshold<=0.0836849565092,7,inverse,12,1.0,0.08351929307685835,0.0842841487476258,0.059229149038799396,0.7028977951112482,0.47742489298267526,0.9404898780040778,0.7290457051714744,111111111110,0.7028977951112482,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.703; 111111011111:0.238; 111111111101:0.017,,,,,,
grover_warm_top_2_r7,exploratory_sweep,top_2,7,inverse,12,1.0,0.08351929307685835,0.0842841487476258,0.059229149038799396,0.7028977951112482,0.47742489298267526,0.9404898780040778,0.7290457051714744,111111111110,0.7028977951112482,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.703; 111111011111:0.238; 111111111101:0.017,,,,,,
grover_uniform_thresholdle0p0836849565092_r9,exploratory_sweep,threshold<=0.0836849565092,9,uniform,12,1.0,0.08356138026073022,0.0874612047385159,0.059490165339268194,0.49078592764703616,0.08333333333333333,0.9815718552940723,0.4944715565882217,111111011111,0.49078592764703616,0.0836849565091918,111111111110,0.0832614239111052,111111011111:0.491; 111111111110:0.491; 011111111111:0.002,,,,,,
grover_uniform_top_2_r9,exploratory_sweep,top_2,9,uniform,12,1.0,0.08356138026073022,0.0874612047385159,0.059490165339268194,0.49078592764703616,0.08333333333333333,0.9815718552940723,0.4944715565882217,111111011111,0.49078592764703616,0.0836849565091918,111111111110,0.0832614239111052,111111011111:0.491; 111111111110:0.491; 011111111111:0.002,,,,,,
grover_uniform_thresholdle0p0832614239111_r8,exploratory_sweep,threshold<=0.0832614239111,8,uniform,12,1.0,0.0835778803792197,0.0874612047385159,0.059079996471928284,0.9309285156315004,0.08333333333333333,0.9309285156315004,0.9434869673348639,111111111110,0.9309285156315004,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.931; 011111111111:0.006; 101111111111:0.006,,,,,,
grover_uniform_top_1_r8,exploratory_sweep,top_1,8,uniform,12,1.0,0.0835778803792197,0.0874612047385159,0.059079996471928284,0.9309285156315004,0.08333333333333333,0.9309285156315004,0.9434869673348639,111111111110,0.9309285156315004,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.931; 011111111111:0.006; 101111111111:0.006,,,,,,
grover_warm_thresholdle0p0846623615242_r3,exploratory_sweep,threshold<=0.0846623615242,3,inverse,12,1.0,0.08357791724738564,0.0842841487476258,0.05925417110287266,0.5910059656777843,0.47742489298267526,0.9948885527538499,0.7175863070585298,111111111110,0.5910059656777843,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.591; 111111011111:0.200; 111111111101:0.125,,,,,,
grover_warm_thresholdle0p0836849565092_r9,exploratory_sweep,threshold<=0.0836849565092,9,inverse,12,1.0,0.08361351879774255,0.0842841487476258,0.05930883518894761,0.6751208594684713,0.47742489298267526,0.9033238390782224,0.7175990039583079,111111111110,0.6751208594684713,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.675; 111111011111:0.228; 111111111101:0.027,,,,,,
grover_warm_top_2_r9,exploratory_sweep,top_2,9,inverse,12,1.0,0.08361351879774255,0.0842841487476258,0.05930883518894761,0.6751208594684713,0.47742489298267526,0.9033238390782224,0.7175990039583079,111111111110,0.6751208594684713,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.675; 111111011111:0.228; 111111111101:0.027,,,,,,
