evidence_tier,case_id,n_segments,active_windows,M,budget_label,budget,method,runs,successes,success_rate,top5_rate,top10_percent_rate,median_best_cost,mean_best_cost,median_cost_evaluations,median_threshold_oracle_calls,median_total_oracle_calls,median_accepted_updates,success_rate_wilson95_lower,success_rate_wilson95_upper
recorded_branch_refined,one_coast_k11_full,12,11,12,M,12,surrogate_ranked_baseline,200,200,1.0,1.0,1.0,0.0832614239111052,0.0832614239111052,12.0,0.0,12.0,6.0,0.9811546736227335,1.0
recorded_branch_refined,k10_full,12,10,66,sqrtM,9,online_threshold_amplitude_amplification,200,47,0.235,0.63,0.715,0.105726654638994,0.10731404053812424,6.0,3.0,9.0,2.0,0.18157433415232588,0.29841368882762537
recorded_branch_refined,k10_full,12,10,66,sqrtM,9,uniform_random_without_replacement,200,14,0.07,0.51,0.66,0.1060150397456055,0.10685854666208774,9.0,0.0,9.0,2.0,0.042152171828342806,0.11405480885610647
recorded_branch_refined,k10_full,12,10,66,sqrtM,9,simulated_annealing_baseline,200,20,0.1,0.46,0.6,0.1065212838348454,0.10717281595597783,9.0,0.0,9.0,2.0,0.06567044866909588,0.1494058124327174
recorded_branch_refined,k10_full,12,10,66,sqrtM,9,cross_entropy_baseline,200,32,0.16,0.57,0.69,0.1058877477686173,0.10674594752188744,9.0,0.0,9.0,2.0,0.1156741203158702,0.21714070162067106
recorded_branch_refined,k10_full,12,10,66,sqrtM,9,genetic_baseline,200,32,0.16,0.57,0.69,0.1058877477686173,0.10674594752188744,9.0,0.0,9.0,2.0,0.1156741203158702,0.21714070162067106
recorded_branch_refined,k10_full,12,10,66,sqrtM,9,surrogate_ranked_baseline,200,0,0.0,0.0,0.0,0.1200763613068571,0.12007636130685712,9.0,0.0,9.0,8.0,1.734723475976807e-18,0.018845326377266575
recorded_branch_refined,k10_full,12,10,66,2sqrtM,18,online_threshold_amplitude_amplification,200,124,0.62,0.885,0.925,0.1055748925448516,0.1060297985018856,10.0,8.0,18.0,3.0,0.5510671801561923,0.6844099415132637
recorded_branch_refined,k10_full,12,10,66,2sqrtM,18,uniform_random_without_replacement,200,40,0.2,0.77,0.9,0.105726654638994,0.1060599133193854,18.0,0.0,18.0,2.0,0.15045200926098115,0.2608551865653788
recorded_branch_refined,k10_full,12,10,66,2sqrtM,18,simulated_annealing_baseline,200,44,0.22,0.735,0.87,0.105726654638994,0.10616997704357173,18.0,0.0,18.0,2.0,0.16816538358833258,0.28238799918293667
recorded_branch_refined,k10_full,12,10,66,2sqrtM,18,cross_entropy_baseline,200,64,0.32,0.79,0.87,0.10566564383813025,0.10605291794979654,18.0,0.0,18.0,2.0,0.25926533315468053,0.38751898434113546
recorded_branch_refined,k10_full,12,10,66,2sqrtM,18,genetic_baseline,200,71,0.355,0.84,0.91,0.1056046330372665,0.10598931453836297,18.0,0.0,18.0,2.0,0.2919862754043116,0.42347886924509565
recorded_branch_refined,k10_full,12,10,66,2sqrtM,18,surrogate_ranked_baseline,200,0,0.0,0.0,0.0,0.114169364941278,0.114169364941278,18.0,0.0,18.0,14.0,1.734723475976807e-18,0.018845326377266575
recorded_branch_refined,k10_full,12,10,66,4sqrtM,36,online_threshold_amplitude_amplification,200,187,0.935,0.985,0.99,0.1055748925448516,0.10560863546671183,16.0,20.0,36.0,3.0,0.8919809207009312,0.961623645350847
recorded_branch_refined,k10_full,12,10,66,4sqrtM,36,uniform_random_without_replacement,200,116,0.58,0.98,1.0,0.1055748925448516,0.10563308618215067,36.0,0.0,36.0,3.0,0.5107207393958046,0.6462640083838327
recorded_branch_refined,k10_full,12,10,66,4sqrtM,36,simulated_annealing_baseline,200,93,0.465,0.945,0.99,0.1056046330372665,0.10570112224906601,36.0,0.0,36.0,3.0,0.3971856415700402,0.5341335312763685
recorded_branch_refined,k10_full,12,10,66,4sqrtM,36,cross_entropy_baseline,200,119,0.595,0.96,0.97,0.1055748925448516,0.10568475971142241,36.0,0.0,36.0,3.0,0.525797100813387,0.6606222871749323
recorded_branch_refined,k10_full,12,10,66,4sqrtM,36,genetic_baseline,200,125,0.625,0.955,0.98,0.1055748925448516,0.10569232323818775,36.0,0.0,36.0,3.0,0.5561430369897816,0.6891456314159018
recorded_branch_refined,k10_full,12,10,66,4sqrtM,36,surrogate_ranked_baseline,200,0,0.0,0.0,0.0,0.1111552405063265,0.11115524050632648,36.0,0.0,36.0,16.0,1.734723475976807e-18,0.018845326377266575
recorded_branch_refined,k10_full,12,10,66,M,66,online_threshold_amplitude_amplification,200,199,0.995,1.0,1.0,0.1055748925448516,0.10557504124731368,22.0,44.0,66.0,3.0,0.9722262956021069,0.9991168312843989
recorded_branch_refined,k10_full,12,10,66,M,66,uniform_random_without_replacement,200,200,1.0,1.0,1.0,0.1055748925448516,0.1055748925448516,66.0,0.0,66.0,3.5,0.9811546736227335,1.0
recorded_branch_refined,k10_full,12,10,66,M,66,simulated_annealing_baseline,200,133,0.665,0.99,1.0,0.1055748925448516,0.10561689926674336,66.0,0.0,66.0,3.0,0.5970219120796653,0.7267591302158368
recorded_branch_refined,k10_full,12,10,66,M,66,cross_entropy_baseline,200,167,0.835,0.995,1.0,0.1055748925448516,0.10559526415031043,66.0,0.0,66.0,3.0,0.7773421846094045,0.8800314467178268
recorded_branch_refined,k10_full,12,10,66,M,66,genetic_baseline,200,170,0.85,1.0,1.0,0.1055748925448516,0.10558662452785099,66.0,0.0,66.0,3.0,0.7939442071583334,0.89286406437758
recorded_branch_refined,k10_full,12,10,66,M,66,surrogate_ranked_baseline,200,200,1.0,1.0,1.0,0.1055748925448516,0.1055748925448516,66.0,0.0,66.0,19.0,0.9811546736227335,1.0
feedback_screening,feedback_N16_k12,16,12,1820,sqrtM,43,online_threshold_amplitude_amplification,200,35,0.175,0.46,0.995,0.7108987572875352,0.7125321017248367,19.5,23.5,43.0,5.0,0.12860515066273331,0.23364431148248993
feedback_screening,feedback_N16_k12,16,12,1820,sqrtM,43,uniform_random_without_replacement,200,6,0.03,0.11,1.0,0.7236372497493855,0.7314070714778073,43.0,0.0,43.0,3.0,0.013820314340111346,0.06389429245451925
feedback_screening,feedback_N16_k12,16,12,1820,sqrtM,43,simulated_annealing_baseline,200,24,0.12,0.345,1.0,0.7157704865597158,0.7188371313212921,43.0,0.0,43.0,5.0,0.08197992706375512,0.17234252098296743
feedback_screening,feedback_N16_k12,16,12,1820,sqrtM,43,cross_entropy_baseline,200,10,0.05,0.175,0.995,0.7207398327107502,0.7283248467474257,43.0,0.0,43.0,3.0,0.02738264560076393,0.08957814813877599
feedback_screening,feedback_N16_k12,16,12,1820,sqrtM,43,genetic_baseline,200,11,0.055,0.255,0.995,0.7183625581405478,0.7213998636001968,43.0,0.0,43.0,4.0,0.03098534170345884,0.0957869987723084
feedback_screening,feedback_N16_k12,16,12,1820,sqrtM,43,surrogate_ranked_baseline,200,200,1.0,1.0,1.0,0.6983271448889986,0.6983271448889987,43.0,0.0,43.0,0.0,0.9811546736227335,1.0
feedback_screening,feedback_N16_k12,16,12,1820,2sqrtM,86,online_threshold_amplitude_amplification,200,89,0.445,0.935,1.0,0.7059069681594736,0.7037679737651271,31.0,55.0,86.0,6.0,0.3778060100295335,0.5142669758719658
feedback_screening,feedback_N16_k12,16,12,1820,2sqrtM,86,uniform_random_without_replacement,200,8,0.04,0.19,1.0,0.7190266193231092,0.7202741372598706,86.0,0.0,86.0,4.0,0.020405632066152306,0.07693206820093293
feedback_screening,feedback_N16_k12,16,12,1820,2sqrtM,86,simulated_annealing_baseline,200,52,0.26,0.665,1.0,0.7080157454934313,0.7083162343614618,86.0,0.0,86.0,6.0,0.20413830063574687,0.32490745602534116
feedback_screening,feedback_N16_k12,16,12,1820,2sqrtM,86,cross_entropy_baseline,200,28,0.14,0.495,1.0,0.7108987572875352,0.7116351646514327,86.0,0.0,86.0,5.0,0.09866982633455634,0.1948988086570756
feedback_screening,feedback_N16_k12,16,12,1820,2sqrtM,86,genetic_baseline,200,58,0.29,0.765,1.0,0.7069613568264524,0.7065669742406584,86.0,0.0,86.0,5.0,0.23154025607067882,0.3563747810077731
feedback_screening,feedback_N16_k12,16,12,1820,2sqrtM,86,surrogate_ranked_baseline,200,200,1.0,1.0,1.0,0.6983271448889986,0.6983271448889987,86.0,0.0,86.0,0.0,0.9811546736227335,1.0
feedback_screening,feedback_N16_k12,16,12,1820,4sqrtM,172,online_threshold_amplitude_amplification,200,172,0.86,1.0,1.0,0.6983271448889986,0.699433513927726,43.0,129.0,172.0,7.0,0.8051011913429243,0.9013301736654437
feedback_screening,feedback_N16_k12,16,12,1820,4sqrtM,172,uniform_random_without_replacement,200,15,0.075,0.345,1.0,0.7122663907024209,0.7135388945428073,172.0,0.0,172.0,5.0,0.04597491718438201,0.12004361023629456
feedback_screening,feedback_N16_k12,16,12,1820,4sqrtM,172,simulated_annealing_baseline,200,100,0.5,0.88,1.0,0.7021170565242361,0.7034900900487409,172.0,0.0,172.0,7.0,0.43136085960389187,0.5686391403961082
feedback_screening,feedback_N16_k12,16,12,1820,4sqrtM,172,cross_entropy_baseline,200,104,0.52,0.96,1.0,0.6983271448889986,0.7027221500331582,172.0,0.0,172.0,6.0,0.4510378507281424,0.588208336216767
feedback_screening,feedback_N16_k12,16,12,1820,4sqrtM,172,genetic_baseline,200,163,0.815,0.99,1.0,0.6983271448889986,0.6999364401916099,172.0,0.0,172.0,6.0,0.7554293723884824,0.8626980719938395
feedback_screening,feedback_N16_k12,16,12,1820,4sqrtM,172,surrogate_ranked_baseline,200,200,1.0,1.0,1.0,0.6983271448889986,0.6983271448889987,172.0,0.0,172.0,0.0,0.9811546736227335,1.0
feedback_screening,feedback_N16_k12,16,12,1820,M,1820,online_threshold_amplitude_amplification,200,200,1.0,1.0,1.0,0.6983271448889986,0.6983271448889987,120.0,1700.0,1820.0,7.0,0.9811546736227335,1.0
feedback_screening,feedback_N16_k12,16,12,1820,M,1820,uniform_random_without_replacement,200,200,1.0,1.0,1.0,0.6983271448889986,0.6983271448889987,1820.0,0.0,1820.0,7.0,0.9811546736227335,1.0
feedback_screening,feedback_N16_k12,16,12,1820,M,1820,simulated_annealing_baseline,200,200,1.0,1.0,1.0,0.6983271448889986,0.6983271448889987,1820.0,0.0,1820.0,8.0,0.9811546736227335,1.0
feedback_screening,feedback_N16_k12,16,12,1820,M,1820,cross_entropy_baseline,200,200,1.0,1.0,1.0,0.6983271448889986,0.6983271448889987,1820.0,0.0,1820.0,7.0,0.9811546736227335,1.0
feedback_screening,feedback_N16_k12,16,12,1820,M,1820,genetic_baseline,200,200,1.0,1.0,1.0,0.6983271448889986,0.6983271448889987,1820.0,0.0,1820.0,7.0,0.9811546736227335,1.0
feedback_screening,feedback_N16_k12,16,12,1820,M,1820,surrogate_ranked_baseline,200,200,1.0,1.0,1.0,0.6983271448889986,0.6983271448889987,1820.0,0.0,1820.0,0.0,0.9811546736227335,1.0
feedback_screening,feedback_N20_k16,20,16,4845,sqrtM,70,online_threshold_amplitude_amplification,200,27,0.135,0.47,1.0,0.7249935224431918,0.725350378190392,27.5,42.5,70.0,6.0,0.09446570454787906,0.18929138370752552
feedback_screening,feedback_N20_k16,20,16,4845,sqrtM,70,uniform_random_without_replacement,200,4,0.02,0.12,1.0,0.7359573258677978,0.7365511352134003,70.0,0.0,70.0,4.0,0.0078044264163494685,0.050287086905826436
feedback_screening,feedback_N20_k16,20,16,4845,sqrtM,70,simulated_annealing_baseline,200,15,0.075,0.295,1.0,0.729255239456738,0.7292986777412128,70.0,0.0,70.0,6.0,0.04597491718438201,0.12004361023629456
feedback_screening,feedback_N20_k16,20,16,4845,sqrtM,70,cross_entropy_baseline,200,3,0.015,0.125,1.0,0.7337200565007194,0.7343177884214067,70.0,0.0,70.0,4.0,0.00511423779325831,0.04316572879269026
feedback_screening,feedback_N20_k16,20,16,4845,sqrtM,70,genetic_baseline,200,13,0.065,0.305,1.0,0.727381603286772,0.7284194502556797,70.0,0.0,70.0,5.0,0.03837635464915299,0.10801907929906895
feedback_screening,feedback_N20_k16,20,16,4845,sqrtM,70,surrogate_ranked_baseline,200,200,1.0,1.0,1.0,0.7161842998797451,0.7161842998797451,70.0,0.0,70.0,0.0,0.9811546736227335,1.0
feedback_screening,feedback_N20_k16,20,16,4845,2sqrtM,140,online_threshold_amplitude_amplification,200,86,0.43,0.885,1.0,0.7219384106699148,0.7204721216440707,42.0,98.0,140.0,7.0,0.36334322333434416,0.4992951223584731
feedback_screening,feedback_N20_k16,20,16,4845,2sqrtM,140,uniform_random_without_replacement,200,7,0.035,0.155,1.0,0.7322609303553341,0.732585840604489,140.0,0.0,140.0,4.0,0.017055542008567192,0.07047061152229073
feedback_screening,feedback_N20_k16,20,16,4845,2sqrtM,140,simulated_annealing_baseline,200,40,0.2,0.565,1.0,0.7248071783031024,0.7247202510529633,140.0,0.0,140.0,7.0,0.15045200926098115,0.2608551865653788
feedback_screening,feedback_N20_k16,20,16,4845,2sqrtM,140,cross_entropy_baseline,200,29,0.145,0.455,1.0,0.7249935224431918,0.7257772765197137,140.0,0.0,140.0,6.0,0.10289350642004402,0.20048667530781522
feedback_screening,feedback_N20_k16,20,16,4845,2sqrtM,140,genetic_baseline,200,95,0.475,0.865,1.0,0.7219384106699148,0.7203827711944751,140.0,0.0,140.0,7.0,0.4069162264657108,0.5440260398531525
feedback_screening,feedback_N20_k16,20,16,4845,2sqrtM,140,surrogate_ranked_baseline,200,200,1.0,1.0,1.0,0.7161842998797451,0.7161842998797451,140.0,0.0,140.0,0.0,0.9811546736227335,1.0
feedback_screening,feedback_N20_k16,20,16,4845,4sqrtM,280,online_threshold_amplitude_amplification,200,175,0.875,0.995,1.0,0.7161842998797451,0.7169490524616511,58.0,222.0,280.0,8.0,0.8219857499741765,0.9138802552428735
feedback_screening,feedback_N20_k16,20,16,4845,4sqrtM,280,uniform_random_without_replacement,200,12,0.06,0.26,1.0,0.729501390375297,0.7288069373479087,280.0,0.0,280.0,5.0,0.03465219425433187,0.1019316929576627
feedback_screening,feedback_N20_k16,20,16,4845,4sqrtM,280,simulated_annealing_baseline,200,66,0.33,0.8,1.0,0.7219384106699148,0.7215966436142519,280.0,0.0,280.0,8.0,0.26857425870603957,0.39783315226223115
feedback_screening,feedback_N20_k16,20,16,4845,4sqrtM,280,cross_entropy_baseline,200,120,0.6,0.955,1.0,0.7161842998797451,0.7190629041486954,280.0,0.0,280.0,7.0,0.53083672039262,0.6653942143319266
feedback_screening,feedback_N20_k16,20,16,4845,4sqrtM,280,genetic_baseline,200,187,0.935,1.0,1.0,0.7161842998797451,0.7165730255658896,280.0,0.0,280.0,7.0,0.8919809207009312,0.961623645350847
feedback_screening,feedback_N20_k16,20,16,4845,4sqrtM,280,surrogate_ranked_baseline,200,200,1.0,1.0,1.0,0.7161842998797451,0.7161842998797451,280.0,0.0,280.0,0.0,0.9811546736227335,1.0
feedback_screening,feedback_N20_k16,20,16,4845,M,4845,online_threshold_amplitude_amplification,200,200,1.0,1.0,1.0,0.7161842998797451,0.7161842998797451,187.0,4658.0,4845.0,8.0,0.9811546736227335,1.0
feedback_screening,feedback_N20_k16,20,16,4845,M,4845,uniform_random_without_replacement,200,200,1.0,1.0,1.0,0.7161842998797451,0.7161842998797451,4845.0,0.0,4845.0,8.0,0.9811546736227335,1.0
feedback_screening,feedback_N20_k16,20,16,4845,M,4845,simulated_annealing_baseline,200,200,1.0,1.0,1.0,0.7161842998797451,0.7161842998797451,4845.0,0.0,4845.0,9.0,0.9811546736227335,1.0
feedback_screening,feedback_N20_k16,20,16,4845,M,4845,cross_entropy_baseline,200,200,1.0,1.0,1.0,0.7161842998797451,0.7161842998797451,4845.0,0.0,4845.0,8.0,0.9811546736227335,1.0
feedback_screening,feedback_N20_k16,20,16,4845,M,4845,genetic_baseline,200,200,1.0,1.0,1.0,0.7161842998797451,0.7161842998797451,4845.0,0.0,4845.0,7.0,0.9811546736227335,1.0
feedback_screening,feedback_N20_k16,20,16,4845,M,4845,surrogate_ranked_baseline,200,200,1.0,1.0,1.0,0.7161842998797451,0.7161842998797451,4845.0,0.0,4845.0,0.0,0.9811546736227335,1.0
