evidence_tier,case_id,n_segments,active_windows,M,budget_label,budget,online_method,baseline_method,paired_seeds,online_successes,baseline_successes,paired_success_delta_mean,paired_success_delta_sum,best_cost_diff_mean_online_minus_baseline,best_cost_diff_mean_bootstrap95_lower,best_cost_diff_mean_bootstrap95_upper,best_cost_diff_median_online_minus_baseline,best_cost_diff_negative_favors_online,best_cost_online_wins,best_cost_online_losses,best_cost_ties,best_cost_sign_test_p_two_sided
recorded_branch_refined,k10_full,12,10,66,2sqrtM,18,online_threshold_amplitude_amplification,uniform_random_without_replacement,200,124,40,0.42,84,-3.0114817499817606e-05,-0.00028658927209253304,0.0002701468031594295,-2.9740492414900843e-05,True,125,39,36,1.0535726728912257e-11
recorded_branch_refined,k10_full,12,10,66,2sqrtM,18,online_threshold_amplitude_amplification,simulated_annealing_baseline,200,124,44,0.4,80,-0.00014017854168613946,-0.0004137671184849394,0.0001725936341222433,-0.0001220216017275011,True,123,39,38,2.4605877080387962e-11
recorded_branch_refined,k10_full,12,10,66,2sqrtM,18,online_threshold_amplitude_amplification,cross_entropy_baseline,200,124,64,0.3,60,-2.3119447910954773e-05,-0.00028937301899277154,0.00027719136774635185,-2.9740492414900843e-05,True,107,46,47,8.931479599682842e-07
recorded_branch_refined,k10_full,12,10,66,2sqrtM,18,online_threshold_amplitude_amplification,genetic_baseline,200,124,71,0.265,53,4.0483963522616326e-05,-0.00023206955564915402,0.0003528404048131234,-2.9740492414900843e-05,True,102,44,54,1.7704667363339333e-06
recorded_branch_refined,k10_full,12,10,66,4sqrtM,36,online_threshold_amplitude_amplification,uniform_random_without_replacement,200,187,116,0.355,71,-2.44507154388518e-05,-6.313933288493563e-05,2.5240846495838376e-05,0.0,True,82,11,107,1.4159872634786435e-14
recorded_branch_refined,k10_full,12,10,66,4sqrtM,36,online_threshold_amplitude_amplification,simulated_annealing_baseline,200,187,93,0.47,94,-9.248678235420006e-05,-0.0001439653952125962,-3.802242330073252e-05,-2.9740492414900843e-05,True,101,7,92,1.8435809190426689e-22
recorded_branch_refined,k10_full,12,10,66,4sqrtM,36,online_threshold_amplitude_amplification,cross_entropy_baseline,200,187,119,0.34,68,-7.612424471059622e-05,-0.0001408924746584965,-1.204008171055306e-05,0.0,True,76,10,114,1.0494057384312136e-13
recorded_branch_refined,k10_full,12,10,66,4sqrtM,36,online_threshold_amplitude_amplification,genetic_baseline,200,187,125,0.31,62,-8.36877714759418e-05,-0.00015389277457565756,-1.5283801667652132e-05,0.0,True,72,12,116,1.3932285101509037e-11
recorded_branch_refined,k10_full,12,10,66,M,66,online_threshold_amplitude_amplification,uniform_random_without_replacement,200,199,200,-0.005,-1,1.487024620745042e-07,0.0,4.4610738622351263e-07,0.0,True,0,1,199,1.0
recorded_branch_refined,k10_full,12,10,66,M,66,online_threshold_amplitude_amplification,simulated_annealing_baseline,200,199,133,0.33,66,-4.1858019429701356e-05,-5.8711080547013674e-05,-2.7690594038762453e-05,0.0,True,67,1,132,4.675621868843738e-19
recorded_branch_refined,k10_full,12,10,66,M,66,online_threshold_amplitude_amplification,cross_entropy_baseline,200,199,167,0.16,32,-2.022290299674566e-05,-3.3680315409238694e-05,-1.0048557304716126e-05,0.0,True,33,1,166,4.0745362639427185e-09
recorded_branch_refined,k10_full,12,10,66,M,66,online_threshold_amplitude_amplification,genetic_baseline,200,199,170,0.145,29,-1.158328053730666e-05,-1.828161238660173e-05,-6.178171758994591e-06,0.0,True,29,0,171,3.725290298461914e-09
feedback_screening,feedback_N16_k12,16,12,1820,sqrtM,43,online_threshold_amplitude_amplification,uniform_random_without_replacement,200,35,6,0.145,29,-0.01887496975297056,-0.022686490720402692,-0.015179033098859365,-0.014004168934875771,True,160,35,5,2.700468787749962e-20
feedback_screening,feedback_N16_k12,16,12,1820,sqrtM,43,online_threshold_amplitude_amplification,simulated_annealing_baseline,200,35,24,0.055,11,-0.006305029596455465,-0.0095502559256501,-0.003113494009741401,-0.004358388928852097,True,112,76,12,0.010498774606726869
feedback_screening,feedback_N16_k12,16,12,1820,sqrtM,43,online_threshold_amplitude_amplification,cross_entropy_baseline,200,35,10,0.125,25,-0.015792745022589,-0.019593101392616327,-0.011966788847530456,-0.012174319018689594,True,151,44,5,6.3056606249380924e-15
feedback_screening,feedback_N16_k12,16,12,1820,sqrtM,43,online_threshold_amplitude_amplification,genetic_baseline,200,35,11,0.12,24,-0.008867761875360102,-0.012009081340133919,-0.005786724341030095,-0.008830706485047024,True,137,57,6,8.778388557524864e-09
