group,k_active,active_fraction,schedule,coast_windows_zero_based,fuel_residual_weight,max_nfev,true_objective,feedback_nominal_error,feedback_worst_error,refinement_success,all_mask_success,refined_nominal_error,refined_selected_worst_error,refined_all_mask_worst_error,refined_nominal_fuel,refined_recovery_fuel_mean,refined_recovery_fuel_max,refinement_nfev,refinement_runtime_seconds,best_initial_guess,selected_outage_indices,selected_outage_errors,all_outage_errors,one_coast_pareto_frontier
one_coast_k11_full,11,0.9166666666666666,011111111111,0,0.018,35,0.814553025687213,0.3771197380746664,0.4056281761313686,True,True,0.0690121126015381,0.0940745290922824,0.1017866241286578,0.0916666666666666,0.0833333333333333,0.0833333333333333,20,14.70233029999872,feedback,[6],[0.09407452909228246],"[0.0690121126015381, 0.10178662412865784, 0.0998623451721799, 0.09812797774932111, 0.09658569584294052, 0.09523420273368018, 0.09407452909228246, 0.09309655317253755, 0.092294037311658, 0.09167335195843686, 0.09123922745878878, 0.09099749503273984]",False
one_coast_k11_full,11,0.9166666666666666,101111111111,1,0.018,35,0.8233486805154743,0.3798701240557635,0.4084293314888,True,True,0.0674629379621564,0.0925646306997911,0.1022127835752149,0.0916666666666666,0.0833333333333333,0.0833333333333333,35,37.83034889999908,feedback,[6],[0.09256463069979118],"[0.10221278357521497, 0.06746293796215647, 0.09814988389765913, 0.09642092061724106, 0.09488006471980402, 0.09351582479695719, 0.09256463069979118, 0.09140305031292727, 0.09060668778881464, 0.08999023314752275, 0.08956009938249605, 0.08932181774200024]",False
one_coast_k11_full,11,0.9166666666666666,110111111111,2,0.018,35,0.8281461898715251,0.3824265273579211,0.4110344228245713,True,True,0.0669946905744458,0.0922072907281229,0.1014963645437338,0.0916666666666666,0.0833333333333333,0.0833333333333333,35,33.64021079999657,feedback,[6],[0.09220729072812293],"[0.10149636454373383, 0.09937380921064078, 0.06699469057444583, 0.09570720751093612, 0.094060048719133, 0.09275699918952429, 0.09220729072812293, 0.09078432894265921, 0.08999764325851592, 0.08938921972158702, 0.08896585656567738, 0.08873173253636968]",False
one_coast_k11_full,11,0.9166666666666666,111011111111,3,0.018,35,0.8325831666823303,0.3847893829985838,0.4134442026620764,True,True,0.0642622153311685,0.0891852628715516,0.098648266211673,0.0916666666666666,0.0833333333333333,0.0833333333333333,35,35.51269300000422,feedback,[6],[0.08918526287155164],"[0.09864826621167301, 0.096535165065391, 0.09464095490539474, 0.06426221533116859, 0.09142264811470503, 0.09007215355666426, 0.08918526287155164, 0.08801950829022738, 0.08724029679768151, 0.08663658604226952, 0.08621595137286377, 0.08598337477579725]",False
one_coast_k11_full,11,0.9166666666666666,111101111111,4,0.018,35,0.836628474916579,0.3869416196516856,0.4156419181908998,True,True,0.0632678740837427,0.0881467206672208,0.0974736513663822,0.0916666666666666,0.0833333333333333,0.0833333333333333,35,38.21415059999708,feedback,[6],[0.08814672066722083],"[0.09747365136638225, 0.09535964276227009, 0.09348168705848225, 0.09177955093203585, 0.06326787408374276, 0.08887682555430118, 0.08814672066722083, 0.08692857433807312, 0.08615169220551916, 0.08555406815599619, 0.08513833681952118, 0.08490872270541579]",False
one_coast_k11_full,11,0.9166666666666666,111110111111,5,0.018,35,0.8682772258544953,0.4039310141117581,0.4327872920701024,True,True,0.062754548122028,0.0876302659683052,0.0967490200438228,0.0916664793204936,0.0833331237867057,0.0833331237867057,35,35.26299789999757,feedback,[6],[0.0876302659683052],"[0.09674902004382285, 0.09462581739561517, 0.09277629357076372, 0.09107605497397264, 0.08953343784221963, 0.06275454812202808, 0.0876302659683052, 0.08628951784711601, 0.08552528944874901, 0.08494734360841327, 0.0845367316119806, 0.08429819934214768]",False
one_coast_k11_full,11,0.9166666666666666,111111011111,6,0.018,35,0.9204258394382586,0.4332252336600387,0.4606203026322718,True,True,0.0600522997884915,0.0836849565091918,0.0940685431681975,0.0916666666666666,0.0833333333333333,0.0833333333333333,16,13.18295770000259,feedback,[7],[0.08368495650919182],"[0.09406854316819759, 0.09200388312122783, 0.09014658955316704, 0.08848648277669485, 0.08701566711145538, 0.08572732111294015, 0.060052299788491505, 0.08368495650919182, 0.08292394405956464, 0.08233910675051434, 0.08193256553794041, 0.08170941929027091]",False
one_coast_k11_full,11,0.9166666666666666,111111101111,7,0.018,35,0.9196915718203144,0.4315935278423849,0.4606203026322718,True,True,0.0605770719694452,0.0852143098547604,0.0943799551001144,0.0916650995892775,0.0833324759851686,0.0833324759851686,35,36.24440280000272,feedback,[6],[0.08521430985476047],"[0.09437995510011447, 0.09230667919402287, 0.09046358513231756, 0.08880572773995261, 0.08733773237260997, 0.08607841286847494, 0.08521430985476047, 0.060577071969445256, 0.08319985308249239, 0.08259513094332349, 0.08217434080629152, 0.08194834164029022]",False
one_coast_k11_full,11,0.9166666666666666,111111110111,8,0.018,35,0.9170898494806082,0.4302186062358075,0.4592038686203101,True,True,0.0600776590648171,0.0846623615241569,0.0937765926994148,0.0916662573732405,0.0833329240399072,0.0833329240399072,35,37.31002480000461,feedback,[6],[0.08466236152415695],"[0.0937765926994148, 0.09170090900039356, 0.08987960872133308, 0.08822873009083526, 0.08676818977702058, 0.08551526343973526, 0.08466236152415695, 0.08340358181789105, 0.06007765906481718, 0.08203605630521058, 0.08162481993727838, 0.08139910389172508]",False
one_coast_k11_full,11,0.9166666666666666,111111111011,9,0.018,35,0.915007521581994,0.429120474180913,0.4580694625675161,True,True,0.0603003605462355,0.0848356908620562,0.0938891150399227,0.0916635500799226,0.0833297822474932,0.0833297822474932,35,36.22440160000406,feedback,[6],[0.08483569086205626],"[0.09388911503992278, 0.09181697244112037, 0.0900044481643705, 0.08836808524720101, 0.08692339612915631, 0.08568282680924758, 0.08483569086205626, 0.08355114031692804, 0.08277573503985113, 0.0603003605462355, 0.0817687864167728, 0.08154450469003022]",True
