schedule,feedback_objective,feedback_nominal_error,feedback_worst_error,feedback_robust_degradation,active_fraction,smoothness
0000111111111111,0.6983271448889986,0.32825180243003227,0.3485336908062981,0.020281888376265822,0.75,0.06666666666666667
0001011111111111,0.7059069681594736,0.32945602160653115,0.3497512560260962,0.020295234419565045,0.75,0.2
0001101111111111,0.7080157454934313,0.3305859711289223,0.3508943274895831,0.020308356360660806,0.75,0.2
0001110111111111,0.7099857554305102,0.33164113530877454,0.3519623175296869,0.020321182220912337,0.75,0.2
0001111011111111,0.7118158856760926,0.33262110016960666,0.3529545647141211,0.020333464544514457,0.75,0.2
0001111101111111,0.7721810616442235,0.36514212377102223,0.3856193613909026,0.02047723761988035,0.75,0.2
0001111110111111,0.7718137772342819,0.36432593619337394,0.3856193613909026,0.021293425197528637,0.75,0.2
0001111111011111,0.7704281370881232,0.3635872891949187,0.3848670406788641,0.021279751483945453,0.75,0.2
0001111111101111,0.7692247882071319,0.3629469734038768,0.38421332155384813,0.021266348149971304,0.75,0.2
0001111111110111,0.7682158434713138,0.3624109248140003,0.3836649480750097,0.021254023261009447,0.75,0.2
0001111111111011,0.7674165932885177,0.3619869026221528,0.3832303479346778,0.021243445312525033,0.75,0.2
0001111111111101,0.7668472996551163,0.36168527402585554,0.38292066167391525,0.02123538764805971,0.75,0.2
0001111111111110,0.7638685301884672,0.3615199850170428,0.38275085971247474,0.021230874695431945,0.75,0.13333333333333333
0010011111111111,0.7083175689115992,0.3307484632785371,0.3510576860258982,0.020309222747361133,0.75,0.2
0010101111111111,0.7157704865597158,0.33188412933136247,0.35220663930519236,0.020322509973829894,0.75,0.3333333333333333
0010110111111111,0.7177499776032575,0.3329443163059988,0.3532797870944463,0.020335470788447496,0.75,0.3333333333333333
0010111011111111,0.7195869654792079,0.33392789442337967,0.35427577118239556,0.020347876759015893,0.75,0.3333333333333333
0010111101111111,0.7800201880020593,0.3664847733590687,0.38697764761224646,0.02049287425317775,0.75,0.3333333333333333
0010111110111111,0.7796493314901104,0.3656606477769603,0.38697764761224646,0.021316999835286177,0.75,0.3333333333333333
0010111111011111,0.7782562501447855,0.3649183222500041,0.38622119414210737,0.02130287189210328,0.75,0.3333333333333333
0010111111101111,0.7770465871601934,0.3642747800806935,0.38556400199324853,0.021289221912555,0.75,0.3333333333333333
0010111111110111,0.7760323343458381,0.3637359893973021,0.38501271841694196,0.02127672901963984,0.75,0.3333333333333333
0010111111111011,0.7752288317789745,0.3633097617850086,0.38457578974456247,0.021266027959553846,0.75,0.3333333333333333
0010111111111101,0.7746564697234929,0.36300654082247596,0.38426442358574675,0.021257882763270786,0.75,0.3333333333333333
0010111111111110,0.7716760246397151,0.362840384343541,0.38409370358461065,0.021253319241069657,0.75,0.26666666666666666
0011001111111111,0.7127168957287493,0.3331059372612643,0.35344230282941463,0.020336365568150327,0.75,0.2
0011010111111111,0.7200387550405692,0.3341709221582064,0.3545203619543165,0.020349439796110147,0.75,0.3333333333333333
0011011011111111,0.7218826012779244,0.33515812478973334,0.3555200798494365,0.020361955059703174,0.75,0.3333333333333333
0011011101111111,0.7823796228384073,0.36774872894523125,0.3882566867712285,0.020507957825997236,0.75,0.3333333333333333
0011011110111111,0.7820059323853542,0.36691830571622447,0.3882566867712285,0.02133838105500402,0.75,0.3333333333333333
0011011111011111,0.7806057057983863,0.36617236291901545,0.3874962922510685,0.02132392933205307,0.75,0.3333333333333333
0011011111101111,0.7793899104138412,0.3655256517808034,0.386835738413676,0.02131008663287265,0.75,0.3333333333333333
0011011111110111,0.7783704837829605,0.3649841700344804,0.38628162423865076,0.02129745420417034,0.75,0.3333333333333333
0011011111111011,0.7775628310212551,0.3645557794865226,0.3858424263707048,0.021286646884182192,0.75,0.3333333333333333
0011011111111101,0.7769874732176977,0.3642509975846784,0.38552942212232805,0.021278424537649665,0.75,0.3333333333333333
0011011111111110,0.7740053926886646,0.36408399074893055,0.3853578072749852,0.021273816526054645,0.75,0.26666666666666666
0011100111111111,0.7168523945173324,0.3353211445497029,0.35568419962140435,0.02036305507170144,0.75,0.2
0011101011111111,0.7240359031135165,0.3363117028706894,0.3566873596345521,0.020375656763862715,0.75,0.3333333333333333
0011101101111111,0.7845938704366281,0.3689346035435039,0.3894571182205129,0.020522514677008996,0.75,0.3333333333333333
0011101110111111,0.7842179296624602,0.36809917960090877,0.3894571182205129,0.02135793861960411,0.75,0.3333333333333333
0011101111011111,0.782810849913811,0.3673496971422634,0.3886929663331851,0.02134326919092172,0.75,0.3333333333333333
0011101111101111,0.7815890973035519,0.3666998771358947,0.3880291566136184,0.021329279477723728,0.75,0.3333333333333333
0011101111110111,0.7805646243993395,0.36615575484562357,0.3874722867039112,0.021316531858287635,0.75,0.3333333333333333
0011101111111011,0.779752917684757,0.36572524252191124,0.38703087515468826,0.021305632632777016,0.75,0.3333333333333333
0011101111111101,0.7791746321313832,0.36541892983872143,0.38671627169330375,0.02129734185458232,0.75,0.3333333333333333
0011101111111110,0.7761909532785515,0.3652510889704872,0.3865437832679754,0.0212926942974882,0.75,0.26666666666666666
0011110011111111,0.7207103043199359,0.3373869331706778,0.3577758459950936,0.020388912824415795,0.75,0.2
0011110101111111,0.7866608286531439,0.37004129268727187,0.3905777954360988,0.0205365027488269,0.75,0.3333333333333333
0011110110111111,0.7862833041955987,0.3692023494482822,0.3905777954360988,0.0213754459878166,0.75,0.3333333333333333
0011110111011111,0.7848697180495233,0.36844942880955506,0.3898101012513503,0.021360672441795236,0.75,0.3333333333333333
0011110111101111,0.7836421994060229,0.3677965653713751,0.3891431511825506,0.02134658581117549,0.75,0.3333333333333333
0011110111110111,0.7826128118628649,0.36724985379910624,0.388583603085667,0.021333749286560733,0.75,0.3333333333333333
0011110111111011,0.7817971470174178,0.366817260181905,0.38814003328730506,0.02132277310540004,0.75,0.3333333333333333
0011110111111101,0.7812159996577491,0.36650944589511625,0.38782386833686683,0.02131442244175058,0.75,0.3333333333333333
0011110111111110,0.7782307572713193,0.36634078653793667,0.38765052618755785,0.021309739649621184,0.75,0.26666666666666666
0011111001111111,0.78324284503191,0.37106863537779233,0.391615685079931,0.020547049702138664,0.75,0.2
0011111010111111,0.7882072823683085,0.37024886649571487,0.391615685079931,0.02136681858421613,0.75,0.3333333333333333
0011111011011111,0.7867904112512362,0.3694933105976561,0.39084649153496975,0.021353180937313643,0.75,0.3333333333333333
0011111011101111,0.7855583375426242,0.36883767381089083,0.3901771792817072,0.021339505470816367,0.75,0.3333333333333333
0011111011110111,0.7845246062986785,0.3682884987069609,0.3896153203908664,0.021326821683905484,0.75,0.3333333333333333
0011111011111011,0.7837052692973842,0.3678538889499188,0.3891697756689911,0.021315886719072308,0.75,0.3333333333333333
0011111011111101,0.7831213909724594,0.3675446052424441,0.3888521323428759,0.021307527100431822,0.75,0.3333333333333333
0011111011111110,0.7801346162764667,0.367375137235354,0.388677955609922,0.021302818374568044,0.75,0.26666666666666666
0011111100111111,0.8414973769456684,0.4030544893622644,0.42294489766617804,0.019890408303913643,0.75,0.2
0011111101011111,0.8464786307790387,0.4022720904734583,0.42294489766617804,0.020672807192719744,0.75,0.3333333333333333
0011111101101111,0.8452028771586285,0.40159215529338366,0.42225219567376615,0.020660040380382494,0.75,0.3333333333333333
0011111101110111,0.8441306460227594,0.4010212839295835,0.4216698106579383,0.020648526728354766,0.75,0.3333333333333333
0011111101111011,0.8432788586244296,0.4005683270597032,0.4212069843673071,0.02063865730760389,0.75,0.3333333333333333
0011111101111101,0.842670441192107,0.4002451807950299,0.42087626892929314,0.02063108813426323,0.75,0.3333333333333333
0011111101111110,0.8396699239890854,0.4000679661142938,0.42069476612213325,0.020626800007839452,0.75,0.26666666666666666
0011111110011111,0.8407536818923294,0.40140183368817794,0.42294489766617804,0.0215430639780001,0.75,0.2
0011111110101111,0.8448124138985303,0.40072445915983196,0.42225219567376615,0.021527736513934193,0.75,0.3333333333333333
0011111110110111,0.8437412363712077,0.4001559291483573,0.4216698106579383,0.021513881509581,0.75,0.3333333333333333
0011111110111011,0.8428903256214569,0.39970492038643035,0.4212069843673071,0.02150206398087673,0.75,0.3333333333333333
0011111110111101,0.8422825531260117,0.3993832073148179,0.42087626892929314,0.02149306161447523,0.75,0.3333333333333333
0011111110111110,0.8392823914984694,0.3992067828018136,0.42069476612213325,0.021487983320319648,0.75,0.26666666666666666
0011111111001111,0.8380272488940015,0.3999519983276612,0.42146346403325285,0.021511465705591648,0.75,0.2
0011111111010111,0.8422936983431287,0.3993856984870016,0.4208834290647463,0.021497730577744678,0.75,0.3333333333333333
0011111111011011,0.8414463601037107,0.39893655506870895,0.42042255499247017,0.021485999923761212,0.75,0.3333333333333333
0011111111011101,0.8408412161242457,0.3986162162936715,0.42009327532768587,0.021477059034014367,0.75,0.3333333333333333
0011111111011110,0.8378424999215307,0.3984405477732206,0.41991256196922483,0.021472014196004252,0.75,0.26666666666666666
