suite_case_id,case_type,purpose,target_mode,target_generation,backend,method,method_type,collocation_method,transfer_time,amax,segments,substeps_per_segment,max_nfev,selected_outages,min_recovery_segments,node_initialization,node_initialization_blend,settings_fingerprint,config_hash,source_states_id,nominal_error,selected_worst_error,all_mask_worst_error,nominal_threshold,selected_worst_threshold,thresholds,meets_nominal_threshold,meets_selected_worst_threshold,meets_thresholds,control_max_norm,control_bound_violation,nominal_fuel,recovery_fuel_mean,recovery_fuel_max,cost,optimality,nfev,runtime_seconds,selected_outage_indices,selected_outage_errors,all_outage_errors,optimizer_success,backend_success,accepted_candidate,selected_branch_semantics,all_mask_diagnostic_semantics,control_bound_semantics,nominal_only_semantics,message
multiple_shooting_high_thrust_nominal_only,nominal_only,Known high-thrust nominal-only hard-catalog feasibility probe preserved outside catalog_collocation_feasibility artifacts.,catalog_dro_phase,ballistic propagation of target_dro_seed for transfer_time,multiple_shooting,multiple_shooting,bounded_projected_multiple_shooting,,4.0,1.0,14,7,150,0,4,linear,0.5,3c94ba44452a89d5c656337149c3643c8d7a53db603d678f57e32dcb0089dfea,ddcd7b420fa385d2bdac06eabd5861bfbefc8239a59b9f8a10bdb8b3db238875,//nas/Projects/Papers/quantum-low-thrust/data/source_states.json|sha256=24f3e8900a33e87ed60f28cb61da10346e71f481288202350db5617c6e3d15cf,0.0131332321833597,0.0131332321833597,8.541020903730047,0.09,0.17,"{""nominal_success"": 0.09, ""selected_recovery_success"": 0.17}",True,True,True,1.0,0.0,4.0,4.0,4.0,0.0008070509801919,1.4339722232696228e-05,71,30.57100189999619,[],[],"[4.272264637868626, 3.3040538722230877, 4.307144063486341, 4.171207375482545, 3.947005466363763, 2.7429306528867903, 2.5675842852054878, 2.3411715351179594, 1.3405868793053493, 1.4221248680983063, 1.4981843200109504, 1.2692258455885284, 0.9397203673038141, 0.8044189230965525, 2.246372249423975, 6.657497296033111, 6.297160753767721, 8.541020903730047, 8.138399757706841, 5.771856002974485, 4.773083596059309, 3.1202558458533276, 2.416357550639046, 2.6904633133869944, 2.5265328568889833, 2.033394428045412, 1.6169578677708032]",True,True,optimizer,direct multiple shooting optimizes the nominal trajectory only because selected_outages=0,all outage masks are evaluated after optimization; with selected_outages=0 every mask uses masked nominal controls only,controls are projected to the Euclidean acceleration ball during multiple-shooting residual and evaluation paths,"selected_outages=0 rows optimize only the nominal trajectory; selected_worst_error equals nominal_error, and all_mask_worst_error is only a diagnostic under masked nominal controls, not missed-thrust robustness evidence",`ftol` termination condition is satisfied.
multiple_shooting_original_thrust_nominal_only,nominal_only,Lower-thrust reference row for the original hard-catalog thrust level; retained even if infeasible.,catalog_dro_phase,ballistic propagation of target_dro_seed for transfer_time,multiple_shooting,multiple_shooting,bounded_projected_multiple_shooting,,4.0,0.3,14,7,150,0,4,linear,0.5,9c42ac4983cad784f8ef1ef1704541565d665ae585948548704278e612d9cebd,39a8f864a12f772bdbf624ec40b68c8b9df308aa47c148784753f181ae117b54,//nas/Projects/Papers/quantum-low-thrust/data/source_states.json|sha256=24f3e8900a33e87ed60f28cb61da10346e71f481288202350db5617c6e3d15cf,1.6272751750909855,1.6272751750909855,5.550326651071626,0.09,0.17,"{""nominal_success"": 0.09, ""selected_recovery_success"": 0.17}",False,False,False,0.3,5.551115123125783e-17,1.1999999999999995,1.1999999999999995,1.1999999999999995,0.0007601807496467,6.015612131915992e-05,69,30.295745900002657,[],[],"[5.550326651071626, 2.9853573587594493, 5.356850248100626, 1.135778257119393, 0.9887651950465776, 0.785312365563404, 0.823058296550112, 1.985209658576132, 1.3268741768390901, 2.1987263736286007, 0.5174848040167683, 1.7752489566306595, 1.7238264625448536, 1.7836683020149082, 4.396439135909519, 2.2237005894432866, 5.2233349511446034, 0.9591310286416699, 4.6528663014595715, 0.5390968883080522, 2.3171171227874794, 5.149065900175214, 1.2921009984514582, 1.0605100930495606, 1.6515177808671386, 1.677818768524948, 1.8642049212745406]",True,False,optimizer,direct multiple shooting optimizes the nominal trajectory only because selected_outages=0,all outage masks are evaluated after optimization; with selected_outages=0 every mask uses masked nominal controls only,controls are projected to the Euclidean acceleration ball during multiple-shooting residual and evaluation paths,"selected_outages=0 rows optimize only the nominal trajectory; selected_worst_error equals nominal_error, and all_mask_worst_error is only a diagnostic under masked nominal controls, not missed-thrust robustness evidence",`ftol` termination condition is satisfied.
direct_collocation_hs_high_thrust_nominal_only,nominal_only,Optional constant-control Hermite-Simpson nominal-only check with a modest iteration cap.,catalog_dro_phase,ballistic propagation of target_dro_seed for transfer_time,direct_collocation,direct_collocation_hermite_simpson,bounded_projected_constant_control_hermite_simpson_direct_collocation,hermite_simpson,4.0,1.0,14,7,60,0,4,linear,0.5,774ad41ff68dee122e89dc29fd35806694e57ebc3364aea6cec2acf28753216d,ddcd7b420fa385d2bdac06eabd5861bfbefc8239a59b9f8a10bdb8b3db238875,//nas/Projects/Papers/quantum-low-thrust/data/source_states.json|sha256=24f3e8900a33e87ed60f28cb61da10346e71f481288202350db5617c6e3d15cf,0.6246266090416079,0.6246266090416079,17.824802634923653,0.09,0.17,"{""nominal_success"": 0.09, ""selected_recovery_success"": 0.17}",False,False,False,1.0,0.0,1.3883542011648995,1.3883542011648995,1.3883542011648995,0.0001689981535773,0.0023842412681386,60,17.517530000004626,[],[],"[17.824802634923653, 1.0396762819566823, 2.6164383818829546, 3.1290449247769105, 0.7462331292162787, 2.1081278947389155, 1.1978709538343684, 0.8024216443952438, 0.6645296941876163, 0.45016370992940175, 0.26702012641838885, 0.4323192942631707, 0.6499353006190585, 0.7722817042864233, 2.1241216682602673, 0.8975961373790313, 2.61761146197362, 0.36056434154225253, 2.4548114061658497, 2.8375796578103265, 1.8188337477308114, 1.5412470032553207, 1.3494927210241718, 0.9907593999078949, 0.6216313871895912, 0.6090228719307716, 0.8383463250374111]",False,False,optimizer,selected_outages=0/no selected outage branches: only the nominal trajectory is optimized; selected_worst_error equals nominal_error; all outage masks are diagnostic under masked nominal controls,all outage masks are diagnostic under masked nominal controls only; no selected outage branch recovery controls are optimized,"all nominal and branch controls are Euclidean projected to ||u_i|| <= amax inside residual evaluation, RK4 reporting propagation, fuel computation, and output diagnostics; scalar optimizer bounds are finite guards, not the scientific bound","selected_outages=0 rows optimize only the nominal trajectory; selected_worst_error equals nominal_error, and all_mask_worst_error is only a diagnostic under masked nominal controls, not missed-thrust robustness evidence",The maximum number of function evaluations is exceeded.
