seed,split,true,predicted
101,train,7.513713575150302,7.51371445001462
101,train,2.9296606989978153,2.9297184025275813
101,train,2.2616700443202156,2.2616854248451688
101,train,3.781972233142973,3.7820099306273924
101,train,1.7206703362440514,1.7206480110798683
101,train,2.886294900029454,2.8863846763417795
101,train,2.858620307757393,2.858578420247956
101,train,1.554792097449929,1.5547950520220148
101,train,2.25517487719085,2.255201709504204
101,train,1.6477496969876797,1.6477178905474295
101,train,2.144167996306869,2.1442241660720645
101,train,3.7435417128758326,3.7434636818991436
101,train,10.778568303316494,10.778047194902651
101,train,3.891834598233725,3.8918162410005053
101,train,6.154435772979886,6.154415494960157
101,train,2.925896313081055,2.9258834596531673
101,train,2.1716453485280485,2.17167599040599
101,train,2.1787834244684983,2.178839450271397
101,train,4.866682031295705,4.866593991811811
101,train,2.159631785104523,2.1596476857729803
101,train,0.8711000185876137,0.8710543134690054
101,train,2.7852330454273684,2.7852567922060842
101,train,2.170894151065382,2.170868151970077
101,train,3.7452622177579067,3.7453347828264176
101,train,2.873218011980774,2.8732987809382475
101,train,3.8793680125578884,3.8793552657622357
101,train,2.977443133320309,2.9774318874334753
101,train,1.1473257266358705,1.147352557306828
101,train,2.7864466518368234,2.786397639517448
101,train,2.8278430692795715,2.827889871115536
101,train,1.5136407300418608,1.5136575260954963
101,train,2.167271613271926,2.1672762987310623
101,train,0.9196915718203144,0.9195139824482368
101,train,4.759707534245274,4.7597711003370815
101,train,2.2411622729093343,2.241167541642131
101,train,2.937764052893362,2.9377880984801985
101,train,2.142616652026196,2.1426062140773108
101,train,3.8265167611324884,3.8264926438863682
101,train,0.8663190679054784,0.8662569121189945
101,train,3.7279310672456436,3.7280083612633117
101,train,3.0173612058498582,3.0173202231267036
101,train,2.964685426710998,2.9647119419255663
101,train,1.1500520361573847,1.1498832802334213
101,train,2.9637009349003263,2.963728124777109
101,train,2.0928740627246323,2.092884066462421
101,train,1.5452457303003273,1.5452535449256537
101,train,3.893634130210738,3.893639800890396
101,train,2.9471745036841046,2.9472192039301603
101,train,3.041623542121833,3.0416644880454484
101,train,2.928106003409826,2.928112260058515
101,train,0.9550081193534887,0.9551159899050061
101,train,1.1827176127162597,1.182690423594379
101,train,2.2411622729093343,2.241167541642131
101,train,4.792871211916314,4.792821822816205
101,train,6.1903895037761085,6.190441494801114
101,train,1.169226497258543,1.1691852300947643
101,train,4.994191013879318,4.994148547912513
101,train,1.6936600442436809,1.6937548950578467
101,train,2.0895843009658224,2.089556526999897
101,train,1.54961621173134,1.549649158144194
101,train,2.2294111281225826,2.229442369869135
101,train,0.9604904926131956,0.9604999545381511
101,train,1.6172255414437784,1.6173652811979071
101,train,2.2506859862638144,2.2507130607485086
101,train,0.9472075816680285,0.94720084613078
101,train,6.169945925099107,6.170013979290735
101,train,2.344524861388568,2.3445948974117297
101,train,2.952089839376783,2.9521412586066527
101,train,4.003171234308119,4.003210147369058
101,train,1.0525592349288493,1.0525108791171052
101,train,3.044209581160126,3.0441557230055705
101,train,3.6559811279925687,3.656011305826227
101,val,0.992172530029351,0.8030729408639478
101,val,0.9716540908412641,1.020335784162425
101,val,2.154020249077842,2.2426959832912585
101,val,3.893264043287388,3.566939326131012
101,val,3.87766108691636,4.109876838484913
101,val,4.790627027155805,4.681456785675159
101,val,5.959389220177391,5.875869773428335
101,val,2.935952290916107,3.4286954543491124
101,val,1.17491110438689,1.4349938391523056
101,val,2.2389692363400173,2.4375206469677275
101,val,2.24605342017869,2.0628367191779517
101,val,1.6340602734387293,1.6688691275984597
101,val,1.0759655646383546,0.9838462563142234
101,val,3.040230827220069,3.571692040491966
101,val,2.9560796710748067,2.961760856652514
101,val,3.0522370820870233,3.782448891443095
101,val,1.3304545762709428,1.1730634731042189
101,val,1.5426736248892223,1.7015488725094894
101,val,0.814553025687213,0.7633809759958474
101,val,1.248752942026132,1.3956006731547594
101,val,1.6245655351484718,1.7937577067408492
101,val,1.6298777225405259,1.6293002072776375
101,val,2.9715465574073887,3.351646158403855
101,val,0.9518086862862225,0.8652552882601139
