method,runs,benchmark_label,target_mode,comparison_group,diagnostic_notes,schedule,refinement_candidate_schedule,refined_schedule,schedule_repair,refined_schedule_source,objective_median,objective_iqr,nominal_error_median,nominal_error_iqr,worst_error_median,worst_error_iqr,robust_degradation_median,robust_degradation_iqr,active_fraction_median,active_fraction_iqr,active_target_penalty_median,active_target_penalty_iqr,active_target_deviation_median,active_target_deviation_iqr,target_active_fraction_median,target_active_fraction_iqr,target_active_weight_median,target_active_weight_iqr,refinement_candidate_active_fraction_median,refinement_candidate_active_fraction_iqr,refined_active_fraction_median,refined_active_fraction_iqr,solver_true_evaluations_median,solver_true_evaluations_iqr,shared_qubo_training_evaluations_median,shared_qubo_training_evaluations_iqr,total_true_evaluations_including_training_median,total_true_evaluations_including_training_iqr,true_evaluations_median,true_evaluations_iqr,runtime_seconds_median,runtime_seconds_iqr,refined_nominal_error_median,refined_nominal_error_iqr,refined_worst_error_median,refined_worst_error_iqr,refined_selected_worst_error_median,refined_selected_worst_error_iqr,refined_all_mask_worst_error_median,refined_all_mask_worst_error_iqr,refinement_nfev_median,refinement_nfev_iqr,refined_nominal_fuel_median,refined_nominal_fuel_iqr,refined_recovery_fuel_mean_median,refined_recovery_fuel_mean_iqr,refined_recovery_fuel_max_median,refined_recovery_fuel_max_iqr,refinement_success_rate
surrogate_qubo_sa,10,q1_catalog_halo_phase_shift_cardinality_prior,catalog_halo_phase_shift,qaoa_depth_ablation,,mixed,mixed,mixed,identity,original solver candidate schedule,0.8189508531013436,0.01692089679241604,0.378494931065215,0.007078931013751677,0.4070287538100843,0.007213581571331562,0.028533822744869347,0.0001346505575798851,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,12.0,0.0,0.9166666666666666,0.0,0.9166666666666666,0.0,24.0,0.0,96.0,0.0,120.0,0.0,120.0,0.0,0.3911842000015895,0.025688700005048304,0.06823752528184729,0.004066778459550197,0.09331957989603681,0.004133759256588002,0.09331957989603681,0.004133759256588002,0.10178662412865784,0.0024263333339696186,27.5,15.0,0.09166666666666667,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,1.0
exact_qubo_top24,10,q1_catalog_halo_phase_shift_cardinality_prior,catalog_halo_phase_shift,qaoa_depth_ablation,,mixed,mixed,mixed,identity,original solver candidate schedule,0.814553025687213,0.0,0.3771197380746664,0.0,0.4056281761313686,0.0,0.028508438056702168,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,12.0,0.0,0.9166666666666666,0.0,0.9166666666666666,0.0,24.0,0.0,96.0,0.0,120.0,0.0,120.0,0.0,0.3957327499992971,0.028439149997211643,0.0690121126015381,0.0,0.09407452909228246,0.0,0.09407452909228246,0.0,0.10178662412865784,0.0,20.0,0.0,0.09166666666666667,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.9
qaoa_random_p1,10,q1_catalog_halo_phase_shift_cardinality_prior,catalog_halo_phase_shift,qaoa_depth_ablation,,mixed,mixed,mixed,identity,original solver candidate schedule,0.8522810893185886,0.020161870106531254,0.3627810986912905,0.028027675179122802,0.3911775337570751,0.02840212406851922,0.02828167952654148,0.0003204980121410128,0.8333333333333334,0.06249999999999989,0.08333333333333318,0.06249999999999988,-0.08333333333333326,0.062499999999999944,0.9166666666666666,0.0,12.0,0.0,0.8333333333333334,0.06249999999999989,0.8333333333333334,0.06249999999999989,24.0,0.0,96.0,0.0,120.0,0.0,120.0,0.0,0.41397594999943976,0.02160110000477289,0.09484471095762256,0.02647096102816658,0.12033728383856529,0.027296872899156305,0.12033728383856529,0.027296872899156305,0.13101588755160426,0.02571006816321568,23.5,12.75,0.08333333333333333,0.006249999999999992,0.07499999999999998,0.0062500000000000056,0.07499999999999998,0.0062500000000000056,0.3
qaoa_optimized_p1,10,q1_catalog_halo_phase_shift_cardinality_prior,catalog_halo_phase_shift,qaoa_depth_ablation,,mixed,mixed,mixed,identity,original solver candidate schedule,0.8431741688943196,0.04900651697587166,0.3771197380746664,0.018093854604728843,0.4056281761313686,0.018276807924459793,0.028508438056702168,0.00018295331973093576,0.9166666666666666,0.08333333333333326,0.0,0.08333333333333318,0.0,0.08333333333333326,0.9166666666666666,0.0,12.0,0.0,0.9166666666666666,0.08333333333333326,0.9166666666666666,0.08333333333333326,24.0,0.0,96.0,0.0,120.0,0.0,120.0,0.0,0.4098256500037678,0.02089477499430359,0.0690121126015381,0.027660880340687477,0.09407452909228246,0.028601596102201268,0.09407452909228246,0.028601596102201268,0.10199970385193641,0.029968472783539937,20.0,11.5,0.09166657299358014,0.008333333333333345,0.08333322856001951,0.008333333333333345,0.08333322856001951,0.008333333333333345,0.6
qaoa_optimized_p2,10,q1_catalog_halo_phase_shift_cardinality_prior,catalog_halo_phase_shift,qaoa_depth_ablation,,mixed,mixed,mixed,identity,original solver candidate schedule,0.814553025687213,0.0,0.3771197380746664,0.0,0.4056281761313686,0.0,0.028508438056702168,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,12.0,0.0,0.9166666666666666,0.0,0.9166666666666666,0.0,24.0,0.0,96.0,0.0,120.0,0.0,120.0,0.0,0.4964220500041847,0.06529739999314188,0.0690121126015381,0.0,0.09407452909228246,0.0,0.09407452909228246,0.0,0.10178662412865784,0.0,20.0,0.0,0.09166666666666667,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.9
