method,runs,benchmark_label,target_mode,comparison_group,diagnostic_notes,objective_median,objective_iqr,nominal_error_median,nominal_error_iqr,worst_error_median,worst_error_iqr,robust_degradation_median,robust_degradation_iqr,active_fraction_median,active_fraction_iqr,solver_true_evaluations_median,solver_true_evaluations_iqr,shared_qubo_training_evaluations_median,shared_qubo_training_evaluations_iqr,total_true_evaluations_including_training_median,total_true_evaluations_including_training_iqr,true_evaluations_median,true_evaluations_iqr,runtime_seconds_median,runtime_seconds_iqr,refined_nominal_error_median,refined_nominal_error_iqr,refined_worst_error_median,refined_worst_error_iqr,refined_selected_worst_error_median,refined_selected_worst_error_iqr,refined_all_mask_worst_error_median,refined_all_mask_worst_error_iqr,refinement_nfev_median,refinement_nfev_iqr,refined_nominal_fuel_median,refined_nominal_fuel_iqr,refined_recovery_fuel_mean_median,refined_recovery_fuel_mean_iqr,refined_recovery_fuel_max_median,refined_recovery_fuel_max_iqr,refinement_success_rate
random,3,q1_teacher_feasible,teacher_controlled,method_comparison,,2.3753425475244683,2.412047616689071,1.2201134770481687,1.3072329459580567,1.2699701067996134,1.307232945958057,0.0,0.0249283148757223,0.375,0.09375,52.0,0.0,0.0,0.0,52.0,0.0,52.0,0.0,1.5168665000001056,0.3033487499997136,0.011475726105258,0.0862355261125853,0.013699229367599,0.08489167399581689,0.013699229367599,0.08489167399581689,1.1009077128737363,0.716640768313465,24.0,7.0,0.0579011286809925,0.007081345549913298,0.0579239489127304,0.012529663703209244,0.0579239489180123,0.012214117164407845,0.6666666666666666
cross_entropy,3,q1_teacher_feasible,teacher_controlled,method_comparison,,0.9258297115872148,4.443165639642975,0.4599847214795508,2.359620757847896,0.4860737525629168,2.4135735466272075,0.0980452396243428,0.08993089304979966,0.375,0.09375,56.0,0.0,0.0,0.0,56.0,0.0,56.0,0.0,1.6447974999991857,0.08728599999903963,0.0380554216442056,1.9618753465714418,0.2626163932611874,1.4461786776109393,0.2626163932611874,1.4461786776109393,0.7694639838288766,2.854078636648305,30.0,9.5,0.0892186608552081,0.0393939624602917,0.08125,0.03222542070916959,0.08125,0.0322254184123455,0.3333333333333333
genetic,3,q1_teacher_feasible,teacher_controlled,method_comparison,,1.0106684969058168,0.4823166194468276,0.2718421236454675,0.1995301413480789,0.6071472913800166,0.2858533732191849,0.1854146632597653,0.1612684841084979,0.3125,0.0625,52.0,0.0,0.0,0.0,52.0,0.0,52.0,0.0,1.7229810999997426,0.29625304999899527,0.0213306575279716,0.0037795855310421497,0.5602033463854672,0.2843470476088628,0.5602033463854672,0.2843470476088628,0.8393241036002614,0.27231446576575125,30.0,0.5,0.0679287676273449,0.016939856530277297,0.065,0.016251523168687144,0.065,0.016251523126019643,0.0
true_sa,3,q1_teacher_feasible,teacher_controlled,method_comparison,,9.017845565549935,5.66151926308329,4.64601188246986,2.8561473881483597,4.898909679837021,3.1143473369641863,0.2528977973671606,0.2581999488158261,0.625,0.21875,52.0,0.0,0.0,0.0,52.0,0.0,52.0,0.0,1.6282561999996688,0.3347177499990721,0.6349403466045226,1.0011181147290837,0.9637578003100982,0.6620176896064227,0.9637578003100982,0.6620176896064227,16.401742062422784,43.12128814581223,16.0,9.0,0.1592282393338206,0.06006588488603409,0.1355168287996583,0.060172831292897466,0.1437813661839723,0.06420370391794275,0.0
surrogate_qubo_sa,3,q1_teacher_feasible,teacher_controlled,method_comparison,,1.024176810918432,4.133618820000084,0.5046700291613792,2.088710553510216,0.5383871174731985,2.2714517173241577,0.0713217419210136,0.2015434906185387,0.375,0.1875,20.0,0.0,32.0,0.0,52.0,0.0,52.0,0.0,0.5666732999998203,0.04596780000065337,0.0262929865853908,0.9353077918148793,0.2161561222751136,1.3097250130866276,0.2161561222751136,1.3097250130866276,0.8144731621680852,4.777197873024461,27.0,10.0,0.0732563847226132,0.0654949241397402,0.065,0.05051382420130425,0.065,0.0506029696251329,0.3333333333333333
qaoa_statevector,3,q1_teacher_feasible,teacher_controlled,method_comparison,,1.161309483955414,1.276672462823337,0.5770822538933212,0.7214611370271775,0.6955180922250753,0.7175474149049645,0.2859134364586013,0.17367837314636497,0.3125,0.125,20.0,0.0,32.0,0.0,52.0,0.0,52.0,0.0,1.159755299999233,0.12765760000002047,0.2495214016470608,0.43813482707214285,0.2496475761564114,0.23827506978829638,0.2496475761564114,0.23827506978829638,1.021283932784672,3.2086083512633614,30.0,7.0,0.04875,0.020288760377237744,0.04875,0.012599055921836952,0.04875,0.01172011481753625,0.3333333333333333
all_windows_continuous,3,q1_teacher_feasible,teacher_controlled,method_comparison,,27.88586003070887,0.0,14.062836527266068,0.0,15.341131138170816,0.0,1.278294610904748,0.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,30.17283050000151,5.186456350000299,6.349472149194911,0.0,8.457845610743323,0.0,8.457845610743323,0.0,17.838660986447287,0.0,3.0,0.0,0.2594885399353964,0.0,0.2193668798338385,0.0,0.2284200612540043,0.0,0.0
teacher_seeded_schedule,3,q1_teacher_feasible,teacher_controlled,method_comparison,,11.167896524303332,0.0,1.2692151061917551,0.0,7.528868852274078,0.0,6.259653746082323,0.0,0.4375,0.0,30.0,0.0,0.0,0.0,30.0,0.0,30.0,0.0,74.88403490000019,4.796361400000023,1.218348916199802,0.0,0.9547282129131256,0.0,0.9547282129131256,0.0,1.7652236249177562,0.0,30.0,0.0,0.1133616405897282,0.0,0.0792712354691664,0.0,0.0849411738012518,0.0,0.0
teacher_controls_oracle_diagnostic,3,q1_teacher_feasible,teacher_controlled,oracle_diagnostic,oracle continuous-control initialization from states.teacher_controls; not a valid competing schedule initializer,11.167896524303332,0.0,1.2692151061917551,0.0,7.528868852274078,0.0,6.259653746082323,0.0,0.4375,0.0,7.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,21.584462700000586,1.3165846499996405,0.0066611712029553,0.0,0.0079792439789652,0.0,0.0079792439789652,0.0,1.1909670437771864,0.0,7.0,0.0,0.0280920993693202,0.0,0.0272448136456144,0.0,0.0283082643520808,0.0,1.0
