k_active,schedules_refined,success_count,all_mask_success_count,best_nominal_error,median_nominal_error,best_selected_worst_error,median_selected_worst_error,best_all_mask_worst_error,median_all_mask_worst_error,best_nominal_fuel,median_nominal_fuel,best_schedule_by_selected_worst,min_fuel_feasible_schedule
10,66,41,41,0.07976464907317705,0.08742392958142889,0.1055748925448516,0.11318525254492322,0.1145606738560572,0.1230266033037744,0.08333015023005558,0.08333333333333333,111111111100,111111011110
11,12,12,12,0.05878018735045887,0.061665810045736666,0.0832614239111052,0.08642228791153284,0.0923200173589854,0.09556448757196867,0.09166355007992263,0.09166657299358014,111111111110,111111111011
12,1,1,1,0.03856720666013058,0.03856720666013058,0.06006019530605116,0.06006019530605116,0.06904467217546138,0.06904467217546138,0.1,0.1,111111111111,111111111111
