case_id,source_subspace_costs,screening_rank,subspace_index,schedule_bits,active_count,M,screening_objective,screening_nominal_error,screening_robust_worst_error,screening_fuel,branch_nominal_error,branch_selected_worst_error,branch_all_mask_worst_error,branch_nominal_fuel,optimizer_success,success,nfev,best_attempt_nfev,selected_outage_indices,selected_outage_errors,nominal_threshold,robust_threshold,runtime_seconds
feedback_N16_k12,data/results/online_quantum_search/feedback_N16_k12_subspace_costs.csv,1,0,0000111111111111,12,1820,0.6983271448889986,0.3282518024300322,0.3485336908062981,0.07500000000000001,0.13419462945209976,0.15380252690824966,0.15774161063697187,0.07500000000000001,False,False,35,35,[9],[0.15380252690824966],0.09,0.17,69.8083101999946
feedback_N20_k16,data/results/online_quantum_search/feedback_N20_k16_subspace_costs.csv,1,0,00001111111111111111,16,4845,0.7161842998797451,0.3385602317539865,0.3555192374518259,0.08000000000000003,0.11540517588258632,0.13157473137165748,0.13462092708453266,0.0799999399365445,True,False,28,28,[10],[0.13157473137165748],0.09,0.17,86.01432109996676
