suite_case_id,purpose,target_mode,target_generation,transfer_time,amax,segments,substeps_per_segment,outage_lengths,outage_count,selected_outage_policy,selected_outages,selected_outage_count,nominal_max_nfev,branch_max_nfev,min_recovery_segments,node_initialization,node_initialization_blend,terminal_weight,control_weight,smooth_weight,continuity_weight,xtol,ftol,gtol,settings_fingerprint,config_hash,source_states_id,mode,method_type,nominal_error,nominal_baseline_error,nominal_lock_error_delta,selected_recovery_worst_error,selected_worst_error,all_outage_worst_error,all_mask_worst_error,nominal_threshold,selected_recovery_threshold,selected_worst_threshold,meets_nominal_threshold,meets_selected_recovery_threshold,meets_selected_worst_threshold,meets_thresholds,backend_success,optimizer_success,nominal_optimizer_success,nominal_backend_success,nominal_fuel,recovery_fuel_mean,recovery_fuel_max,control_max_norm,control_bound_violation,nominal_nfev,total_branch_nfev,nfev,nominal_runtime_seconds,total_branch_runtime_seconds,runtime_seconds,cost,optimality,nominal_cost,nominal_optimality,selected_outage_indices,selected_outage_errors,all_outage_errors,nominal_masked_outage_errors,branch_nfev,branch_runtime_seconds,branch_optimizer_success,branch_recovery_starts,branch_recovery_segments,branch_results,nominal_accepted_candidate,backend_semantics,selection_semantics,selected_branch_semantics,all_mask_diagnostic_semantics,control_bound_semantics,nominal_lock_semantics,worst_error_semantics,message,nominal_message
locked_hard_nominal_only,Hard catalog-DRO feasible locked nominal trajectory; selected_worst_error equals nominal_error by construction.,catalog_dro_phase,ballistic propagation of target_dro_seed for transfer_time,4.0,1.0,14,7,"[1, 2]",27,0,0,0,140,0,4,linear,0.5,4.0,0.01,0.01,0.0,1e-05,1e-05,1e-05,d294213f8edb940c9fed4f1429df1d8aecb69aefdcd6e46fa875307a23a41be7,02a87b68f30480f4dfef4faf27c9e05eed2f2d9027fede65657ed0f6b2af6357,//nas/Projects/Papers/quantum-low-thrust/data/source_states.json|sha256=24f3e8900a33e87ed60f28cb61da10346e71f481288202350db5617c6e3d15cf,locked_nominal_independent_branch_recovery,locked_nominal_independent_branch_recovery,0.013133232183359739,0.013133232183359739,0.0,0.013133232183359739,0.013133232183359739,8.541020903730047,8.541020903730047,0.09,0.17,0.17,True,True,True,True,True,True,True,True,4.0,4.0,4.0,1.0,0.0,71,0,71,40.56545000000915,0.0,40.626486599998316,0.0,0.0,0.0008070509801919597,1.4339722232696227e-05,[],[],"[4.272264637868626, 3.3040538722230877, 4.307144063486341, 4.171207375482545, 3.947005466363763, 2.7429306528867903, 2.5675842852054878, 2.3411715351179594, 1.3405868793053493, 1.4221248680983063, 1.4981843200109504, 1.2692258455885284, 0.9397203673038141, 0.8044189230965525, 2.246372249423975, 6.657497296033111, 6.297160753767721, 8.541020903730047, 8.138399757706841, 5.771856002974485, 4.773083596059309, 3.1202558458533276, 2.416357550639046, 2.6904633133869944, 2.5265328568889833, 2.033394428045412, 1.6169578677708032]","[4.272264637868626, 3.3040538722230877, 4.307144063486341, 4.171207375482545, 3.947005466363763, 2.7429306528867903, 2.5675842852054878, 2.3411715351179594, 1.3405868793053493, 1.4221248680983063, 1.4981843200109504, 1.2692258455885284, 0.9397203673038141, 0.8044189230965525, 2.246372249423975, 6.657497296033111, 6.297160753767721, 8.541020903730047, 8.138399757706841, 5.771856002974485, 4.773083596059309, 3.1202558458533276, 2.416357550639046, 2.6904633133869944, 2.5265328568889833, 2.033394428045412, 1.6169578677708032]",[],[],[],[],[],[],optimizer,"Locked-nominal continuous baseline: nominal all-windows controls are solved once, kept fixed, and each selected missed-thrust recovery branch is optimized independently after the outage.",selected_outages=0; no branch recovery optimizer is run,"For selected masks, controls before outage_end(mask) are exactly locked nominal controls with missed segments zeroed; only controls from outage_end(mask) onward are optimization variables.","all_outage_errors evaluates every configured outage mask; selected masks use their optimized recovery branches, while unselected masks use masked locked nominal controls only.","Every nominal and recovery acceleration vector is projected to the Euclidean ball ||u_i|| <= amax before propagation, residual evaluation, fuel computation, and reporting.",Branch optimization never changes nominal_controls; nominal_error is the locked nominal baseline terminal error and nominal_lock_error_delta reports agreement with the nominal solve output.,selected_worst_error is the worst terminal error among independently optimized selected locked-nominal branches,locked nominal branch recovery complete,`ftol` termination condition is satisfied.
locked_hard_selected1,Hard catalog-DRO locked-nominal recovery for the single hardest eligible missed-thrust mask.,catalog_dro_phase,ballistic propagation of target_dro_seed for transfer_time,4.0,1.0,14,7,"[1, 2]",27,1,1,1,140,120,4,linear,0.5,4.0,0.01,0.01,0.0,1e-05,1e-05,1e-05,09dd087a11236c5791652ae3fe9b0d44df0a2c75815f61ab9a0fde052df6d4f1,02a87b68f30480f4dfef4faf27c9e05eed2f2d9027fede65657ed0f6b2af6357,//nas/Projects/Papers/quantum-low-thrust/data/source_states.json|sha256=24f3e8900a33e87ed60f28cb61da10346e71f481288202350db5617c6e3d15cf,locked_nominal_independent_branch_recovery,locked_nominal_independent_branch_recovery,0.013133232183359739,0.013133232183359739,0.0,0.19725175453236252,0.19725175453236252,8.138399757706841,8.138399757706841,0.09,0.17,0.17,True,False,False,False,False,True,True,True,4.0,3.243894802474515,3.243894802474515,1.0,0.0,71,90,161,40.33611639999435,55.95666520000668,96.34488509999937,0.31182574669404894,0.015310403881169287,0.0008070509801919597,1.4339722232696227e-05,[17],[0.19725175453236252],"[4.272264637868626, 3.3040538722230877, 4.307144063486341, 4.171207375482545, 3.947005466363763, 2.7429306528867903, 2.5675842852054878, 2.3411715351179594, 1.3405868793053493, 1.4221248680983063, 1.4981843200109504, 1.2692258455885284, 0.9397203673038141, 0.8044189230965525, 2.246372249423975, 6.657497296033111, 6.297160753767721, 0.19725175453236252, 8.138399757706841, 5.771856002974485, 4.773083596059309, 3.1202558458533276, 2.416357550639046, 2.6904633133869944, 2.5265328568889833, 2.033394428045412, 1.6169578677708032]","[4.272264637868626, 3.3040538722230877, 4.307144063486341, 4.171207375482545, 3.947005466363763, 2.7429306528867903, 2.5675842852054878, 2.3411715351179594, 1.3405868793053493, 1.4221248680983063, 1.4981843200109504, 1.2692258455885284, 0.9397203673038141, 0.8044189230965525, 2.246372249423975, 6.657497296033111, 6.297160753767721, 8.541020903730047, 8.138399757706841, 5.771856002974485, 4.773083596059309, 3.1202558458533276, 2.416357550639046, 2.6904633133869944, 2.5265328568889833, 2.033394428045412, 1.6169578677708032]",[90],[55.95666520000668],[true],[5],[9],"[{""mask_index"": 17, ""recovery_start"": 5, ""recovery_segments"": 9, ""terminal_error"": 0.19725175453236252, ""branch_fuel"": 3.243894802474515, ""nfev"": 90, ""runtime_seconds"": 55.95666520000668, ""optimizer_success"": true, ""accepted_candidate"": ""optimizer"", ""message"": ""`ftol` termination condition is satisfied.""}]",optimizer,"Locked-nominal continuous baseline: nominal all-windows controls are solved once, kept fixed, and each selected missed-thrust recovery branch is optimized independently after the outage.",the 1 hardest eligible outage masks are selected by terminal error under fixed locked nominal controls with the missed-thrust mask applied,"For selected masks, controls before outage_end(mask) are exactly locked nominal controls with missed segments zeroed; only controls from outage_end(mask) onward are optimization variables.","all_outage_errors evaluates every configured outage mask; selected masks use their optimized recovery branches, while unselected masks use masked locked nominal controls only.","Every nominal and recovery acceleration vector is projected to the Euclidean ball ||u_i|| <= amax before propagation, residual evaluation, fuel computation, and reporting.",Branch optimization never changes nominal_controls; nominal_error is the locked nominal baseline terminal error and nominal_lock_error_delta reports agreement with the nominal solve output.,selected_worst_error is the worst terminal error among independently optimized selected locked-nominal branches,locked nominal branch recovery complete,`ftol` termination condition is satisfied.
locked_hard_selected3,Hard catalog-DRO locked-nominal recovery for the three hardest eligible missed-thrust masks.,catalog_dro_phase,ballistic propagation of target_dro_seed for transfer_time,4.0,1.0,14,7,"[1, 2]",27,3,3,3,140,120,4,linear,0.5,4.0,0.01,0.01,0.0,1e-05,1e-05,1e-05,b36a6f94993b1f5b05db4f740716f5aa69f40cf1ff87f988d51feb6aae764a4b,02a87b68f30480f4dfef4faf27c9e05eed2f2d9027fede65657ed0f6b2af6357,//nas/Projects/Papers/quantum-low-thrust/data/source_states.json|sha256=24f3e8900a33e87ed60f28cb61da10346e71f481288202350db5617c6e3d15cf,locked_nominal_independent_branch_recovery,locked_nominal_independent_branch_recovery,0.013133232183359739,0.013133232183359739,0.0,0.19725175453236252,0.19725175453236252,6.297160753767721,6.297160753767721,0.09,0.17,0.17,True,False,False,False,False,False,True,True,4.0,2.7051364126335797,3.243894802474515,1.0,0.0,71,330,401,41.462427000005846,205.940101900007,247.43718249999802,0.31263071576693685,0.034847579305531944,0.0008070509801919597,1.4339722232696227e-05,"[17, 18, 15]","[0.19725175453236252, 0.00032494181785792123, 0.00016032118821900817]","[4.272264637868626, 3.3040538722230877, 4.307144063486341, 4.171207375482545, 3.947005466363763, 2.7429306528867903, 2.5675842852054878, 2.3411715351179594, 1.3405868793053493, 1.4221248680983063, 1.4981843200109504, 1.2692258455885284, 0.9397203673038141, 0.8044189230965525, 2.246372249423975, 0.00016032118821900817, 6.297160753767721, 0.19725175453236252, 0.00032494181785792123, 5.771856002974485, 4.773083596059309, 3.1202558458533276, 2.416357550639046, 2.6904633133869944, 2.5265328568889833, 2.033394428045412, 1.6169578677708032]","[4.272264637868626, 3.3040538722230877, 4.307144063486341, 4.171207375482545, 3.947005466363763, 2.7429306528867903, 2.5675842852054878, 2.3411715351179594, 1.3405868793053493, 1.4221248680983063, 1.4981843200109504, 1.2692258455885284, 0.9397203673038141, 0.8044189230965525, 2.246372249423975, 6.657497296033111, 6.297160753767721, 8.541020903730047, 8.138399757706841, 5.771856002974485, 4.773083596059309, 3.1202558458533276, 2.416357550639046, 2.6904633133869944, 2.5265328568889833, 2.033394428045412, 1.6169578677708032]","[90, 120, 120]","[55.54694519999612, 59.84317170000577, 90.54998500000511]","[true, false, false]","[5, 6, 3]","[9, 8, 11]","[{""mask_index"": 17, ""recovery_start"": 5, ""recovery_segments"": 9, ""terminal_error"": 0.19725175453236252, ""branch_fuel"": 3.243894802474515, ""nfev"": 90, ""runtime_seconds"": 55.54694519999612, ""optimizer_success"": true, ""accepted_candidate"": ""optimizer"", ""message"": ""`ftol` termination condition is satisfied.""}, {""mask_index"": 18, ""recovery_start"": 6, ""recovery_segments"": 8, ""terminal_error"": 0.00032494181785792123, ""branch_fuel"": 3.05565110779116, ""nfev"": 120, ""runtime_seconds"": 59.84317170000577, ""optimizer_success"": false, ""accepted_candidate"": ""optimizer"", ""message"": ""The maximum number of function evaluations is exceeded.""}, {""mask_index"": 15, ""recovery_start"": 3, ""recovery_segments"": 11, ""terminal_error"": 0.00016032118821900817, ""branch_fuel"": 1.8158633276350644, ""nfev"": 120, ""runtime_seconds"": 90.54998500000511, ""optimizer_success"": false, ""accepted_candidate"": ""optimizer"", ""message"": ""The maximum number of function evaluations is exceeded.""}]",optimizer,"Locked-nominal continuous baseline: nominal all-windows controls are solved once, kept fixed, and each selected missed-thrust recovery branch is optimized independently after the outage.",the 3 hardest eligible outage masks are selected by terminal error under fixed locked nominal controls with the missed-thrust mask applied,"For selected masks, controls before outage_end(mask) are exactly locked nominal controls with missed segments zeroed; only controls from outage_end(mask) onward are optimization variables.","all_outage_errors evaluates every configured outage mask; selected masks use their optimized recovery branches, while unselected masks use masked locked nominal controls only.","Every nominal and recovery acceleration vector is projected to the Euclidean ball ||u_i|| <= amax before propagation, residual evaluation, fuel computation, and reporting.",Branch optimization never changes nominal_controls; nominal_error is the locked nominal baseline terminal error and nominal_lock_error_delta reports agreement with the nominal solve output.,selected_worst_error is the worst terminal error among independently optimized selected locked-nominal branches,locked nominal branch recovery complete,`ftol` termination condition is satisfied.
locked_hard_single_min6_selected8,Hard catalog-DRO locked-nominal recovery for the 8 hardest one-segment masks with at least six remaining recovery segments; explicitly not late-outage or two-segment robustness.,catalog_dro_phase,ballistic propagation of target_dro_seed for transfer_time,4.0,1.0,14,7,[1],14,8,8,8,140,120,6,linear,0.5,4.0,0.01,0.01,0.0,1e-05,1e-05,1e-05,1ae4e9abd5ab514295a5ba556cff0fc973f0387d64061f0d035ccd9ff38ba4f5,35b6c3b378172fd6a718def3d22a23f15b60b0d0d99657958dbe7106cf7f7744,//nas/Projects/Papers/quantum-low-thrust/data/source_states.json|sha256=24f3e8900a33e87ed60f28cb61da10346e71f481288202350db5617c6e3d15cf,locked_nominal_independent_branch_recovery,locked_nominal_independent_branch_recovery,0.013133232183359739,0.013133232183359739,0.0,0.1579652252078591,0.1579652252078591,1.4981843200109504,1.4981843200109504,0.09,0.17,0.17,True,True,True,True,True,False,True,True,4.0,2.6509096903974783,3.6861347256799712,1.0,0.0,71,752,823,34.96039030000975,460.82201319996966,495.8344874000031,0.20746075715137133,0.12500608857350845,0.0008070509801919597,1.4339722232696227e-05,"[2, 0, 3, 4, 1, 5, 6, 7]","[0.00011962636022289327, 0.00030004522751574635, 0.0001668199822641935, 3.1109977553258044e-05, 0.00014872978583053398, 0.0002710565962435509, 0.026542686477525335, 0.1579652252078591]","[0.00030004522751574635, 0.00014872978583053398, 0.00011962636022289327, 0.0001668199822641935, 3.1109977553258044e-05, 0.0002710565962435509, 0.026542686477525335, 0.1579652252078591, 1.3405868793053493, 1.4221248680983063, 1.4981843200109504, 1.2692258455885284, 0.9397203673038141, 0.8044189230965525]","[4.272264637868626, 3.3040538722230877, 4.307144063486341, 4.171207375482545, 3.947005466363763, 2.7429306528867903, 2.5675842852054878, 2.3411715351179594, 1.3405868793053493, 1.4221248680983063, 1.4981843200109504, 1.2692258455885284, 0.9397203673038141, 0.8044189230965525]","[55, 120, 120, 84, 120, 120, 88, 45]","[36.521106099986355, 92.58244399999967, 70.31934109999565, 52.9014945999952, 86.63555259999703, 64.7136906000087, 39.75021259998903, 17.398171599998022]","[true, false, false, true, false, false, true, true]","[3, 1, 4, 5, 2, 6, 7, 8]","[11, 13, 10, 9, 12, 8, 7, 6]","[{""mask_index"": 2, ""recovery_start"": 3, ""recovery_segments"": 11, ""terminal_error"": 0.00011962636022289327, ""branch_fuel"": 2.6182584132770224, ""nfev"": 55, ""runtime_seconds"": 36.521106099986355, ""optimizer_success"": true, ""accepted_candidate"": ""optimizer"", ""message"": ""`xtol` termination condition is satisfied.""}, {""mask_index"": 0, ""recovery_start"": 1, ""recovery_segments"": 13, ""terminal_error"": 0.00030004522751574635, ""branch_fuel"": 1.4274966581756812, ""nfev"": 120, ""runtime_seconds"": 92.58244399999967, ""optimizer_success"": false, ""accepted_candidate"": ""optimizer"", ""message"": ""The maximum number of function evaluations is exceeded.""}, {""mask_index"": 3, ""recovery_start"": 4, ""recovery_segments"": 10, ""terminal_error"": 0.0001668199822641935, ""branch_fuel"": 2.467963284603725, ""nfev"": 120, ""runtime_seconds"": 70.31934109999565, ""optimizer_success"": false, ""accepted_candidate"": ""optimizer"", ""message"": ""The maximum number of function evaluations is exceeded.""}, {""mask_index"": 4, ""recovery_start"": 5, ""recovery_segments"": 9, ""terminal_error"": 3.1109977553258044e-05, ""branch_fuel"": 2.5872763787595843, ""nfev"": 84, ""runtime_seconds"": 52.9014945999952, ""optimizer_success"": true, ""accepted_candidate"": ""optimizer"", ""message"": ""`ftol` termination condition is satisfied.""}, {""mask_index"": 1, ""recovery_start"": 2, ""recovery_segments"": 12, ""terminal_error"": 0.00014872978583053398, ""branch_fuel"": 1.5383980285713288, ""nfev"": 120, ""runtime_seconds"": 86.63555259999703, ""optimizer_success"": false, ""accepted_candidate"": ""optimizer"", ""message"": ""The maximum number of function evaluations is exceeded.""}, {""mask_index"": 5, ""recovery_start"": 6, ""recovery_segments"": 8, ""terminal_error"": 0.0002710565962435509, ""branch_fuel"": 3.2602325359086657, ""nfev"": 120, ""runtime_seconds"": 64.7136906000087, ""optimizer_success"": false, ""accepted_candidate"": ""optimizer"", ""message"": ""The maximum number of function evaluations is exceeded.""}, {""mask_index"": 6, ""recovery_start"": 7, ""recovery_segments"": 7, ""terminal_error"": 0.026542686477525335, ""branch_fuel"": 3.6215174982038474, ""nfev"": 88, ""runtime_seconds"": 39.75021259998903, ""optimizer_success"": true, ""accepted_candidate"": ""optimizer"", ""message"": ""`ftol` termination condition is satisfied.""}, {""mask_index"": 7, ""recovery_start"": 8, ""recovery_segments"": 6, ""terminal_error"": 0.1579652252078591, ""branch_fuel"": 3.6861347256799712, ""nfev"": 45, ""runtime_seconds"": 17.398171599998022, ""optimizer_success"": true, ""accepted_candidate"": ""optimizer"", ""message"": ""`xtol` termination condition is satisfied.""}]",optimizer,"Locked-nominal continuous baseline: nominal all-windows controls are solved once, kept fixed, and each selected missed-thrust recovery branch is optimized independently after the outage.",the 8 hardest eligible outage masks are selected by terminal error under fixed locked nominal controls with the missed-thrust mask applied,"For selected masks, controls before outage_end(mask) are exactly locked nominal controls with missed segments zeroed; only controls from outage_end(mask) onward are optimization variables.","all_outage_errors evaluates every configured outage mask; selected masks use their optimized recovery branches, while unselected masks use masked locked nominal controls only.","Every nominal and recovery acceleration vector is projected to the Euclidean ball ||u_i|| <= amax before propagation, residual evaluation, fuel computation, and reporting.",Branch optimization never changes nominal_controls; nominal_error is the locked nominal baseline terminal error and nominal_lock_error_delta reports agreement with the nominal solve output.,selected_worst_error is the worst terminal error among independently optimized selected locked-nominal branches,locked nominal branch recovery complete,`ftol` termination condition is satisfied.
locked_hard_all_single,Hard catalog-DRO locked-nominal recovery for all one-segment missed-thrust masks; explicitly not two-segment robustness.,catalog_dro_phase,ballistic propagation of target_dro_seed for transfer_time,4.0,1.0,14,7,"[1, 2]",27,all_single,all_single,14,140,120,4,linear,0.5,4.0,0.01,0.01,0.0,1e-05,1e-05,1e-05,3e9c870b52384c3443c281c2fba386ec967fce931aa9d9323201e5be78b2643e,02a87b68f30480f4dfef4faf27c9e05eed2f2d9027fede65657ed0f6b2af6357,//nas/Projects/Papers/quantum-low-thrust/data/source_states.json|sha256=24f3e8900a33e87ed60f28cb61da10346e71f481288202350db5617c6e3d15cf,locked_nominal_independent_branch_recovery,locked_nominal_independent_branch_recovery,0.013133232183359739,0.013133232183359739,0.0,0.8044189230965525,0.8044189230965525,8.541020903730047,8.541020903730047,0.09,0.17,0.17,True,False,False,False,False,False,True,True,4.0,3.106642229770216,3.714285714285714,1.0,0.0,71,884,955,36.092645999990054,539.621439399969,575.7629937999882,10.480977448681763,0.5514604824779952,0.0008070509801919597,1.4339722232696227e-05,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[0.00030004522751574635, 0.00014872978583053398, 0.00011962636022289327, 0.0001668199822641935, 3.1109977553258044e-05, 0.0002710565962435509, 0.026542686477525335, 0.1579652252078591, 0.21508712288657583, 0.2473563933108893, 0.2994131489291722, 0.6766024553260154, 0.7932190118770805, 0.8044189230965525]","[0.00030004522751574635, 0.00014872978583053398, 0.00011962636022289327, 0.0001668199822641935, 3.1109977553258044e-05, 0.0002710565962435509, 0.026542686477525335, 0.1579652252078591, 0.21508712288657583, 0.2473563933108893, 0.2994131489291722, 0.6766024553260154, 0.7932190118770805, 0.8044189230965525, 2.246372249423975, 6.657497296033111, 6.297160753767721, 8.541020903730047, 8.138399757706841, 5.771856002974485, 4.773083596059309, 3.1202558458533276, 2.416357550639046, 2.6904633133869944, 2.5265328568889833, 2.033394428045412, 1.6169578677708032]","[4.272264637868626, 3.3040538722230877, 4.307144063486341, 4.171207375482545, 3.947005466363763, 2.7429306528867903, 2.5675842852054878, 2.3411715351179594, 1.3405868793053493, 1.4221248680983063, 1.4981843200109504, 1.2692258455885284, 0.9397203673038141, 0.8044189230965525, 2.246372249423975, 6.657497296033111, 6.297160753767721, 8.541020903730047, 8.138399757706841, 5.771856002974485, 4.773083596059309, 3.1202558458533276, 2.416357550639046, 2.6904633133869944, 2.5265328568889833, 2.033394428045412, 1.6169578677708032]","[120, 120, 55, 120, 84, 120, 88, 45, 30, 27, 25, 31, 19, 0]","[98.98928280000109, 94.77440759999445, 38.3916642999975, 79.17722599999979, 59.3454325000057, 75.38596840000537, 46.45583069999702, 19.90187079999305, 8.921404999986407, 6.835569599992596, 5.3730499999946915, 4.298149599999306, 1.7445643999963067, 0.02701770000567194]","[false, false, true, false, true, false, true, true, true, true, true, true, true, true]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","[{""mask_index"": 0, ""recovery_start"": 1, ""recovery_segments"": 13, ""terminal_error"": 0.00030004522751574635, ""branch_fuel"": 1.4274966581756812, ""nfev"": 120, ""runtime_seconds"": 98.98928280000109, ""optimizer_success"": false, ""accepted_candidate"": ""optimizer"", ""message"": ""The maximum number of function evaluations is exceeded.""}, {""mask_index"": 1, ""recovery_start"": 2, ""recovery_segments"": 12, ""terminal_error"": 0.00014872978583053398, ""branch_fuel"": 1.5383980285713288, ""nfev"": 120, ""runtime_seconds"": 94.77440759999445, ""optimizer_success"": false, ""accepted_candidate"": ""optimizer"", ""message"": ""The maximum number of function evaluations is exceeded.""}, {""mask_index"": 2, ""recovery_start"": 3, ""recovery_segments"": 11, ""terminal_error"": 0.00011962636022289327, ""branch_fuel"": 2.6182584132770224, ""nfev"": 55, ""runtime_seconds"": 38.3916642999975, ""optimizer_success"": true, ""accepted_candidate"": ""optimizer"", ""message"": ""`xtol` termination condition is satisfied.""}, {""mask_index"": 3, ""recovery_start"": 4, ""recovery_segments"": 10, ""terminal_error"": 0.0001668199822641935, ""branch_fuel"": 2.467963284603725, ""nfev"": 120, ""runtime_seconds"": 79.17722599999979, ""optimizer_success"": false, ""accepted_candidate"": ""optimizer"", ""message"": ""The maximum number of function evaluations is exceeded.""}, {""mask_index"": 4, ""recovery_start"": 5, ""recovery_segments"": 9, ""terminal_error"": 3.1109977553258044e-05, ""branch_fuel"": 2.5872763787595843, ""nfev"": 84, ""runtime_seconds"": 59.3454325000057, ""optimizer_success"": true, ""accepted_candidate"": ""optimizer"", ""message"": ""`ftol` termination condition is satisfied.""}, {""mask_index"": 5, ""recovery_start"": 6, ""recovery_segments"": 8, ""terminal_error"": 0.0002710565962435509, ""branch_fuel"": 3.2602325359086657, ""nfev"": 120, ""runtime_seconds"": 75.38596840000537, ""optimizer_success"": false, ""accepted_candidate"": ""optimizer"", ""message"": ""The maximum number of function evaluations is exceeded.""}, {""mask_index"": 6, ""recovery_start"": 7, ""recovery_segments"": 7, ""terminal_error"": 0.026542686477525335, ""branch_fuel"": 3.6215174982038474, ""nfev"": 88, ""runtime_seconds"": 46.45583069999702, ""optimizer_success"": true, ""accepted_candidate"": ""optimizer"", ""message"": ""`ftol` termination condition is satisfied.""}, {""mask_index"": 7, ""recovery_start"": 8, ""recovery_segments"": 6, ""terminal_error"": 0.1579652252078591, ""branch_fuel"": 3.6861347256799712, ""nfev"": 45, ""runtime_seconds"": 19.90187079999305, ""optimizer_success"": true, ""accepted_candidate"": ""optimizer"", ""message"": ""`xtol` termination condition is satisfied.""}, {""mask_index"": 8, ""recovery_start"": 9, ""recovery_segments"": 5, ""terminal_error"": 0.21508712288657583, ""branch_fuel"": 3.7142851221746227, ""nfev"": 30, ""runtime_seconds"": 8.921404999986407, ""optimizer_success"": true, ""accepted_candidate"": ""optimizer"", ""message"": ""`ftol` termination condition is satisfied.""}, {""mask_index"": 9, ""recovery_start"": 10, ""recovery_segments"": 4, ""terminal_error"": 0.2473563933108893, ""branch_fuel"": 3.714285714285714, ""nfev"": 27, ""runtime_seconds"": 6.835569599992596, ""optimizer_success"": true, ""accepted_candidate"": ""optimizer"", ""message"": ""`xtol` termination condition is satisfied.""}, {""mask_index"": 10, ""recovery_start"": 11, ""recovery_segments"": 3, ""terminal_error"": 0.2994131489291722, ""branch_fuel"": 3.714285714285714, ""nfev"": 25, ""runtime_seconds"": 5.3730499999946915, ""optimizer_success"": true, ""accepted_candidate"": ""optimizer"", ""message"": ""`ftol` termination condition is satisfied.""}, {""mask_index"": 11, ""recovery_start"": 12, ""recovery_segments"": 2, ""terminal_error"": 0.6766024553260154, ""branch_fuel"": 3.714285714285714, ""nfev"": 31, ""runtime_seconds"": 4.298149599999306, ""optimizer_success"": true, ""accepted_candidate"": ""optimizer"", ""message"": ""`xtol` termination condition is satisfied.""}, {""mask_index"": 12, ""recovery_start"": 13, ""recovery_segments"": 1, ""terminal_error"": 0.7932190118770805, ""branch_fuel"": 3.714285714285714, ""nfev"": 19, ""runtime_seconds"": 1.7445643999963067, ""optimizer_success"": true, ""accepted_candidate"": ""optimizer"", ""message"": ""`ftol` termination condition is satisfied.""}, {""mask_index"": 13, ""recovery_start"": 14, ""recovery_segments"": 0, ""terminal_error"": 0.8044189230965525, ""branch_fuel"": 3.714285714285714, ""nfev"": 0, ""runtime_seconds"": 0.02701770000567194, ""optimizer_success"": true, ""accepted_candidate"": ""no_recovery_variables"", ""message"": ""no post-outage recovery controls are available""}]",optimizer,"Locked-nominal continuous baseline: nominal all-windows controls are solved once, kept fixed, and each selected missed-thrust recovery branch is optimized independently after the outage.",all one-segment outage masks are selected for independent locked-nominal recovery,"For selected masks, controls before outage_end(mask) are exactly locked nominal controls with missed segments zeroed; only controls from outage_end(mask) onward are optimization variables.","all_outage_errors evaluates every configured outage mask; selected masks use their optimized recovery branches, while unselected masks use masked locked nominal controls only.","Every nominal and recovery acceleration vector is projected to the Euclidean ball ||u_i|| <= amax before propagation, residual evaluation, fuel computation, and reporting.",Branch optimization never changes nominal_controls; nominal_error is the locked nominal baseline terminal error and nominal_lock_error_delta reports agreement with the nominal solve output.,selected_worst_error is the worst terminal error among independently optimized selected locked-nominal branches,locked nominal branch recovery complete,`ftol` termination condition is satisfied.
