method,runs,benchmark_label,target_mode,comparison_group,diagnostic_notes,schedule,refinement_candidate_schedule,refined_schedule,schedule_repair,refined_schedule_source,objective_median,objective_iqr,nominal_error_median,nominal_error_iqr,worst_error_median,worst_error_iqr,robust_degradation_median,robust_degradation_iqr,active_fraction_median,active_fraction_iqr,active_target_penalty_median,active_target_penalty_iqr,active_target_deviation_median,active_target_deviation_iqr,target_active_fraction_median,target_active_fraction_iqr,target_active_weight_median,target_active_weight_iqr,refinement_candidate_active_fraction_median,refinement_candidate_active_fraction_iqr,refined_active_fraction_median,refined_active_fraction_iqr,solver_true_evaluations_median,solver_true_evaluations_iqr,shared_qubo_training_evaluations_median,shared_qubo_training_evaluations_iqr,total_true_evaluations_including_training_median,total_true_evaluations_including_training_iqr,true_evaluations_median,true_evaluations_iqr,runtime_seconds_median,runtime_seconds_iqr,refined_nominal_error_median,refined_nominal_error_iqr,refined_worst_error_median,refined_worst_error_iqr,refined_selected_worst_error_median,refined_selected_worst_error_iqr,refined_all_mask_worst_error_median,refined_all_mask_worst_error_iqr,refinement_nfev_median,refinement_nfev_iqr,refined_nominal_fuel_median,refined_nominal_fuel_iqr,refined_recovery_fuel_mean_median,refined_recovery_fuel_mean_iqr,refined_recovery_fuel_max_median,refined_recovery_fuel_max_iqr,refinement_success_rate
random,10,q1_catalog_halo_phase_shift_cardinality_prior,catalog_halo_phase_shift,method_comparison,,mixed,mixed,mixed,identity,original solver candidate schedule,0.9518075458952933,0.23451494113398041,0.38048162207496267,0.02990843679159183,0.4089441747828516,0.03007764599029089,0.028411457845373245,0.0002782893830843569,0.8333333333333334,0.0625,0.08333333333333318,0.18750000000000003,-0.08333333333333326,0.06250000000000003,0.9166666666666666,0.0,12.0,0.0,0.8333333333333334,0.0625,0.8333333333333334,0.0625,120.0,0.0,0.0,0.0,120.0,0.0,120.0,0.0,1.7852507999996305,0.07880535000003874,0.09537198149794657,0.02534915216253246,0.12138720862978145,0.025846525097005274,0.12138720862978145,0.025846525097005274,0.13134940166672127,0.024442394632929493,26.0,9.0,0.08333333333333331,0.006250002794407808,0.07499999999999998,0.006250000582167126,0.07499999999999998,0.006250000582167126,0.2
cross_entropy,10,q1_catalog_halo_phase_shift_cardinality_prior,catalog_halo_phase_shift,method_comparison,,mixed,mixed,mixed,identity,original solver candidate schedule,0.814553025687213,0.013593164184312112,0.3771197380746664,0.005306789283254676,0.4056281761313686,0.005406246693202776,0.028508438056702168,9.945740994810048e-05,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,12.0,0.0,0.9166666666666666,0.0,0.9166666666666666,0.0,120.0,0.0,0.0,0.0,120.0,0.0,120.0,0.0,1.824653550000221,0.02081907499996305,0.0690121126015381,0.002017422027092264,0.09407452909228246,0.0018672383641595292,0.09407452909228246,0.0018672383641595292,0.10178662412865784,0.00029025958492401305,20.0,15.0,0.09166666666666667,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,1.0
genetic,10,q1_catalog_halo_phase_shift_cardinality_prior,catalog_halo_phase_shift,method_comparison,,mixed,mixed,mixed,identity,original solver candidate schedule,0.8233486805154743,0.004797509356050833,0.37987012405576354,0.0025564033021575616,0.40842933148880006,0.0026050913357713035,0.028559207433036526,4.8688033613741855e-05,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,12.0,0.0,0.9166666666666666,0.0,0.9166666666666666,0.0,120.0,0.0,0.0,0.0,120.0,0.0,120.0,0.0,1.8110980999972526,0.12236739999843849,0.06746293796215647,0.00046824738771063246,0.09256463069979118,0.00035733997166824405,0.09256463069979118,0.00035733997166824405,0.10199970385193641,0.0007164190314811469,35.0,0.0,0.09166666666666666,2.7755575615628914e-17,0.08333333333333333,0.0,0.08333333333333333,0.0,1.0
true_sa,10,q1_catalog_halo_phase_shift_cardinality_prior,catalog_halo_phase_shift,method_comparison,,mixed,mixed,mixed,identity,original solver candidate schedule,0.814553025687213,0.008795654828261279,0.3771197380746664,0.0027503859810971143,0.4056281761313686,0.002801155357431473,0.028508438056702168,5.076937633435863e-05,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,12.0,0.0,0.9166666666666666,0.0,0.9166666666666666,0.0,120.0,0.0,0.0,0.0,120.0,0.0,120.0,0.0,1.8271135499999218,0.05480340000212891,0.0690121126015381,0.0015491746393816314,0.09407452909228246,0.001509898392491285,0.09407452909228246,0.001509898392491285,0.10178662412865784,0.0004261594465571339,20.0,15.0,0.09166666666666667,2.7755575615628914e-17,0.08333333333333333,0.0,0.08333333333333333,0.0,1.0
surrogate_qubo_sa,10,q1_catalog_halo_phase_shift_cardinality_prior,catalog_halo_phase_shift,method_comparison,,mixed,mixed,mixed,identity,original solver candidate schedule,0.814553025687213,0.006596741121195904,0.3771197380746664,0.0020627894858228357,0.4056281761313686,0.0021008665180736186,0.028508438056702168,3.807703225076897e-05,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,12.0,0.0,0.9166666666666666,0.0,0.9166666666666666,0.0,24.0,0.0,96.0,0.0,120.0,0.0,120.0,0.0,0.3711915499989118,0.04163855000024341,0.0690121126015381,0.00116188097953622,0.09407452909228246,0.0011324237943684673,0.09407452909228246,0.0011324237943684673,0.10178662412865784,0.0003196195849178435,20.0,11.25,0.09166666666666667,2.7755575615628914e-17,0.08333333333333333,0.0,0.08333333333333333,0.0,1.0
qaoa_statevector,10,q1_catalog_halo_phase_shift_cardinality_prior,catalog_halo_phase_shift,method_comparison,,mixed,mixed,mixed,identity,original solver candidate schedule,0.8543955479852957,0.031734538407747204,0.3631232935452835,0.02633519083026703,0.39151924762691037,0.026675820311451104,0.02839595408162693,0.0003406294811841015,0.8333333333333334,0.08333333333333326,0.08333333333333318,0.08333333333333318,-0.08333333333333326,0.08333333333333326,0.9166666666666666,0.0,12.0,0.0,0.8333333333333334,0.08333333333333326,0.8333333333333334,0.08333333333333326,24.0,0.0,96.0,0.0,120.0,0.0,120.0,0.0,0.42003775000011956,0.019010800000614836,0.09415686066811274,0.033286436288985616,0.12014342706419574,0.03443960767472108,0.12014342706419574,0.03443960767472108,0.12917693782426537,0.03360771125153873,27.0,13.5,0.08333333333333333,0.008333267803148428,0.07499999999999998,0.008333070552205571,0.07499999999999998,0.008333070552205571,0.4
all_windows_continuous,10,q1_catalog_halo_phase_shift_cardinality_prior,catalog_halo_phase_shift,method_comparison,,111111111111,111111111111,111111111111,identity,original solver candidate schedule,0.9518086862862225,0.0,0.40435561295296646,0.0,0.43322523366003873,0.0,0.028869620707072274,0.0,1.0,0.0,0.08333333333333341,0.0,0.08333333333333337,0.0,0.9166666666666666,0.0,12.0,0.0,1.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,19.0,0.0,19.0,0.0,21.141920299998674,0.449338475001241,0.03856720666013058,0.0,0.06006019530605116,0.0,0.06006019530605116,0.0,0.06904467217546138,0.0,19.0,0.0,0.1,0.0,0.09166666666666667,0.0,0.09166666666666667,0.0,1.0
