method,oracle,iterations,state_index,state_label,coast_windows,schedule,probability,refined_selected_worst_error,refined_nominal_error,is_best_state,is_pareto_frontier
uniform_feasible,none,0,0,"0,1","0,1",001111111111,0.015151515151515152,0.1279209916614097,0.1017331766442661,False,False
uniform_feasible,none,0,1,"0,2","0,2",010111111111,0.015151515151515152,0.125930703429425,0.0997995881226162,False,False
uniform_feasible,none,0,2,"0,3","0,3",011011111111,0.015151515151515152,0.124155555806852,0.0980705717582038,False,False
uniform_feasible,none,0,3,"0,4","0,4",011101111111,0.015151515151515152,0.1225837878904666,0.0965390115391322,False,False
uniform_feasible,none,0,4,"0,5","0,5",011110111111,0.015151515151515152,0.1211879729108648,0.0951860134202738,False,False
uniform_feasible,none,0,5,"0,6","0,6",011111011111,0.015151515151515152,0.1190017788295605,0.0940369402848986,False,False
uniform_feasible,none,0,6,"0,7","0,7",011111101111,0.015151515151515152,0.1190006170152644,0.0930474381590215,False,False
uniform_feasible,none,0,7,"0,8","0,8",011111110111,0.015151515151515152,0.1181777645782417,0.0922608487170639,False,False
uniform_feasible,none,0,8,"0,9","0,9",011111111011,0.015151515151515152,0.1174974634376517,0.091618457987335,False,False
uniform_feasible,none,0,9,"0,10","0,10",011111111101,0.015151515151515152,0.1170352332527989,0.0911782310185686,False,False
uniform_feasible,none,0,10,"0,11","0,11",011111111110,0.015151515151515152,0.1168113134014621,0.0909584128443555,False,False
uniform_feasible,none,0,11,"1,2","1,2",100111111111,0.015151515151515152,0.1237738002442984,0.0976965248368716,False,False
uniform_feasible,none,0,12,"1,3","1,3",101011111111,0.015151515151515152,0.1220328147645346,0.0959828912060053,False,False
uniform_feasible,none,0,13,"1,4","1,4",101101111111,0.015151515151515152,0.1204727753247888,0.0944954280423753,False,False
uniform_feasible,none,0,14,"1,5","1,5",101110111111,0.015151515151515152,0.1190988812175266,0.0931277079159516,False,False
uniform_feasible,none,0,15,"1,6","1,6",101111011111,0.015151515151515152,0.1169007674328321,0.0919928970783734,False,False
uniform_feasible,none,0,16,"1,7","1,7",101111101111,0.015151515151515152,0.1168715285214525,0.0909972192763335,False,False
uniform_feasible,none,0,17,"1,8","1,8",101111110111,0.015151515151515152,0.1160540028861688,0.0902119509752565,False,False
uniform_feasible,none,0,18,"1,9","1,9",101111111011,0.015151515151515152,0.1153996463390228,0.089581580102083,False,False
uniform_feasible,none,0,19,"1,10","1,10",101111111101,0.015151515151515152,0.1163684561203088,0.0900833861120399,False,False
uniform_feasible,none,0,20,"1,11","1,11",101111111110,0.015151515151515152,0.1160863628486099,0.0898190589814615,False,False
uniform_feasible,none,0,21,"2,3","2,3",110011111111,0.015151515151515152,0.1200763613068571,0.0940957742327414,False,False
uniform_feasible,none,0,22,"2,4","2,4",110101111111,0.015151515151515152,0.1185220522104563,0.0925862276531023,False,False
uniform_feasible,none,0,23,"2,5","2,5",110110111111,0.015151515151515152,0.1171554091632605,0.0912616870145502,False,False
uniform_feasible,none,0,24,"2,6","2,6",110111011111,0.015151515151515152,0.1149735931606336,0.0901178588970546,False,False
uniform_feasible,none,0,25,"2,7","2,7",110111101111,0.015151515151515152,0.1149993999319079,0.0891571357544079,False,False
uniform_feasible,none,0,26,"2,8","2,8",110111110111,0.015151515151515152,0.1141620992981263,0.0883645548565389,False,False
uniform_feasible,none,0,27,"2,9","2,9",110111111011,0.015151515151515152,0.1135202585317829,0.0877581454730198,False,False
uniform_feasible,none,0,28,"2,10","2,10",110111111101,0.015151515151515152,0.1130754666605014,0.0873317846232568,False,False
uniform_feasible,none,0,29,"2,11","2,11",110111111110,0.015151515151515152,0.1128351842314736,0.0871039579638666,False,False
