row_type,method,oracle,iterations,expected_selected_worst_error,delta_vs_predeclared,probability_best_state,predeclared_equals_best_warm_sweep,comparison_scope
predeclared_protocol,predeclared_protocol_dual_candidate_warm_amplification,top_2,1,0.10560395128688618,0.0,0.5142161000403436,True,like_for_like
best_warm_start_sweep_row,grover_warm_top_2_r1,top_2,1,0.10560395128688618,0.0,0.5142161000403436,True,like_for_like
uniform_feasible,uniform_feasible,none,0,0.11375786488534918,0.008153913598463,0.015151515151515152,True,like_for_like
warm_start_only,warm_start_only,none,0,0.108671256502909,0.003067305216022817,0.12012421123686709,True,like_for_like
matched_uniform_grover_same_oracle_r,grover_uniform_top_2_r1,top_2,1,0.11189772776929416,0.006293776482407976,0.12556696440993945,True,like_for_like
best_structured_qaoa,structured_inverse_complete_p4_r8,not_applicable,0,0.106223673432742,0.0006197221458558166,0.179971463256841,True,like_for_like
generic_qaoa_median_descriptive_only,qaoa_statevector_30seed_median_descriptive_only,not_applicable,0,0.1208303741178268,0.015226422830940611,,True,descriptive_not_like_for_like
